# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-1.053655e+01 6.558063e-03 -1.799981e-03)) ((0.000000e+00 0.000000e+00 0.000000e+00) (1.887964e-03 -1.587576e-01 4.742645e-02))
0.0118079     	((-4.479433e+04 4.800035e+01 -5.589955e+01) (-1.276977e+01 1.701032e-02 -5.815161e-03)) ((2.238907e+01 -7.443270e+02 -2.560010e+01) (1.664466e-02 -1.388550e-01 -5.795760e-02))
0.0259774     	((2.357164e+04 -3.079983e+01 -6.136097e+01) (-2.381518e+01 5.855700e-03 -9.200657e-02)) ((1.230726e+01 3.467077e+02 3.686394e+01) (3.580690e-02 3.050192e-02 -1.199849e-01))
0.0429808     	((-1.118567e+04 -3.539263e+00 2.454855e+02) (-4.685525e+01 -6.762142e-04 -1.446156e-01)) ((9.980253e+00 5.797795e+01 9.071794e+00) (3.787480e-02 -6.228677e-01 -5.415352e-02))
0.0633848     	((3.619082e+03 3.467899e+00 -1.115564e+02) (-1.029595e+02 3.551636e-03 -1.047524e-01)) ((5.431855e+00 2.712987e+01 -7.342732e+00) (-6.486635e-03 -1.705459e+00 -3.789827e-02))
0.0878697     	((-1.035513e+03 -1.529276e+00 -1.627756e+00) (-1.062884e+02 -1.873478e-02 -1.924548e-01)) ((7.284479e+00 -1.258570e+02 -3.117628e+00) (-1.308415e-02 -1.240092e+00 -1.823838e-01))
0.117252      	((-5.507892e+02 1.088765e+00 -5.444073e+00) (-1.030838e+02 -2.518797e-02 -1.930229e-01)) ((3.511592e+00 -5.028673e+01 1.556957e+00) (-8.868392e-03 -1.148473e+00 -2.521347e-01))
0.15251       	((-4.232314e+02 8.112308e+00 -1.092392e+01) (-1.000340e+02 -3.031066e-02 -1.735869e-01)) ((4.462827e+00 -7.168511e+01 1.698341e+01) (-5.475725e-03 -1.021372e+00 -3.049515e-01))
0.194266      	((-4.180316e+02 6.772786e+00 -1.690366e+01) (-9.709223e+01 -3.193727e-02 -1.451636e-01)) ((2.955543e+00 -7.106694e+01 6.723520e+00) (-3.634239e-03 -8.970851e-01 -3.485897e-01))
0.242553      	((-4.112007e+02 1.104510e+01 -1.625201e+01) (-9.425757e+01 -4.141083e-02 -1.233821e-01)) ((8.024754e-01 -8.009886e+01 7.996009e+00) (-9.179012e-04 -8.087504e-01 -3.843614e-01))
0.297402      	((-3.984783e+02 1.400588e+01 -1.931684e+01) (-9.156645e+01 -5.946824e-02 -1.096235e-01)) ((-9.143594e-01 -9.219819e+01 1.357578e+01) (2.969391e-03 -7.569198e-01 -4.174331e-01))
0.358832      	((-3.858049e+02 1.709887e+01 -2.427139e+01) (-8.906237e+01 -8.323949e-02 -1.031738e-01)) ((-1.968767e+00 -1.050135e+02 1.623535e+01) (7.861121e-03 -7.122981e-01 -4.537536e-01))
0.424772      	((-3.749895e+02 2.015760e+01 -2.992442e+01) (-8.684271e+01 -1.087216e-01 -1.109198e-01)) ((-3.372481e+00 -1.168979e+02 1.760991e+01) (1.246138e-02 -6.749137e-01 -4.951933e-01))
0.490818      	((-3.667192e+02 2.215281e+01 -3.255970e+01) (-8.499038e+01 -1.330558e-01 -1.239655e-01)) ((-4.282410e+00 -1.238044e+02 1.776379e+01) (1.527998e-02 -6.510725e-01 -5.279238e-01))
0.55694       	((-3.592265e+02 2.331732e+01 -3.343665e+01) (-8.340570e+01 -1.577097e-01 -1.353880e-01)) ((-4.901304e+00 -1.243766e+02 1.696011e+01) (1.694816e-02 -6.335055e-01 -5.510867e-01))
