# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((-1.207567e+01 -9.477708e+02 -4.980547e+01) (6.572726e-03 -1.900226e-01 -2.774333e-02)) ((5.668863e+03 6.492786e+01 -1.595963e+02) (2.319373e+00 -1.038878e-01 2.199265e-01))
0.0264        	((5.205238e+01 2.904858e+02 4.380103e+01) (1.413809e-02 -2.595227e-01 -4.734116e-02)) ((-2.756851e+03 -1.327815e+02 2.698379e+02) (3.462275e+00 -1.945001e-01 4.153617e-01))
0.04368       	((8.939379e+00 -2.785537e+02 -2.685537e+01) (-3.417792e-03 -2.258143e-01 -3.257986e-02)) ((2.109656e+03 9.967580e+01 -1.645146e+02) (3.132263e+00 -1.860570e-01 4.277188e-01))
0.064416      	((2.395692e+01 4.467650e+01 2.791584e+01) (-8.872516e-03 -1.871842e-01 -1.211370e-02)) ((-7.825389e+02 -7.861062e+01 2.000458e+02) (2.938692e+00 -1.405502e-01 3.983446e-01))
0.0892992     	((9.327998e+00 -1.531749e+02 1.662868e+00) (-1.476568e-02 -1.630307e-01 4.525789e-03)) ((8.053751e+02 4.287175e+01 -8.775246e+01) (2.686267e+00 -1.045325e-01 3.486118e-01))
0.119159      	((1.220728e+01 -1.448690e+01 1.772960e+01) (-2.290654e-02 -1.430624e-01 1.407209e-02)) ((-1.014427e+02 -1.323346e+01 1.088516e+02) (2.480859e+00 -8.746475e-02 3.157417e-01))
0.154991      	((6.046226e+00 -1.049901e+02 2.428524e+01) (-2.544851e-02 -1.330126e-01 2.412078e-02)) ((3.812012e+02 2.474894e+01 -3.328303e+01) (2.282932e+00 -7.427665e-02 2.897906e-01))
0.197989      	((8.165633e+00 -2.368025e+01 2.114370e+01) (-2.166292e-02 -1.213559e-01 3.546346e-02)) ((8.725886e+01 5.926743e+00 6.628075e+01) (2.124167e+00 -6.217031e-02 2.732727e-01))
0.249587      	((3.957356e+00 -6.903354e+01 2.562023e+01) (-1.926623e-02 -1.150283e-01 4.576665e-02)) ((2.386665e+02 1.659678e+01 -4.757846e+00) (1.978701e+00 -5.443167e-02 2.556916e-01))
0.311504      	((1.711722e+00 -2.330245e+01 2.075548e+01) (-2.213118e-02 -1.106948e-01 5.332324e-02)) ((1.353657e+02 7.638648e+00 3.848940e+01) (1.843786e+00 -5.810943e-02 2.401777e-01))
0.385805      	((-1.695122e+00 -4.716860e+01 2.578669e+01) (-2.830510e-02 -1.075865e-01 5.603217e-02)) ((1.857817e+02 9.842783e+00 4.217945e+00) (1.709037e+00 -6.955969e-02 2.260881e-01))
0.474966      	((-4.577789e+00 -2.734037e+01 1.711668e+01) (-3.526269e-02 -1.047616e-01 6.023679e-02)) ((1.488098e+02 7.571369e+00 2.600008e+01) (1.577910e+00 -7.893693e-02 2.175767e-01))
0.58036       	((-8.568500e+00 -3.775306e+01 2.200974e+01) (-4.196589e-02 -1.036578e-01 6.566106e-02)) ((1.688293e+02 7.261765e+00 9.771364e+00) (1.444283e+00 -8.326918e-02 2.107098e-01))
0.701752      	((-1.205205e+01 -2.412092e+01 2.035279e+01) (-4.831187e-02 -1.002622e-01 6.998513e-02)) ((1.540295e+02 8.244650e+00 1.903312e+01) (1.314033e+00 -8.519507e-02 2.038011e-01))
0.839034      	((-1.562842e+01 -2.861404e+01 1.995177e+01) (-5.613827e-02 -9.591744e-02 7.417055e-02)) ((1.636813e+02 8.370686e+00 1.017459e+01) (1.187948e+00 -8.628422e-02 1.946133e-01))
0.992244      	((-1.863635e+01 -2.079616e+01 1.981121e+01) (-6.953138e-02 -9.246858e-02 7.600445e-02)) ((1.574602e+02 7.670788e+00 1.380522e+01) (1.069114e+00 -9.520049e-02 1.770016e-01))
1.15262       	((-2.123622e+01 -2.282025e+01 1.649998e+01) (-8.835923e-02 -8.951475e-02 7.358097e-02)) ((1.626914e+02 6.669013e+00 8.063283e+00) (9.703736e-01 -1.040601e-01 1.551084e-01))
1.315665      	((-2.321529e+01 -1.743136e+01 1.551538e+01) (-1.075480e-01 -8.396875e-02 6.756264e-02)) ((1.593330e+02 6.910849e+00 7.667740e+00) (8.918767e-01 -1.117083e-01 1.319255e-01))
1.483877      	((-2.485983e+01 -1.661422e+01 1.336648e+01) (-1.248724e-01 -7.361448e-02 6.145996e-02)) ((1.584680e+02 8.418106e+00 1.789740e+00) (8.207806e-01 -1.212530e-01 1.102388e-01))
1.658633      	((-2.605009e+01 -1.223973e+01 1.445996e+01) (-1.392095e-01 -6.246496e-02 5.517450e-02)) ((1.530608e+02 8.921084e+00 5.224353e-01) (7.514198e-01 -1.280090e-01 8.888441e-02))
1.841644      	((-2.714111e+01 -1.138439e+01 1.182171e+01) (-1.507793e-01 -5.447604e-02 4.636716e-02)) ((1.488320e+02 1.059592e+01 -2.437539e+00) (6.867533e-01 -1.302212e-01 7.127627e-02))
2.032694      	((-2.751659e+01 -9.770000e+00 1.210899e+01) (-1.597404e-01 -4.934358e-02 4.013527e-02)) ((1.423186e+02 1.204633e+01 -3.293999e+00) (6.261209e-01 -1.270023e-01 5.768407e-02))
2.226189      	((-2.759235e+01 -1.078558e+01 9.530680e+00) (-1.665333e-01 -5.018516e-02 3.001457e-02)) ((1.363065e+02 1.206789e+01 -4.725231e+00) (5.729419e-01 -1.190438e-01 5.018434e-02))
2.423611      	((-2.715532e+01 -1.196458e+01 6.360165e+00) (-1.728215e-01 -5.216104e-02 1.897925e-02)) ((1.300721e+02 1.112516e+01 -5.171695e+00) (5.264114e-01 -1.150140e-01 5.164966e-02))
2.627281      	((-2.645667e+01 -1.407067e+01 3.454630e+00) (-1.805058e-01 -4.834730e-02 1.945102e-02)) ((1.240018e+02 8.390001e+00 -5.700556e+00) (4.864808e-01 -1.081971e-01 6.136930e-02))
2.839817      	((-2.537069e+01 -1.609676e+01 1.512702e+00) (-1.914662e-01 -4.776641e-02 2.111570e-02)) ((1.177416e+02 5.683386e+00 -5.170312e+00) (4.523758e-01 -9.388558e-02 7.899804e-02))
3.064257      	((-2.375326e+01 -1.794347e+01 -2.074127e+00) (-2.045313e-01 -4.736813e-02 1.854112e-02)) ((1.121092e+02 3.397296e+00 -4.697953e+00) (4.220142e-01 -7.774937e-02 9.987227e-02))
3.303712      	((-2.167187e+01 -1.983848e+01 -1.302991e+00) (-2.186660e-01 -4.403576e-02 2.001318e-02)) ((1.066771e+02 3.028311e+00 -4.560284e+00) (3.947459e-01 -5.770062e-02 1.181618e-01))
3.560636      	((-1.959500e+01 -2.063431e+01 -4.799463e-01) (-2.324247e-01 -3.402668e-02 3.735033e-02)) ((1.026330e+02 2.095489e+00 -4.682780e+00) (3.750200e-01 -3.292713e-02 1.301060e-01))
