# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (6.022201e-03 -1.134127e+01 9.767470e-03)) ((0.000000e+00 0.000000e+00 0.000000e+00) (2.350733e-01 -3.255700e-03 -2.055056e+00))
0.0090922     	((2.011883e+02 -2.606378e+05 6.238201e+01) (-8.360705e-02 -1.471782e+01 3.931684e-02)) ((2.291155e+03 -2.312653e+02 -1.048596e+05) (2.412386e-01 -9.432739e-02 1.775466e+00))
0.0200028     	((2.006080e+02 6.799393e+04 -1.531649e+02) (-1.538990e-01 -2.512487e+01 1.175565e-01)) ((9.231067e+00 1.578202e+02 6.150308e+04) (-4.746177e-02 -2.497128e-01 3.680708e+00))
0.0330354     	((1.979645e+02 6.533615e+03 -1.571413e+02) (-2.491688e-01 -4.148296e+01 3.132863e-01)) ((3.850477e+02 1.100205e+02 -2.341564e+04) (-4.870327e-01 -6.233896e-01 8.443514e+00))
0.0485218     	((1.358068e+02 -2.793609e+03 -1.732096e+02) (-1.319507e-01 -6.509324e+01 4.528882e-01)) ((2.993092e+02 1.379698e+02 8.084981e+03) (-4.006010e-02 -6.810152e-01 1.280005e+01))
0.0671056     	((1.279653e+02 -5.498594e+03 -1.342932e+02) (3.119048e-01 -9.759956e+01 -1.800583e-02)) ((3.026266e+02 5.412181e+01 4.147540e+02) (2.714699e-01 -3.952468e-01 3.042827e+00))
0.0891889     	((1.160937e+02 -5.271712e+03 -1.589234e+02) (2.675695e-01 -8.985027e+01 -3.548289e-01)) ((2.457132e+02 9.847743e+01 1.777879e+02) (4.170639e-02 -2.252608e-01 3.554471e+00))
0.114946      	((1.118571e+02 -5.104359e+03 -1.336096e+02) (2.313520e-01 -7.983558e+01 -3.539113e-01)) ((2.017433e+02 8.474321e+01 7.042967e+02) (-3.437570e-03 -2.295586e-01 3.890078e+00))
0.144712      	((1.005740e+02 -5.240265e+03 -1.223973e+02) (2.414994e-01 -7.074156e+01 -2.389859e-01)) ((1.596159e+02 8.569752e+01 6.610171e+02) (6.835674e-03 -2.724081e-01 3.986784e+00))
0.178711      	((9.293822e+01 -5.324997e+03 -8.764251e+01) (2.736660e-01 -6.258649e+01 -7.771146e-02)) ((1.253808e+02 8.344776e+01 6.025644e+02) (3.392182e-02 -2.743560e-01 3.978216e+00))
0.217169      	((9.477174e+01 -5.362190e+03 -6.848726e+01) (3.175480e-01 -5.515343e+01 7.292360e-03)) ((9.852633e+01 7.062262e+01 5.867207e+02) (1.278654e-02 -2.501898e-01 3.929196e+00))
0.260141      	((1.011695e+02 -5.296931e+03 -1.037214e+02) (3.706257e-01 -4.820115e+01 4.940644e-02)) ((8.111532e+01 5.221790e+01 5.740519e+02) (-4.587259e-02 -2.119920e-01 3.720063e+00))
0.305212      	((1.103013e+02 -5.095382e+03 -1.534605e+02) (4.148770e-01 -4.211460e+01 1.204726e-01)) ((7.254293e+01 1.961128e+01 5.647061e+02) (-1.275056e-01 -1.237511e-01 3.346673e+00))
0.350442      	((1.201496e+02 -4.874051e+03 -1.933448e+02) (4.338378e-01 -3.702545e+01 1.889756e-01)) ((6.630212e+01 -4.049834e+01 5.579476e+02) (-2.135478e-01 -3.598533e-02 2.898783e+00))
0.395874      	((1.296416e+02 -4.713210e+03 -2.380868e+02) (4.449495e-01 -3.282381e+01 2.268727e-01)) ((5.705756e+01 -1.169779e+02 5.596409e+02) (-3.086449e-01 3.303179e-02 2.365287e+00))
0.441372      	((1.406420e+02 -4.586835e+03 -2.636614e+02) (4.774129e-01 -2.946691e+01 2.134846e-01)) ((5.065033e+01 -2.004782e+02 5.617634e+02) (-4.031961e-01 7.168708e-02 1.767870e+00))
0.48614       	((1.510340e+02 -4.456856e+03 -2.820953e+02) (5.183303e-01 -2.674487e+01 1.574719e-01)) ((4.680601e+01 -2.804782e+02 5.536203e+02) (-4.817064e-01 1.150064e-01 1.145976e+00))
0.529566      	((1.595309e+02 -4.361758e+03 -3.023624e+02) (5.477775e-01 -2.451431e+01 7.225123e-02)) ((4.086932e+01 -3.479956e+02 5.475854e+02) (-5.288261e-01 1.545596e-01 5.357868e-01))
0.571958      	((1.648275e+02 -4.291331e+03 -3.210217e+02) (5.611454e-01 -2.270871e+01 -4.287989e-02)) ((3.402976e+01 -3.890968e+02 5.401047e+02) (-5.462752e-01 1.612501e-01 3.368071e-03))
0.613721      	((1.679147e+02 -4.263578e+03 -3.453367e+02) (5.497314e-01 -2.122504e+01 -1.683232e-01)) ((2.609245e+01 -4.132220e+02 5.362126e+02) (-5.429090e-01 1.392183e-01 -4.499221e-01))
0.653548      	((1.682265e+02 -4.246250e+03 -3.669726e+02) (5.164441e-01 -2.003759e+01 -2.857309e-01)) ((1.796505e+01 -4.251054e+02 5.279953e+02) (-5.261133e-01 9.314898e-02 -8.025325e-01))
0.694042      	((1.670879e+02 -4.224118e+03 -3.879178e+02) (4.717906e-01 -1.901398e+01 -3.934076e-01)) ((1.027530e+01 -4.233534e+02 5.018812e+02) (-5.037639e-01 4.522788e-02 -1.090061e+00))
0.735938      	((1.652354e+02 -4.203336e+03 -4.022120e+02) (4.227323e-01 -1.810664e+01 -4.936290e-01)) ((1.628549e+00 -4.072720e+02 4.682187e+02) (-4.849100e-01 -5.253866e-03 -1.342979e+00))
0.778258      	((1.626737e+02 -4.182979e+03 -4.175156e+02) (3.631855e-01 -1.733129e+01 -5.763726e-01)) ((-7.526892e+00 -3.800808e+02 4.317911e+02) (-4.660354e-01 -4.954343e-02 -1.543245e+00))
0.821225      	((1.596233e+02 -4.157365e+03 -4.301339e+02) (2.980200e-01 -1.666291e+01 -6.406651e-01)) ((-1.673083e+01 -3.458682e+02 3.869971e+02) (-4.428732e-01 -7.238694e-02 -1.684502e+00))
0.865076      	((1.562927e+02 -4.129775e+03 -4.435957e+02) (2.440754e-01 -1.609176e+01 -6.929347e-01)) ((-2.600237e+01 -3.076233e+02 3.464646e+02) (-4.169931e-01 -6.738255e-02 -1.756862e+00))
0.909941      	((1.533302e+02 -4.104649e+03 -4.591229e+02) (2.044621e-01 -1.561499e+01 -7.348185e-01)) ((-3.446630e+01 -2.729693e+02 3.163515e+02) (-3.886990e-01 -4.661828e-02 -1.757087e+00))
0.955163      	((1.516735e+02 -4.081017e+03 -4.758735e+02) (1.932559e-01 -1.523375e+01 -7.615305e-01)) ((-4.130651e+01 -2.463743e+02 2.917384e+02) (-3.567358e-01 -8.011396e-03 -1.702952e+00))
1.000395      	((1.505587e+02 -4.060476e+03 -4.878482e+02) (2.105854e-01 -1.494059e+01 -7.733202e-01)) ((-4.669306e+01 -2.165902e+02 2.669305e+02) (-3.192704e-01 4.285036e-02 -1.606516e+00))
1.045621      	((1.496801e+02 -4.041077e+03 -5.010935e+02) (2.459544e-01 -1.470591e+01 -7.782812e-01)) ((-5.175413e+01 -1.782636e+02 2.425333e+02) (-2.760292e-01 9.311054e-02 -1.486810e+00))
1.090829      	((1.494819e+02 -4.028176e+03 -5.175790e+02) (2.867624e-01 -1.450252e+01 -7.779014e-01)) ((-5.662355e+01 -1.335976e+02 2.179775e+02) (-2.322543e-01 1.341613e-01 -1.377937e+00))
1.136011      	((1.506109e+02 -4.023512e+03 -5.419056e+02) (3.293380e-01 -1.433036e+01 -7.816063e-01)) ((-6.081497e+01 -8.494537e+01 1.908093e+02) (-1.905182e-01 1.546304e-01 -1.305613e+00))
