# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((6.212630e+02 6.621885e+01 -1.407661e+04) (1.248675e-01 5.973767e-03 -4.374514e+00)) ((1.795761e+01 2.699979e+05 2.662775e+02) (9.782329e-02 2.422451e+01 -6.249377e-02))
0.0264        	((2.303759e+02 6.087826e+00 1.118280e+04) (6.753759e-02 1.325634e-01 -3.292164e+00)) ((-8.706017e+01 -1.682671e+05 -1.292084e+02) (1.473748e-01 4.003063e+01 -5.206870e-01))
0.04368       	((5.914411e+02 1.425668e+01 -4.506740e+03) (1.666991e-01 1.456804e-01 -2.909924e+00)) ((4.496881e+01 1.230939e+05 1.112111e+02) (2.706118e-01 4.740823e+01 -5.774146e-01))
0.064416      	((1.352967e+02 1.532333e+01 4.461099e+03) (2.934101e-01 7.777922e-02 -2.803724e+00)) ((-5.495229e+01 -6.925183e+04 -8.615898e+01) (2.194097e-01 4.494080e+01 -5.073524e-01))
0.0892992     	((4.894445e+02 1.185625e+01 -4.387597e+02) (1.246479e-01 1.694331e-02 -1.764031e+00)) ((5.263609e+00 5.424828e+04 4.597584e+01) (1.818047e-01 3.931919e+01 -4.663548e-01))
0.118644      	((1.977395e+02 1.112466e+01 2.235247e+03) (6.446674e-02 -2.007791e-02 -9.449577e-01)) ((-2.716650e+01 -2.644379e+04 -5.626530e+01) (1.500177e-01 3.576605e+01 -4.024761e-01))
0.153003      	((4.067542e+02 1.384165e+01 6.577096e+02) (4.917691e-02 -1.741850e-02 -6.041194e-01)) ((-1.643840e+00 2.631846e+04 -6.084139e+00) (1.276368e-01 3.233575e+01 -4.358931e-01))
0.192336      	((2.836335e+02 1.225585e+01 1.630332e+03) (1.163429e-01 -2.679687e-02 -3.486284e-01)) ((-1.853549e+01 -8.494419e+03 -5.182702e+01) (1.265211e-01 2.938869e+01 -3.957057e-01))
0.236867      	((3.951129e+02 1.248752e+01 8.941648e+02) (2.551096e-01 -3.035297e-02 -2.148451e-01)) ((-5.772902e+00 1.429669e+04 -3.327605e+01) (1.332721e-01 2.656818e+01 -3.657804e-01))
0.286702      	((3.463231e+02 1.398666e+01 1.318602e+03) (3.865399e-01 -2.339668e-02 -9.569637e-02)) ((-1.243090e+01 -8.294923e+02 -5.273260e+01) (1.397604e-01 2.423758e+01 -3.214513e-01))
0.341437      	((4.022165e+02 9.478084e+00 8.962895e+02) (4.876949e-01 -3.620980e-02 -8.775055e-03)) ((-8.262940e+00 9.189753e+03 -3.735284e+01) (1.384189e-01 2.218287e+01 -2.161791e-01))
0.396441      	((3.837380e+02 1.172893e+01 1.083664e+03) (5.601222e-01 -3.700957e-02 9.806962e-02)) ((-1.208518e+01 2.652995e+03 -5.011324e+01) (1.431316e-01 2.064971e+01 -1.852097e-01))
0.451901      	((4.007392e+02 1.121165e+01 8.818166e+02) (5.760745e-01 -2.327184e-02 1.923989e-01)) ((-8.193277e+00 7.002028e+03 -4.817187e+01) (1.504644e-01 1.930769e+01 -2.313805e-01))
0.507934      	((3.957742e+02 8.439038e+00 9.385241e+02) (5.467660e-01 -4.131583e-02 2.845778e-01)) ((-9.859912e+00 4.204350e+03 -4.839422e+01) (1.554962e-01 1.821388e+01 -2.372479e-01))
0.564951      	((3.891055e+02 6.518531e+00 8.768029e+02) (4.799179e-01 -4.681604e-02 3.668998e-01)) ((-8.069023e+00 6.058205e+03 -4.499594e+01) (1.604993e-01 1.723397e+01 -2.664246e-01))
0.623318      	((3.885869e+02 4.528515e+00 8.879689e+02) (4.091408e-01 -5.507929e-02 4.264939e-01)) ((-8.836096e+00 4.824939e+03 -4.873776e+01) (1.638173e-01 1.637823e+01 -2.742607e-01))
0.68206       	((3.825209e+02 5.206003e+00 8.603161e+02) (3.373382e-01 -3.595328e-02 4.763888e-01)) ((-7.269886e+00 5.609215e+03 -4.783475e+01) (1.715893e-01 1.563309e+01 -3.348551e-01))
0.741119      	((3.838818e+02 2.460928e+00 8.533774e+02) (2.655773e-01 -1.671242e-02 5.150305e-01)) ((-7.607657e+00 5.036768e+03 -4.995724e+01) (1.749950e-01 1.498467e+01 -3.994979e-01))
0.800429      	((3.774268e+02 4.895859e-01 8.542932e+02) (2.067984e-01 -3.054465e-03 5.352781e-01)) ((-7.053196e+00 5.369302e+03 -4.624647e+01) (1.757948e-01 1.439363e+01 -4.505936e-01))
0.860033      	((3.746655e+02 -3.519322e+00 8.526493e+02) (1.523024e-01 -4.449324e-03 5.559210e-01)) ((-6.310469e+00 5.089650e+03 -4.423025e+01) (1.780802e-01 1.389858e+01 -4.673774e-01))
0.919744      	((3.661469e+02 -5.185655e+00 8.632094e+02) (9.956843e-02 9.085416e-03 5.714491e-01)) ((-5.692982e+00 5.216281e+03 -4.322480e+01) (1.814488e-01 1.345968e+01 -5.190091e-01))
