# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-6.080133e-01 2.307776e-01 -9.077952e+02)) ((0.000000e+00 0.000000e+00 0.000000e+00) (3.273023e-01 5.260800e+01 -5.207374e-01))
0.00291579    	((2.937022e+03 1.289091e+03 -5.715690e+06) (6.909400e-01 -1.927497e+00 -1.245414e+03)) ((5.029598e+02 5.590394e+05 2.340596e+03) (4.386792e-01 7.713794e+01 -2.800042e+00))
0.00641475    	((4.895748e+03 3.319251e+02 1.288867e+06) (2.955436e+00 -4.475856e+00 -1.281816e+03)) ((-2.481162e+02 -4.721440e+05 -2.555418e+02) (6.266640e-01 1.086654e+02 -2.315043e+00))
0.0106135     	((5.195924e+03 -2.879107e+02 3.935145e+05) (2.207977e+00 -2.934247e+00 -8.782391e+02)) ((5.658997e+02 1.326037e+05 -5.516268e+02) (3.058454e-01 9.844917e+01 -2.969124e+00))
0.015652      	((3.437975e+03 -1.892975e+02 -1.385902e+05) (-1.330428e+00 -2.127262e+00 -6.565653e+02)) ((-6.852687e+01 -5.750237e+04 -3.449047e+01) (1.284348e-01 5.283708e+01 -3.147936e+00))
0.0216982     	((3.481902e+03 -2.154679e+02 -1.206175e+05) (-7.242917e-01 -1.695035e+00 -5.452843e+02)) ((2.362200e+02 -5.257857e+04 2.085230e+02) (8.862034e-02 2.605555e+01 -3.169609e+00))
0.0289536     	((3.439357e+03 -2.856165e+02 -1.098249e+05) (9.853408e-01 -1.433765e+00 -4.498589e+02)) ((1.537275e+02 -4.192745e+04 -1.097889e+02) (9.331657e-02 1.244019e+01 -2.544443e+00))
0.0374369     	((3.394350e+03 -2.877855e+02 -1.138976e+05) (2.522906e+00 -8.016345e-01 -3.681935e+02)) ((1.215757e+02 -3.837434e+04 -1.416295e+02) (1.092720e-01 2.875106e+00 -2.155041e+00))
0.0471211     	((3.542423e+03 -2.825484e+02 -1.159557e+05) (3.270070e+00 -2.855855e-01 -2.985057e+02)) ((1.201459e+02 -3.527109e+04 -2.163451e+02) (1.207316e-01 -6.456244e+00 -2.095039e+00))
0.0580486     	((3.803757e+03 -2.451838e+02 -1.194963e+05) (3.676361e+00 1.224107e-01 -2.345328e+02)) ((1.029700e+02 -3.276537e+04 -2.059255e+02) (6.130858e-02 -1.443016e+01 -1.789641e+00))
0.0703156     	((4.150192e+03 -1.571329e+02 -1.205932e+05) (4.182942e+00 7.094644e-01 -1.775222e+02)) ((8.368587e+01 -3.020573e+04 -2.658189e+02) (-1.091987e-01 -2.058435e+01 -1.736796e+00))
0.0839526     	((4.430786e+03 -1.349257e+02 -1.201317e+05) (4.543908e+00 1.054598e+00 -1.329011e+02)) ((5.438276e+01 -2.830337e+04 -2.383231e+02) (-2.951794e-01 -2.692107e+01 -1.762980e+00))
0.0979427     	((4.594217e+03 -1.406807e+02 -1.192297e+05) (4.955279e+00 1.137389e+00 -1.024949e+02)) ((2.805667e+01 -2.722496e+04 -2.474780e+02) (-4.304129e-01 -3.279177e+01 -1.735821e+00))
0.112063      	((4.727729e+03 -1.382593e+02 -1.169567e+05) (5.384646e+00 1.173943e+00 -8.102078e+01)) ((1.218486e+01 -2.623001e+04 -2.858046e+02) (-5.327687e-01 -3.774861e+01 -1.803451e+00))
0.12631       	((4.867771e+03 -1.359914e+02 -1.144222e+05) (5.715319e+00 1.337123e+00 -6.502559e+01)) ((2.912091e+01 -2.514322e+04 -3.332328e+02) (-5.863554e-01 -4.141263e+01 -2.056107e+00))
