# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((1.773835e+03 7.227137e+04 -2.825253e+02) (5.310746e-02 2.899994e+00 7.500442e-02)) ((8.591815e+01 9.533660e+02 3.755838e+05) (1.708148e-01 -1.134686e-01 3.318975e+01))
0.0256636     	((2.482363e+03 -5.397155e+04 -4.023501e+02) (-3.372205e-01 3.390739e+00 1.345711e-01)) ((6.988220e+02 7.927790e+01 -2.137840e+05) (2.643985e-01 -2.109435e-01 5.158519e+01))
0.0410359     	((1.798719e+03 3.157694e+04 -3.606404e+02) (-1.244421e+00 -6.936042e-01 2.523015e-01)) ((1.250590e+02 6.584447e+02 1.697896e+05) (4.659115e-01 -3.723644e-02 8.203077e+01))
0.0575707     	((2.039858e+03 -2.398492e+04 -4.201620e+02) (-1.426299e+00 -7.502854e+00 2.828907e-01)) ((4.176549e+02 7.913723e+01 -8.597303e+04) (1.927589e+00 2.907989e-01 1.606429e+02))
0.0740527     	((1.882568e+03 1.261729e+04 -2.869105e+02) (1.345575e+00 -4.946869e+00 2.213843e-01)) ((1.213636e+02 5.252152e+02 8.146589e+04) (2.725154e+00 6.428430e-01 2.648918e+02))
0.0917132     	((1.905957e+03 -1.123972e+04 -4.007067e+02) (1.818926e+00 -4.458547e+00 5.104330e-01)) ((2.807279e+02 2.935661e+02 -2.917564e+04) (2.135333e+00 5.053300e-01 2.750017e+02))
0.109427      	((1.857406e+03 4.497996e+03 -2.486793e+02) (1.990855e+00 -5.719994e+00 6.177199e-01)) ((1.324038e+02 4.986154e+02 4.368756e+04) (1.978732e+00 5.912076e-01 2.636574e+02))
0.127571      	((1.867381e+03 -5.748074e+03 -3.564242e+02) (2.059034e+00 -6.883789e+00 6.290369e-01)) ((2.007250e+02 5.014414e+02 -4.458386e+03) (1.845733e+00 6.809264e-01 2.515781e+02))
0.145842      	((1.876003e+03 9.581038e+02 -2.730036e+02) (2.084179e+00 -6.361224e+00 6.620271e-01)) ((1.280115e+02 5.885845e+02 2.717992e+04) (1.685693e+00 7.862159e-01 2.398233e+02))
0.164406      	((1.898858e+03 -3.467744e+03 -3.806889e+02) (2.185506e+00 -5.413564e+00 7.183023e-01)) ((1.563577e+02 6.785616e+02 6.369231e+03) (1.526939e+00 9.555760e-01 2.279868e+02))
0.182955      	((1.922484e+03 -6.503512e+02 -4.051088e+02) (2.229762e+00 -4.486292e+00 6.736613e-01)) ((1.274989e+02 6.793822e+02 1.995909e+04) (1.418107e+00 1.087173e+00 2.172751e+02))
0.201671      	((1.962305e+03 -2.473434e+03 -5.006058e+02) (2.258764e+00 -3.563291e+00 5.983868e-01)) ((1.360225e+02 7.625623e+02 1.092332e+04) (1.322072e+00 1.173750e+00 2.078056e+02))
0.220432      	((1.986751e+03 -1.284186e+03 -5.791359e+02) (2.261225e+00 -2.614456e+00 5.359245e-01)) ((1.264328e+02 7.361783e+02 1.670097e+04) (1.223355e+00 1.297918e+00 1.996129e+02))
0.239134      	((2.002801e+03 -2.009546e+03 -6.710568e+02) (2.263474e+00 -1.741121e+00 4.998256e-01)) ((1.325500e+02 7.347991e+02 1.271010e+04) (1.120135e+00 1.413765e+00 1.925071e+02))
0.257902      	((2.020949e+03 -1.485863e+03 -7.820992e+02) (2.251057e+00 -9.503969e-01 4.814887e-01)) ((1.324490e+02 6.017279e+02 1.510682e+04) (1.014827e+00 1.526606e+00 1.863861e+02))
0.276573      	((2.010705e+03 -1.773184e+03 -8.626642e+02) (2.253302e+00 -2.806677e-01 4.813064e-01)) ((1.415704e+02 5.504586e+02 1.329947e+04) (9.225593e-01 1.651180e+00 1.812040e+02))
0.295264      	((2.018652e+03 -1.525825e+03 -9.469932e+02) (2.250241e+00 2.616713e-01 4.324869e-01)) ((1.454610e+02 4.259823e+02 1.433579e+04) (8.419009e-01 1.675288e+00 1.768347e+02))
0.31398       	((1.987940e+03 -1.622651e+03 -1.013594e+03) (2.243194e+00 6.453634e-01 3.139191e-01)) ((1.515109e+02 3.969399e+02 1.349282e+04) (7.926738e-01 1.538225e+00 1.732430e+02))
0.332628      	((1.992197e+03 -1.498900e+03 -1.054106e+03) (2.241704e+00 8.820754e-01 1.582899e-01)) ((1.560289e+02 3.375452e+02 1.391796e+04) (7.847460e-01 1.320374e+00 1.702682e+02))
0.351349      	((1.949571e+03 -1.538792e+03 -1.083670e+03) (2.240382e+00 1.009764e+00 -3.820421e-02)) ((1.593424e+02 3.642964e+02 1.349434e+04) (8.024705e-01 1.026007e+00 1.677609e+02))
0.370013      	((1.957173e+03 -1.469311e+03 -1.095383e+03) (2.230518e+00 1.061248e+00 -2.460761e-01)) ((1.584867e+02 3.874725e+02 1.364949e+04) (8.336486e-01 6.996462e-01 1.656619e+02))
0.388673      	((1.914542e+03 -1.465205e+03 -1.069491e+03) (2.210915e+00 1.065366e+00 -4.530212e-01)) ((1.556826e+02 4.881911e+02 1.341307e+04) (8.757876e-01 3.839713e-01 1.638744e+02))
0.407377      	((1.924564e+03 -1.412825e+03 -1.052266e+03) (2.183938e+00 1.046866e+00 -6.481184e-01)) ((1.502359e+02 5.672956e+02 1.346630e+04) (9.313168e-01 9.039254e-02 1.623338e+02))
0.425997      	((1.887069e+03 -1.398972e+03 -1.013297e+03) (2.178857e+00 1.010430e+00 -8.258788e-01)) ((1.427812e+02 7.045900e+02 1.334393e+04) (9.948965e-01 -1.768629e-01 1.609975e+02))
0.444682      	((1.901166e+03 -1.363712e+03 -9.866531e+02) (2.188704e+00 9.595736e-01 -9.810362e-01)) ((1.314939e+02 8.172019e+02 1.335142e+04) (1.052281e+00 -3.802102e-01 1.598392e+02))
0.463334      	((1.868982e+03 -1.350456e+03 -9.478853e+02) (2.197982e+00 9.229814e-01 -1.102569e+00)) ((1.186298e+02 9.652529e+02 1.329509e+04) (1.099863e+00 -5.158444e-01 1.588209e+02))
0.481966      	((1.884206e+03 -1.332264e+03 -9.184280e+02) (2.204220e+00 9.027779e-01 -1.201739e+00)) ((1.047026e+02 1.091878e+03 1.331667e+04) (1.135106e+00 -5.747550e-01 1.578846e+02))
0.500662      	((1.851369e+03 -1.328235e+03 -8.797094e+02) (2.211846e+00 8.917559e-01 -1.278524e+00)) ((9.179638e+01 1.238803e+03 1.331122e+04) (1.160456e+00 -5.782325e-01 1.570334e+02))
0.519282      	((1.868072e+03 -1.320341e+03 -8.517185e+02) (2.211103e+00 8.830417e-01 -1.347582e+00)) ((7.954415e+01 1.342248e+03 1.334808e+04) (1.179594e+00 -5.623828e-01 1.562372e+02))
0.537957      	((1.834918e+03 -1.311640e+03 -8.159850e+02) (2.211252e+00 8.728297e-01 -1.415838e+00)) ((6.649184e+01 1.471683e+03 1.335574e+04) (1.194054e+00 -5.255097e-01 1.554773e+02))
0.556623      	((1.849127e+03 -1.302414e+03 -7.755776e+02) (2.221449e+00 8.748126e-01 -1.483657e+00)) ((5.121644e+01 1.590330e+03 1.338495e+04) (1.203492e+00 -4.716025e-01 1.547644e+02))
0.575263      	((1.816799e+03 -1.288040e+03 -7.350792e+02) (2.249994e+00 8.787251e-01 -1.548084e+00)) ((3.865592e+01 1.706222e+03 1.339935e+04) (1.211089e+00 -4.044513e-01 1.540929e+02))
0.593974      	((1.830040e+03 -1.278018e+03 -6.894493e+02) (2.289873e+00 8.738422e-01 -1.614792e+00)) ((2.464933e+01 1.815948e+03 1.343585e+04) (1.217684e+00 -3.566326e-01 1.534713e+02))
0.612619      	((1.797486e+03 -1.272882e+03 -6.520293e+02) (2.333739e+00 8.627191e-01 -1.681534e+00)) ((1.494498e+01 1.901198e+03 1.346990e+04) (1.222120e+00 -3.268101e-01 1.528969e+02))
0.631315      	((1.814000e+03 -1.265456e+03 -6.210919e+02) (2.371995e+00 8.402703e-01 -1.750948e+00)) ((5.344506e+00 1.963564e+03 1.351890e+04) (1.224417e+00 -2.958515e-01 1.523689e+02))
0.650019      	((1.782273e+03 -1.257241e+03 -5.964162e+02) (2.403273e+00 7.985381e-01 -1.822240e+00)) ((2.483487e-01 2.004679e+03 1.356231e+04) (1.229804e+00 -2.886497e-01 1.519280e+02))
