# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -9.000000e-02)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-4.795076e+00 -8.903105e-04 -9.107071e-03)) ((0.000000e+00 0.000000e+00 0.000000e+00) (1.409471e-03 4.273641e-01 3.416076e-02))
0.0034055     	((-1.649793e+04 5.196041e+01 -9.890705e+02) (-9.517197e+00 7.680687e-03 1.592364e-01)) ((-1.090951e+01 -8.686353e+03 1.415180e+01) (1.846130e-03 1.099690e+00 4.504815e-02))
0.00749209    	((3.183536e+03 -7.160681e+01 3.526170e+01) (-1.987886e+01 2.086234e-04 6.222521e-01)) ((1.626415e+01 1.636521e+03 -2.766226e+01) (-2.681404e-03 2.634496e+00 6.625164e-02))
0.0123527     	((5.218865e+02 -2.801906e+01 -2.214903e+02) (-4.331991e+01 -2.019005e-02 3.775741e-01)) ((1.219332e+01 1.349582e+03 -4.607459e+01) (-1.406984e-02 5.333705e+00 1.132836e-01))
0.0178867     	((-5.089183e+02 5.195126e+00 -2.633040e+02) (-5.739704e+01 1.072016e-02 2.565564e-02)) ((5.666992e+00 1.135065e+02 -2.505925e+01) (-1.421635e-02 6.313966e+00 -5.313893e-02))
0.024145      	((-5.521229e+02 5.657517e+00 -2.503188e+02) (-6.266818e+01 1.283531e-02 -1.156912e-01)) ((7.637165e+00 8.317245e+01 -3.000479e+01) (-1.671147e-02 6.270264e+00 -1.503109e-01))
0.0309793     	((-4.611225e+02 -2.762687e+00 -2.527283e+02) (-6.121152e+01 1.530531e-02 -1.530690e-01)) ((8.185412e+00 8.362742e+01 -2.826428e+01) (-1.904488e-02 6.146226e+00 -1.472287e-01))
0.0378834     	((-4.463599e+02 9.420654e-01 -2.426056e+02) (-5.998568e+01 2.717762e-02 -1.783094e-01)) ((8.062867e+00 7.182334e+01 -2.812770e+01) (-2.088441e-02 6.036807e+00 -1.546289e-01))
0.044796      	((-4.378371e+02 5.414907e+00 -2.336232e+02) (-5.894340e+01 4.087461e-02 -1.986012e-01)) ((8.158815e+00 6.507367e+01 -2.622957e+01) (-2.153875e-02 5.941981e+00 -1.658782e-01))
0.0514661     	((-4.288456e+02 5.740513e+00 -2.286041e+02) (-5.805727e+01 4.659687e-02 -2.222440e-01)) ((8.482631e+00 5.971242e+01 -2.636081e+01) (-2.132887e-02 5.853926e+00 -1.720320e-01))
