# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((1.428718e+00 1.311231e+03 -9.963223e+01) (5.670459e-04 5.378681e-01 -8.466802e-03)) ((6.979231e+02 -6.478523e+00 1.248981e+01) (5.530291e-01 8.623466e-04 -8.629725e-02))
0.0264        	((-4.184273e-01 -8.333371e+02 5.556379e+01) (1.000091e-03 4.859412e-01 -5.579060e-03)) ((-4.491950e+02 4.781575e+00 -3.944821e+01) (5.222050e-01 1.642825e-03 -8.676715e-02))
0.04368       	((1.248722e+00 5.791240e+02 -4.318391e+01) (7.534117e-04 4.291505e-01 -7.718388e-03)) ((3.084228e+02 -2.107938e+00 1.817599e+01) (4.820094e-01 2.451688e-03 -7.624141e-02))
0.064416      	((1.457313e-01 -3.332698e+02 1.745172e+01) (5.219014e-04 3.976224e-01 -1.129757e-02)) ((-1.865839e+02 2.148038e+00 -2.530159e+01) (4.602917e-01 2.179439e-03 -6.925486e-02))
0.0892992     	((9.431438e-01 2.278762e+02 -2.321741e+01) (1.472448e-04 3.648770e-01 -1.791867e-02)) ((1.267442e+02 -5.178164e-01 8.102021e+00) (4.372928e-01 1.372697e-03 -6.308613e-02))
0.119159      	((3.924809e-01 -1.194976e+02 3.746341e+00) (1.708382e-04 3.431803e-01 -2.374338e-02)) ((-7.265168e+01 1.263828e+00 -1.504400e+01) (4.227458e-01 5.101779e-04 -5.898013e-02))
0.154858      	((5.845982e-01 9.289840e+01 -1.434705e+01) (-1.058922e-05 3.202258e-01 -3.057012e-02)) ((5.329852e+01 -1.347498e-01 1.894317e+00) (4.066030e-01 3.613478e-04 -5.542282e-02))
0.196504      	((3.353066e-01 -3.649648e+01 -2.680916e+00) (-1.781101e-04 3.034528e-01 -3.728234e-02)) ((-2.639254e+01 5.605388e-01 -8.725170e+00) (3.953579e-01 2.710566e-04 -5.272848e-02))
0.244149      	((3.620876e-01 4.098991e+01 -1.057281e+01) (-5.587151e-04 2.875009e-01 -4.233589e-02)) ((2.349305e+01 -7.424400e-02 -1.143383e+00) (3.844803e-01 1.764254e-05 -5.049119e-02))
0.297846      	((2.822665e-01 -4.785128e+00 -5.647393e+00) (-1.057897e-03 2.755887e-01 -4.751063e-02)) ((-7.885237e+00 2.288343e-01 -5.442358e+00) (3.758556e-01 -1.185814e-04 -4.857094e-02))
0.357586      	((2.551647e-01 2.317370e+01 -8.811936e+00) (-1.636891e-03 2.651568e-01 -5.209345e-02)) ((1.165639e+01 -9.967797e-02 -2.150501e+00) (3.676351e-01 -6.867991e-05 -4.722012e-02))
0.417926      	((2.160941e-01 8.068562e+00 -6.848981e+00) (-2.057012e-03 2.576955e-01 -5.608200e-02)) ((-4.280848e-01 1.436593e-02 -3.713240e+00) (3.610369e-01 4.085055e-05 -4.619149e-02))
0.478267      	((2.089044e-01 1.722536e+01 -7.944669e+00) (-2.267168e-03 2.513594e-01 -5.913530e-02)) ((6.858526e+00 -1.482735e-01 -2.559492e+00) (3.551706e-01 1.669459e-04 -4.538077e-02))
0.538351      	((1.593145e-01 1.340835e+01 -7.074556e+00) (-2.420906e-03 2.465240e-01 -6.185357e-02)) ((2.569563e+00 -1.126096e-01 -3.000067e+00) (3.502628e-01 3.469924e-04 -4.479055e-02))
0.598259      	((1.751936e-01 1.669475e+01 -7.433235e+00) (-2.550081e-03 2.424566e-01 -6.399866e-02)) ((5.218959e+00 -1.688670e-01 -2.588817e+00) (3.460171e-01 5.913403e-04 -4.435675e-02))
