# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -9.000000e-02)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-6.208310e-06 -1.395486e+00 1.479043e-03)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-1.177681e-01 4.289567e-04 3.306603e-01))
0.00943865    	((4.396806e+00 -3.546693e+04 -2.566770e+02) (3.664841e-03 -4.002686e+00 -2.877615e-01)) ((4.664809e+02 5.930614e+01 -2.851609e+02) (-4.474955e-01 -2.337594e-02 1.182388e+00))
0.0204424     	((-1.222904e+01 7.498966e+03 -1.653119e+03) (4.162873e-02 -8.929897e+00 -1.811059e+00)) ((-5.333404e+01 -4.884295e+01 1.869027e+02) (-1.295406e+00 -1.482656e-01 2.264502e+00))
0.0327333     	((-2.168672e+01 4.000785e+03 -1.191327e+03) (1.502045e-01 -9.523182e+00 -3.759257e+00)) ((-1.411074e+02 -4.268115e+01 1.519117e+02) (-1.628559e+00 1.837977e-01 1.848400e+00))
0.0464548     	((-2.600430e+01 -7.742363e+02 -1.111661e+03) (1.432624e-01 -7.760042e+00 -3.419558e+00)) ((-5.716783e+01 -5.473362e+01 7.651112e+01) (-1.344642e+00 1.996538e-01 1.714442e+00))
0.0615997     	((-2.623924e+01 -7.212366e+02 -1.041284e+03) (1.521018e-01 -6.791749e+00 -3.441824e+00)) ((-4.409414e+01 -5.481081e+01 5.465587e+01) (-1.207768e+00 2.264918e-01 1.612302e+00))
0.0766739     	((-2.794182e+01 -5.350448e+02 -1.016278e+03) (1.521758e-01 -6.128700e+00 -3.521162e+00)) ((-3.499373e+01 -5.824278e+01 4.239793e+01) (-1.113362e+00 2.437255e-01 1.532794e+00))
0.0920093     	((-2.683526e+01 -5.567284e+02 -9.740985e+02) (1.509512e-01 -5.613244e+00 -3.577369e+00)) ((-3.094135e+01 -5.929512e+01 3.332037e+01) (-1.038575e+00 2.539523e-01 1.467871e+00))
0.107335      	((-2.517571e+01 -5.798439e+02 -9.455445e+02) (1.517322e-01 -5.210481e+00 -3.623352e+00)) ((-2.855537e+01 -6.055870e+01 2.448155e+01) (-9.802521e-01 2.586914e-01 1.415021e+00))
0.122748      	((-2.327363e+01 -5.973082e+02 -9.094531e+02) (1.541686e-01 -4.882786e+00 -3.656650e+00)) ((-2.710452e+01 -6.089811e+01 1.815804e+01) (-9.307837e-01 2.578323e-01 1.367365e+00))
0.138246      	((-2.141742e+01 -6.177881e+02 -8.821869e+02) (1.578101e-01 -4.610085e+00 -3.683053e+00)) ((-2.603900e+01 -6.160211e+01 1.244680e+01) (-8.882395e-01 2.507707e-01 1.325174e+00))
0.153837      	((-1.950968e+01 -6.378056e+02 -8.513591e+02) (1.618033e-01 -4.375235e+00 -3.707135e+00)) ((-2.531292e+01 -6.166593e+01 7.805621e+00) (-8.510217e-01 2.387037e-01 1.288356e+00))
0.169514      	((-1.820939e+01 -6.557469e+02 -8.257661e+02) (1.651766e-01 -4.166681e+00 -3.731717e+00)) ((-2.477841e+01 -6.225271e+01 4.413207e+00) (-8.181612e-01 2.238555e-01 1.254481e+00))
0.185278      	((-1.705108e+01 -6.723512e+02 -7.979421e+02) (1.675206e-01 -3.980766e+00 -3.756190e+00)) ((-2.440505e+01 -6.240934e+01 1.170226e+00) (-7.884668e-01 2.074459e-01 1.224021e+00))
0.2009        	((-1.626468e+01 -6.891202e+02 -7.753574e+02) (1.685129e-01 -3.817105e+00 -3.774466e+00)) ((-2.419798e+01 -6.331121e+01 -1.966309e+00) (-7.607874e-01 1.906096e-01 1.198199e+00))
0.216343      	((-1.559230e+01 -7.032443e+02 -7.517201e+02) (1.677385e-01 -3.673524e+00 -3.783337e+00)) ((-2.428578e+01 -6.406165e+01 -3.862151e+00) (-7.353155e-01 1.733590e-01 1.176814e+00))
