# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((4.208715e+02 -1.346173e+01 9.796587e+02) (-3.515547e-01 -1.900302e-03 5.095415e-01)) ((4.513522e-01 8.297701e+02 -1.338690e+00) (1.762861e-03 1.141337e+00 1.004875e-03))
0.0264        	((-3.146921e+02 9.536437e+00 -5.719030e+02) (-3.883410e-01 -1.745264e-03 5.001521e-01)) ((-1.235680e+00 -4.827051e+02 4.637746e+00) (5.376820e-04 1.143253e+00 6.408643e-04))
0.04368       	((2.011075e+02 -4.836521e+00 4.243712e+02) (-3.926162e-01 -1.206363e-03 4.268502e-01)) ((2.014945e-01 3.655112e+02 -7.881346e-01) (6.193680e-04 1.057268e+00 2.482636e-04))
0.0637881     	((-1.463309e+02 3.781755e+00 -2.273697e+02) (-3.817345e-01 -3.585299e-04 3.727437e-01)) ((-6.700868e-01 -1.935959e+02 3.062742e+00) (9.205187e-04 9.917852e-01 -9.177110e-04))
0.0867527     	((8.712003e+01 -6.235157e-01 1.902159e+02) (-3.707119e-01 -1.805389e-04 3.342955e-01)) ((2.345938e-01 1.622652e+02 4.366166e-01) (1.212759e-03 9.402767e-01 -1.300607e-03))
0.112593      	((-6.885883e+01 1.945703e+00 -8.428765e+01) (-3.604405e-01 -5.315723e-04 3.086253e-01)) ((-3.498579e-01 -7.222895e+01 2.377699e+00) (1.755462e-03 9.045901e-01 -1.501671e-03))
0.141333      	((3.536567e+01 5.926415e-01 9.324200e+01) (-3.531294e-01 -7.926829e-04 2.876166e-01)) ((1.412548e-01 7.856552e+01 9.512359e-01) (2.387594e-03 8.733459e-01 -1.708549e-03))
0.170427      	((-3.364597e+01 1.296497e+00 -2.465992e+01) (-3.463864e-01 -1.335609e-03 2.725682e-01)) ((-2.764257e-01 -2.079313e+01 2.179764e+00) (2.515143e-03 8.501043e-01 -1.656810e-03))
0.199551      	((1.165347e+01 5.291807e-01 5.119457e+01) (-3.411829e-01 -2.158939e-03 2.603236e-01)) ((-2.340623e-02 4.255347e+01 1.222539e+00) (2.252534e-03 8.297226e-01 -1.239870e-03))
0.228671      	((-1.797065e+01 9.530429e-01 6.115608e-01) (-3.357519e-01 -2.894887e-03 2.509676e-01)) ((-2.665610e-01 9.412217e-01 2.144431e+00) (1.882325e-03 8.137684e-01 -1.012631e-03))
0.257701      	((1.115893e+00 2.798419e-01 3.267400e+01) (-3.341830e-01 -3.470454e-03 2.422093e-01)) ((-1.649854e-01 2.681743e+01 1.434606e+00) (1.782758e-03 8.014005e-01 -1.982318e-03))
0.286589      	((-1.101324e+01 8.811997e-01 1.107205e+01) (-3.319627e-01 -3.817608e-03 2.347969e-01)) ((-2.400484e-01 9.828949e+00 1.988202e+00) (1.667852e-03 7.910764e-01 -2.428480e-03))
0.315248      	((-3.401580e+00 6.101496e-01 2.431233e+01) (-3.295284e-01 -4.207949e-03 2.286979e-01)) ((-1.668506e-01 2.004947e+01 1.655730e+00) (1.593859e-03 7.821863e-01 -2.414269e-03))
0.343628      	((-8.022699e+00 9.308371e-01 1.560747e+01) (-3.269162e-01 -4.528610e-03 2.235690e-01)) ((-1.837432e-01 1.351780e+01 1.935514e+00) (1.531226e-03 7.744200e-01 -2.092269e-03))
0.371725      	((-5.169884e+00 9.282731e-01 2.053624e+01) (-3.248446e-01 -4.517978e-03 2.189845e-01)) ((-1.566460e-01 1.731650e+01 1.817952e+00) (1.382935e-03 7.674329e-01 -1.751436e-03))
0.399572      	((-6.897446e+00 1.029581e+00 1.725204e+01) (-3.229911e-01 -4.323483e-03 2.148037e-01)) ((-1.997819e-01 1.479102e+01 1.898497e+00) (1.185097e-03 7.609562e-01 -1.453152e-03))
0.427237      	((-5.864543e+00 9.566586e-01 1.897337e+01) (-3.211687e-01 -4.047688e-03 2.109937e-01)) ((-2.002337e-01 1.618263e+01 1.753829e+00) (9.211615e-04 7.547405e-01 -1.097026e-03))
0.454819      	((-6.565200e+00 9.481338e-01 1.768967e+01) (-3.193045e-01 -3.900202e-03 2.077926e-01)) ((-2.333867e-01 1.511867e+01 1.695867e+00) (5.082193e-04 7.487345e-01 -7.977215e-04))
0.48241       	((-6.206818e+00 6.991716e-01 1.840539e+01) (-3.204824e-01 -3.940927e-03 2.039664e-01)) ((-2.704259e-01 1.560136e+01 1.531947e+00) (3.949086e-04 7.443559e-01 -1.802202e-03))
0.51009       	((-6.504215e+00 8.949709e-01 1.779233e+01) (-3.211436e-01 -3.875819e-03 2.003037e-01)) ((-2.854095e-01 1.511421e+01 1.642652e+00) (3.359135e-04 7.403843e-01 -2.329607e-03))
0.537929      	((-6.382720e+00 7.457341e-01 1.799826e+01) (-3.210932e-01 -3.828871e-03 1.970068e-01)) ((-2.815462e-01 1.531463e+01 1.546145e+00) (1.985638e-04 7.364106e-01 -2.416351e-03))
0.565982      	((-6.549795e+00 9.432602e-01 1.766141e+01) (-3.210323e-01 -3.823324e-03 1.938879e-01)) ((-2.603507e-01 1.506937e+01 1.663067e+00) (4.997805e-05 7.326596e-01 -2.492799e-03))
0.594285      	((-6.541376e+00 8.254183e-01 1.771830e+01) (-3.207569e-01 -3.779149e-03 1.909538e-01)) ((-2.371482e-01 1.515434e+01 1.561103e+00) (-1.394307e-04 7.290075e-01 -2.506129e-03))
0.62284       	((-6.664468e+00 9.978670e-01 1.748424e+01) (-3.207777e-01 -3.602603e-03 1.881706e-01)) ((-2.263982e-01 1.498763e+01 1.631817e+00) (-3.206550e-04 7.255089e-01 -2.458532e-03))
0.651612      	((-6.719658e+00 9.092789e-01 1.751617e+01) (-3.206832e-01 -3.437283e-03 1.856401e-01)) ((-2.289086e-01 1.495533e+01 1.456540e+00) (-4.869073e-04 7.222100e-01 -2.329454e-03))
0.680552      	((-6.825134e+00 1.020481e+00 1.736874e+01) (-3.198666e-01 -3.355364e-03 1.838927e-01)) ((-2.304200e-01 1.480896e+01 1.509528e+00) (-8.164411e-04 7.190040e-01 -1.987340e-03))
0.709611      	((-6.942025e+00 8.425380e-01 1.745307e+01) (-3.213267e-01 -3.523430e-03 1.818854e-01)) ((-2.625626e-01 1.472608e+01 1.289727e+00) (-1.016612e-03 7.171639e-01 -2.850965e-03))
0.738748      	((-7.033836e+00 1.046178e+00 1.734106e+01) (-3.226172e-01 -3.637136e-03 1.799727e-01)) ((-2.520442e-01 1.462625e+01 1.386251e+00) (-1.246028e-03 7.158642e-01 -3.528368e-03))
0.767936      	((-7.115085e+00 8.968428e-01 1.735129e+01) (-3.230355e-01 -3.730288e-03 1.784595e-01)) ((-2.613521e-01 1.458344e+01 1.217106e+00) (-1.624082e-03 7.145987e-01 -3.722752e-03))
0.797156      	((-7.153216e+00 1.095884e+00 1.723421e+01) (-3.232553e-01 -3.922302e-03 1.771622e-01)) ((-2.534626e-01 1.455548e+01 1.356858e+00) (-2.024176e-03 7.135003e-01 -3.787810e-03))
0.826391      	((-7.198864e+00 1.075062e+00 1.717337e+01) (-3.231593e-01 -4.033331e-03 1.760693e-01)) ((-2.483245e-01 1.453117e+01 1.232273e+00) (-2.411075e-03 7.125006e-01 -3.775610e-03))
0.855615      	((-7.214937e+00 1.305498e+00 1.704861e+01) (-3.231782e-01 -3.870264e-03 1.750943e-01)) ((-2.429622e-01 1.452395e+01 1.383002e+00) (-2.788291e-03 7.115897e-01 -3.762329e-03))
0.884797      	((-7.244019e+00 1.410242e+00 1.702089e+01) (-3.233999e-01 -3.779017e-03 1.744364e-01)) ((-2.572893e-01 1.450131e+01 1.272372e+00) (-3.121653e-03 7.109340e-01 -3.695653e-03))
0.913923      	((-7.270536e+00 1.539464e+00 1.696056e+01) (-3.231805e-01 -3.936231e-03 1.743109e-01)) ((-2.549204e-01 1.449805e+01 1.379915e+00) (-3.464665e-03 7.102547e-01 -3.392383e-03))
0.942995      	((-7.357393e+00 1.501852e+00 1.705102e+01) (-3.249509e-01 -4.169211e-03 1.736642e-01)) ((-2.736654e-01 1.442683e+01 1.111514e+00) (-3.517196e-03 7.104353e-01 -3.886598e-03))
0.972025      	((-7.380143e+00 1.607724e+00 1.702654e+01) (-3.264260e-01 -4.431215e-03 1.729274e-01)) ((-2.733570e-01 1.445554e+01 1.269566e+00) (-3.547750e-03 7.106632e-01 -4.154280e-03))
1.001026      	((-7.424482e+00 1.613455e+00 1.704081e+01) (-3.272256e-01 -4.635718e-03 1.720909e-01)) ((-2.646664e-01 1.443279e+01 1.095696e+00) (-3.647707e-03 7.105095e-01 -4.240636e-03))
1.030005      	((-7.412857e+00 1.804590e+00 1.694836e+01) (-3.277925e-01 -4.745424e-03 1.711886e-01)) ((-2.346588e-01 1.447522e+01 1.240005e+00) (-3.780853e-03 7.101143e-01 -4.319118e-03))
