# Forces      
# CofR        : (0.000000e+00 0.000000e+00 -9.000000e-02)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-3.865227e-03 -4.456115e-04 -1.143606e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-3.960538e-03 -1.992780e-01 7.704787e-04))
0.012         	((-9.140160e+01 5.069169e+01 -1.731543e+04) (2.886613e-02 -2.968212e-03 -3.392934e+00)) ((2.338594e+01 -1.907941e+03 -2.110575e+01) (-2.195842e-02 -5.188087e-01 -5.712226e-03))
0.0264        	((6.545049e+00 -1.261123e+01 1.575694e+03) (3.706470e-03 5.023481e-03 -7.427067e+00)) ((3.176962e-02 1.196701e+02 4.074617e+00) (-1.482421e-02 -6.199082e-01 -2.366601e-02))
0.04368       	((-1.005075e+00 -3.636084e+00 1.776566e+03) (4.273766e-02 1.171330e-02 -7.367526e+00)) ((-3.669962e+00 1.242680e+02 6.890251e+00) (1.885556e-03 -7.501809e-01 -1.643982e-02))
0.064416      	((-2.713713e+00 -5.095218e+00 2.204814e+02) (6.341241e-02 7.063498e-03 -7.160417e+00)) ((1.226879e+00 -2.042532e+01 3.501801e+00) (3.918762e-03 -7.727848e-01 -9.041414e-03))
0.0892992     	((-4.624802e+00 -7.445769e+00 6.775469e+01) (7.400127e-02 3.797523e-03 -6.876789e+00)) ((1.038806e+00 -3.428878e+01 2.093512e+00) (2.949956e-03 -6.905091e-01 -5.325127e-03))
0.118393      	((-4.975053e+00 -1.766865e+00 7.706793e+00) (8.025310e-02 2.832236e-03 -6.602871e+00)) ((7.841292e-01 -3.661327e+01 2.507010e+00) (2.686306e-03 -6.108543e-01 -2.870936e-03))
0.151698      	((-3.811804e+00 -1.757282e+00 -4.157303e+01) (8.413997e-02 3.257205e-03 -6.370210e+00)) ((8.860978e-01 -3.892194e+01 2.322528e+00) (4.126651e-03 -5.482212e-01 -8.791927e-04))
0.189214      	((-2.893252e+00 -3.555350e+00 -7.342713e+01) (8.640241e-02 4.375391e-03 -6.168152e+00)) ((9.357607e-01 -3.990439e+01 2.645955e+00) (5.563376e-03 -4.981867e-01 6.322550e-04))
0.23094       	((-2.499639e+00 -3.278990e+00 -9.337980e+01) (8.715499e-02 5.954079e-03 -5.994821e+00)) ((8.276512e-01 -4.032276e+01 2.833549e+00) (6.147103e-03 -4.558776e-01 1.329175e-03))
0.273047      	((-2.099905e+00 -3.723911e+00 -1.036165e+02) (8.670873e-02 7.643271e-03 -5.860003e+00)) ((8.196819e-01 -3.995374e+01 2.866942e+00) (6.279978e-03 -4.220119e-01 7.964819e-04))
0.315154      	((-1.760745e+00 -4.361176e+00 -1.102892e+02) (8.570725e-02 8.735866e-03 -5.756401e+00)) ((8.007523e-01 -3.923181e+01 2.975177e+00) (6.405824e-03 -3.943782e-01 1.841921e-04))
0.357261      	((-1.586027e+00 -5.133259e+00 -1.151917e+02) (8.387205e-02 9.314329e-03 -5.677887e+00)) ((8.128562e-01 -3.860745e+01 3.228388e+00) (6.060497e-03 -3.720558e-01 -2.634719e-04))
0.399366      	((-1.450609e+00 -5.697400e+00 -1.189728e+02) (8.222575e-02 9.679285e-03 -5.618312e+00)) ((8.100664e-01 -3.809833e+01 3.113161e+00) (5.226627e-03 -3.545479e-01 -1.165366e-03))
0.441472      	((-1.286523e+00 -6.644524e+00 -1.219401e+02) (8.072719e-02 1.017253e-02 -5.572274e+00)) ((7.879534e-01 -3.756727e+01 3.131511e+00) (4.491728e-03 -3.402644e-01 -2.473237e-03))
0.483577      	((-1.148022e+00 -7.344061e+00 -1.238318e+02) (7.906285e-02 1.031559e-02 -5.535633e+00)) ((7.729567e-01 -3.700546e+01 3.131885e+00) (4.139884e-03 -3.281420e-01 -3.769383e-03))
0.525683      	((-1.105491e+00 -7.952099e+00 -1.249558e+02) (7.785996e-02 1.017715e-02 -5.506306e+00)) ((7.999420e-01 -3.646268e+01 3.341158e+00) (4.221044e-03 -3.178474e-01 -4.709514e-03))
0.567789      	((-1.091256e+00 -8.337899e+00 -1.253964e+02) (7.783915e-02 1.033921e-02 -5.482527e+00)) ((8.126501e-01 -3.589979e+01 3.415929e+00) (4.724521e-03 -3.093919e-01 -5.997997e-03))
0.609894      	((-1.070144e+00 -8.642928e+00 -1.255156e+02) (7.765633e-02 1.085995e-02 -5.463663e+00)) ((8.544748e-01 -3.542210e+01 3.559039e+00) (5.523110e-03 -3.027243e-01 -7.300376e-03))
0.652         	((-1.054215e+00 -8.992508e+00 -1.254801e+02) (7.692646e-02 1.121164e-02 -5.448166e+00)) ((9.399656e-01 -3.506696e+01 3.718794e+00) (6.280299e-03 -2.972626e-01 -8.694978e-03))
0.694105      	((-1.068258e+00 -9.121707e+00 -1.253739e+02) (7.585424e-02 1.190381e-02 -5.435514e+00)) ((1.048222e+00 -3.476344e+01 3.955642e+00) (6.650508e-03 -2.928620e-01 -9.941857e-03))
0.73621       	((-1.005990e+00 -9.269085e+00 -1.253181e+02) (7.487898e-02 1.251790e-02 -5.425578e+00)) ((1.117462e+00 -3.452255e+01 4.176885e+00) (6.814161e-03 -2.897124e-01 -1.118169e-02))
0.778314      	((-9.162079e-01 -9.397172e+00 -1.252826e+02) (7.366693e-02 1.336569e-02 -5.417510e+00)) ((1.218785e+00 -3.431245e+01 4.554464e+00) (7.063873e-03 -2.870518e-01 -1.230999e-02))
0.820418      	((-7.913767e-01 -9.606502e+00 -1.252647e+02) (7.250881e-02 1.428938e-02 -5.409901e+00)) ((1.287597e+00 -3.416063e+01 4.766482e+00) (7.404125e-03 -2.843865e-01 -1.355476e-02))
0.862522      	((-6.881069e-01 -9.661328e+00 -1.251996e+02) (7.145844e-02 1.547639e-02 -5.402719e+00)) ((1.337690e+00 -3.403739e+01 4.933987e+00) (7.689479e-03 -2.817501e-01 -1.448561e-02))
