# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((2.425472e-01 8.656187e+01 -1.679279e+01) (5.803545e-03 -2.808084e-01 -1.915572e-02)) ((9.234622e-01 -7.752425e-01 1.427420e+03) (-6.135271e-02 2.584513e-03 7.367664e-01))
0.0264        	((-1.035163e-01 -1.681615e+02 -2.637041e+01) (1.302534e-02 -2.875632e-01 -3.476200e-02)) ((-2.147485e+01 -3.614026e+00 -9.137285e+02) (-6.202080e-02 7.367181e-03 6.944138e-01))
0.04368       	((1.542459e+00 1.236359e+02 -1.648975e+01) (1.424864e-02 -2.654925e-01 -4.091171e-02)) ((1.440738e+01 1.013962e+00 6.387608e+02) (-5.768906e-02 8.849071e-03 6.093926e-01))
0.064416      	((-9.344919e-01 -1.231069e+02 -2.627855e+01) (1.528151e-02 -2.560132e-01 -4.977742e-02)) ((-1.876586e+01 -3.991157e+00 -3.614146e+02) (-5.480106e-02 1.013256e-02 5.593103e-01))
0.0892992     	((4.772662e-01 7.258256e+01 -1.741183e+01) (1.604074e-02 -2.410052e-01 -5.638325e-02)) ((8.349712e+00 -7.068525e-01 2.529444e+02) (-5.111901e-02 1.110328e-02 5.059788e-01))
0.118914      	((-7.847816e-01 -6.041950e+01 -2.373598e+01) (1.697525e-02 -2.302429e-01 -6.429506e-02)) ((-9.313991e+00 -3.187611e+00 -1.212346e+02) (-4.888679e-02 1.135869e-02 4.734784e-01))
0.153333      	((-1.022345e-01 2.325791e+01 -1.885661e+01) (1.780718e-02 -2.194711e-01 -6.988160e-02)) ((5.696877e-01 -1.958552e+00 1.011120e+02) (-4.653805e-02 1.145410e-02 4.378918e-01))
0.192516      	((-7.793562e-01 -2.693002e+01 -2.169283e+01) (1.798545e-02 -2.102945e-01 -7.541773e-02)) ((-4.420315e+00 -3.097891e+00 -3.081101e+01) (-4.474304e-02 1.159189e-02 4.130858e-01))
0.236404      	((-5.900155e-01 4.064546e+00 -1.913996e+01) (1.778231e-02 -2.007538e-01 -8.031505e-02)) ((-1.797682e+00 -2.648059e+00 4.717464e+01) (-4.290709e-02 1.207553e-02 3.887228e-01))
0.282724      	((-8.069653e-01 -1.235849e+01 -2.061567e+01) (1.721420e-02 -1.929177e-01 -8.462762e-02)) ((-2.717636e+00 -3.092366e+00 1.499675e+00) (-4.150014e-02 1.215381e-02 3.710118e-01))
0.328439      	((-7.868868e-01 -2.181467e+00 -1.908496e+01) (1.656107e-02 -1.860977e-01 -8.841133e-02)) ((-2.220908e+00 -2.899182e+00 2.823522e+01) (-4.019081e-02 1.208390e-02 3.559526e-01))
0.373839      	((-8.329769e-01 -7.307401e+00 -1.963735e+01) (1.594050e-02 -1.803649e-01 -9.139683e-02)) ((-2.319302e+00 -3.088711e+00 1.318139e+01) (-3.903047e-02 1.171368e-02 3.444957e-01))
0.419157      	((-8.511539e-01 -3.444617e+00 -1.867898e+01) (1.537317e-02 -1.753073e-01 -9.421005e-02)) ((-2.152758e+00 -2.985484e+00 2.220676e+01) (-3.796215e-02 1.121975e-02 3.343188e-01))
0.464562      	((-8.938397e-01 -5.219337e+00 -1.877415e+01) (1.496378e-02 -1.705070e-01 -9.691982e-02)) ((-2.058445e+00 -3.074768e+00 1.701654e+01) (-3.685721e-02 1.085046e-02 3.261299e-01))
0.510061      	((-8.445744e-01 -3.693074e+00 -1.819264e+01) (1.495712e-02 -1.662607e-01 -9.917194e-02)) ((-1.993163e+00 -3.014227e+00 2.037788e+01) (-3.591582e-02 1.027973e-02 3.186332e-01))
0.555702      	((-8.329524e-01 -4.386799e+00 -1.813526e+01) (1.508559e-02 -1.625267e-01 -1.009204e-01)) ((-1.920987e+00 -3.030751e+00 1.838556e+01) (-3.513920e-02 9.457141e-03 3.117970e-01))
0.601853      	((-8.171125e-01 -3.622287e+00 -1.772531e+01) (1.524527e-02 -1.586991e-01 -1.026406e-01)) ((-1.865115e+00 -2.959868e+00 1.983689e+01) (-3.440739e-02 8.765621e-03 3.056362e-01))
0.648956      	((-7.942144e-01 -3.883800e+00 -1.759548e+01) (1.540305e-02 -1.549041e-01 -1.042516e-01)) ((-1.820906e+00 -2.940379e+00 1.886997e+01) (-3.374536e-02 8.009644e-03 2.999735e-01))
0.69768       	((-7.769108e-01 -3.361528e+00 -1.728654e+01) (1.560735e-02 -1.513420e-01 -1.056880e-01)) ((-1.749458e+00 -2.859826e+00 1.953899e+01) (-3.320626e-02 7.062546e-03 2.946359e-01))
0.748263      	((-7.687455e-01 -3.439872e+00 -1.707921e+01) (1.581204e-02 -1.480087e-01 -1.069064e-01)) ((-1.711856e+00 -2.821450e+00 1.895078e+01) (-3.274204e-02 6.049491e-03 2.896100e-01))
0.7988        	((-7.588633e-01 -3.124551e+00 -1.685697e+01) (1.607336e-02 -1.449143e-01 -1.078290e-01)) ((-1.654140e+00 -2.729567e+00 1.934664e+01) (-3.231914e-02 5.087304e-03 2.850964e-01))
0.849297      	((-7.733482e-01 -3.175184e+00 -1.670893e+01) (1.638472e-02 -1.420645e-01 -1.084770e-01)) ((-1.644303e+00 -2.686676e+00 1.896900e+01) (-3.193592e-02 4.218919e-03 2.808946e-01))
0.899743      	((-7.714010e-01 -2.909173e+00 -1.652644e+01) (1.672398e-02 -1.394639e-01 -1.089643e-01)) ((-1.589050e+00 -2.594665e+00 1.919775e+01) (-3.161592e-02 3.467394e-03 2.769903e-01))
0.950124      	((-8.004647e-01 -2.912793e+00 -1.637478e+01) (1.704621e-02 -1.372007e-01 -1.093354e-01)) ((-1.583578e+00 -2.545098e+00 1.887954e+01) (-3.136090e-02 2.808867e-03 2.734010e-01))
