# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-9.090928e-01 -2.366942e-04 2.506018e-04)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-3.812614e-06 -6.143547e-04 -3.519047e-04))
0.00772992    	((-8.685452e+02 -3.096052e+00 8.948424e-01) (-2.215512e+00 -7.939427e-04 -4.859940e-03)) ((1.384616e-02 -1.338784e+00 1.346793e+00) (1.707326e-05 -2.996434e-03 5.548938e-05))
0.0170058     	((5.207859e+02 -1.755434e+00 -3.438167e+00) (-6.383605e+00 3.590625e-04 -2.809456e-02)) ((1.343783e-02 7.240550e-01 1.665187e-01) (-1.197089e-04 1.163222e-02 -2.244290e-03))
0.0277199     	((-3.229247e+02 -2.463819e+00 -1.391978e+00) (-6.216607e+00 -1.826056e-03 -1.844109e-02)) ((9.213906e-03 -4.525758e-01 3.382794e-01) (-2.764175e-04 5.304372e-03 -2.516893e-03))
0.0399228     	((8.414347e+01 -2.938207e+00 -2.185702e+00) (-5.970013e+00 -1.709641e-03 -9.780954e-03)) ((1.660016e-02 1.666826e-01 5.785487e-01) (-3.274770e-04 -1.201236e-04 -1.213744e-03))
0.0537148     	((-2.925835e+01 -2.241006e+00 -1.908260e+00) (-5.712428e+00 -2.259568e-03 -8.040945e-03)) ((2.402950e-02 -7.535947e-03 9.221286e-01) (-3.622092e-04 -1.594460e-03 -9.525977e-04))
0.0690916     	((-2.520556e+01 -2.993381e+00 -1.215574e+00) (-5.440816e+00 -1.842027e-03 -6.231019e-03)) ((2.537587e-02 -4.050409e-01 6.582154e-01) (-4.529911e-04 -2.073596e-03 -1.029957e-03))
0.0849231     	((-2.437439e+01 -2.830381e+00 -1.232782e+00) (-5.207357e+00 -4.331878e-04 -4.450945e-03)) ((2.513261e-02 -2.850025e-01 7.482058e-01) (-5.767673e-04 -2.492037e-03 -1.325953e-03))
0.100867      	((-2.256409e+01 -2.605567e+00 -1.208094e+00) (-5.009456e+00 1.521867e-03 -2.519731e-03)) ((2.310397e-02 -2.873481e-01 7.719581e-01) (-7.190797e-04 -3.334022e-03 -1.914881e-03))
0.116983      	((-2.260508e+01 -2.556658e+00 -1.034357e+00) (-4.836400e+00 3.386899e-03 -8.882572e-04)) ((1.995049e-02 -3.397624e-01 7.163285e-01) (-8.627472e-04 -3.711503e-03 -2.470535e-03))
0.133147      	((-2.277882e+01 -2.450127e+00 -9.563707e-01) (-4.681881e+00 4.934416e-03 4.621469e-04)) ((1.851231e-02 -3.218928e-01 7.003895e-01) (-9.984071e-04 -3.750302e-03 -2.914807e-03))
0.149342      	((-2.264269e+01 -2.419707e+00 -9.108467e-01) (-4.540901e+00 6.192198e-03 1.865638e-03)) ((1.847940e-02 -2.995336e-01 7.076563e-01) (-1.120372e-03 -3.695731e-03 -3.316831e-03))
0.165544      	((-2.254958e+01 -2.358779e+00 -8.887135e-01) (-4.410346e+00 7.162555e-03 3.367611e-03)) ((1.684573e-02 -3.060320e-01 6.719077e-01) (-1.229721e-03 -3.735975e-03 -3.663273e-03))
0.181749      	((-2.245608e+01 -2.270628e+00 -8.803935e-01) (-4.288068e+00 7.850211e-03 5.086232e-03)) ((1.220925e-02 -3.067453e-01 6.048921e-01) (-1.327686e-03 -3.909924e-03 -3.954735e-03))
0.197947      	((-2.235593e+01 -2.100232e+00 -8.596285e-01) (-4.172872e+00 8.514317e-03 6.954451e-03)) ((5.137697e-03 -2.905369e-01 4.938183e-01) (-1.414196e-03 -4.021408e-03 -4.161345e-03))
0.214134      	((-2.225292e+01 -1.915033e+00 -8.343929e-01) (-4.064117e+00 9.304329e-03 8.708733e-03)) ((-3.254600e-03 -2.737801e-01 3.551128e-01) (-1.487868e-03 -4.008401e-03 -4.365786e-03))
0.2303        	((-2.215260e+01 -1.783471e+00 -8.286018e-01) (-3.961987e+00 1.014059e-02 1.029767e-02)) ((-1.094148e-02 -2.792423e-01 2.488551e-01) (-1.549297e-03 -3.990454e-03 -4.616091e-03))
0.246439      	((-2.205777e+01 -1.740255e+00 -8.380475e-01) (-3.866426e+00 1.090430e-02 1.182603e-02)) ((-1.557244e-02 -2.802957e-01 2.180028e-01) (-1.602620e-03 -4.051887e-03 -4.867522e-03))
0.262548      	((-2.198577e+01 -1.751207e+00 -8.574663e-01) (-3.776829e+00 1.156055e-02 1.321073e-02)) ((-1.779147e-02 -2.706836e-01 2.234679e-01) (-1.641275e-03 -4.086489e-03 -5.086364e-03))
0.278629      	((-2.191918e+01 -1.793899e+00 -8.777680e-01) (-3.692558e+00 1.220728e-02 1.426018e-02)) ((-1.826287e-02 -2.499844e-01 2.496007e-01) (-1.665427e-03 -3.923943e-03 -5.234226e-03))
0.294686      	((-2.185787e+01 -1.823548e+00 -8.975688e-01) (-3.613136e+00 1.287329e-02 1.509365e-02)) ((-1.820177e-02 -2.173228e-01 2.786929e-01) (-1.679464e-03 -3.660721e-03 -5.285092e-03))
0.310733      	((-2.179619e+01 -1.823705e+00 -9.278682e-01) (-3.538138e+00 1.357002e-02 1.576937e-02)) ((-1.809749e-02 -1.820931e-01 2.977515e-01) (-1.685989e-03 -3.442261e-03 -5.275256e-03))
0.326778      	((-2.173083e+01 -1.801060e+00 -9.578873e-01) (-3.467367e+00 1.424246e-02 1.626958e-02)) ((-1.806902e-02 -1.402041e-01 3.033180e-01) (-1.688058e-03 -3.237430e-03 -5.264855e-03))
0.34282       	((-2.166013e+01 -1.762431e+00 -9.741422e-01) (-3.400730e+00 1.490984e-02 1.666585e-02)) ((-1.808765e-02 -1.018496e-01 3.004177e-01) (-1.684683e-03 -3.053388e-03 -5.294231e-03))
0.358859      	((-2.158996e+01 -1.723698e+00 -9.902974e-01) (-3.337945e+00 1.557266e-02 1.703741e-02)) ((-1.807569e-02 -6.383228e-02 2.961963e-01) (-1.674908e-03 -2.872473e-03 -5.363502e-03))
0.374891      	((-2.151359e+01 -1.694911e+00 -1.008248e+00) (-3.278700e+00 1.622859e-02 1.741025e-02)) ((-1.757476e-02 -3.328418e-02 2.925975e-01) (-1.660636e-03 -2.639759e-03 -5.429326e-03))
