# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((-1.066082e-03 3.239734e-01 -6.775574e-03) (1.244788e-08 -1.423915e-04 -1.201585e-05)) ((4.551363e-02 -1.775726e-03 1.057739e-01) (5.819163e-04 -9.176996e-06 1.071068e-04))
0.0264        	((-1.509506e-04 -1.914366e-01 -3.041807e-04) (-2.868649e-06 -1.632094e-04 -1.748809e-05)) ((-8.789510e-03 -5.607874e-04 -4.721216e-02) (5.687271e-04 -1.145709e-05 1.028171e-04))
0.04368       	((1.724869e-04 1.192502e-01 -5.716100e-03) (-4.928846e-06 -1.559406e-04 -1.967545e-05)) ((8.342496e-03 -7.029125e-04 2.945248e-02) (5.605932e-04 -1.110922e-05 9.757897e-05))
0.064416      	((-1.651257e-04 -6.014810e-02 -1.915005e-03) (-4.494028e-06 -1.510099e-04 -2.297721e-05)) ((-6.878844e-04 -3.187442e-05 -1.289637e-02) (5.505724e-04 -1.049201e-05 9.177500e-05))
0.0892992     	((1.625399e-04 3.191387e-02 -4.181355e-03) (-4.037959e-06 -1.430466e-04 -2.356986e-05)) ((2.293862e-03 -5.742085e-04 9.562202e-03) (5.410417e-04 -9.259532e-06 8.607955e-05))
0.119159      	((1.967425e-05 -1.592842e-02 -2.732393e-03) (-3.417380e-06 -1.347683e-04 -2.257992e-05)) ((7.595113e-04 -1.713877e-04 -2.052607e-03) (5.305433e-04 -7.300937e-06 8.072106e-05))
0.154991      	((1.471958e-04 7.053411e-03 -3.266486e-03) (-2.937289e-06 -1.285174e-04 -2.242355e-05)) ((1.168676e-03 -5.311854e-04 3.430503e-03) (5.196165e-04 -5.605696e-06 7.661543e-05))
0.197989      	((8.337445e-05 -4.973603e-03 -2.752774e-03) (-2.309526e-06 -1.224937e-04 -2.307318e-05)) ((8.791226e-04 -4.088555e-04 9.183595e-04) (5.078747e-04 -4.373264e-06 7.358314e-05))
0.249587      	((1.209007e-05 2.571973e-04 -2.690234e-03) (-2.407191e-06 -1.176436e-04 -2.381397e-05)) ((9.427157e-04 -3.912917e-04 2.065026e-03) (4.952552e-04 -3.169856e-06 7.033727e-05))
0.311504      	((2.323567e-05 -2.053199e-03 -2.705009e-03) (-3.480960e-06 -1.118297e-04 -2.415359e-05)) ((8.710938e-04 -3.111544e-04 1.554766e-03) (4.816134e-04 -1.511888e-06 6.663130e-05))
0.385805      	((-3.156685e-05 -1.009042e-03 -2.612475e-03) (-5.194500e-06 -1.048574e-04 -2.497159e-05)) ((8.562490e-04 -3.395677e-04 1.661757e-03) (4.669827e-04 -1.283402e-08 6.209331e-05))
0.474966      	((-5.192720e-05 -1.055160e-03 -2.673886e-03) (-6.483984e-06 -9.784614e-05 -2.597822e-05)) ((8.160117e-04 -2.501893e-04 1.407733e-03) (4.514572e-04 1.218701e-06 5.747406e-05))
0.581959      	((-8.390945e-05 -5.844394e-04 -2.541145e-03) (-7.172144e-06 -9.118684e-05 -2.767130e-05)) ((7.916960e-04 -2.120892e-04 1.388424e-03) (4.351607e-04 2.203964e-06 5.300402e-05))
0.710351      	((-1.020439e-04 -3.427311e-04 -2.658722e-03) (-8.113237e-06 -8.523523e-05 -2.938359e-05)) ((7.563261e-04 -1.779532e-04 1.235598e-03) (4.181971e-04 3.415274e-06 4.871320e-05))
0.864421      	((-1.129835e-04 7.311560e-05 -2.583507e-03) (-9.596911e-06 -8.131989e-05 -3.184500e-05)) ((7.267196e-04 -1.294370e-04 1.165500e-03) (4.008279e-04 4.677202e-06 4.474259e-05))
1.049306      	((-1.185174e-04 2.261725e-04 -2.471325e-03) (-1.087674e-05 -8.231529e-05 -3.441621e-05)) ((6.925081e-04 -5.388421e-05 1.101756e-03) (3.832491e-04 6.112341e-06 4.218542e-05))
1.271167      	((-1.152906e-04 5.197040e-04 -2.191225e-03) (-1.203175e-05 -8.693679e-05 -3.745142e-05)) ((6.603634e-04 6.682560e-05 1.041699e-03) (3.657144e-04 7.422174e-06 4.086857e-05))
1.5374        	((-1.192307e-04 4.937769e-04 -2.047713e-03) (-1.340531e-05 -9.424809e-05 -4.364188e-05)) ((6.282669e-04 1.612311e-04 1.051315e-03) (3.482772e-04 8.018292e-06 4.039724e-05))
1.85688       	((-1.327519e-04 6.688641e-04 -1.854192e-03) (-1.578142e-05 -1.040653e-04 -5.180650e-05)) ((5.996619e-04 2.609731e-04 1.037559e-03) (3.306470e-04 8.443597e-06 4.045698e-05))
2.240256      	((-1.566251e-04 6.504689e-04 -1.763454e-03) (-1.856937e-05 -1.135408e-04 -6.011985e-05)) ((5.700096e-04 3.246093e-04 1.061622e-03) (3.123329e-04 9.320553e-06 4.051806e-05))
2.693201      	((-1.829446e-04 6.822996e-04 -1.671866e-03) (-2.027781e-05 -1.225024e-04 -6.926508e-05)) ((5.435254e-04 3.851869e-04 1.081331e-03) (2.936656e-04 1.058578e-05 4.072010e-05))
3.217054      	((-2.072206e-04 5.808907e-04 -1.680033e-03) (-2.126608e-05 -1.299228e-04 -7.824383e-05)) ((5.183974e-04 4.193586e-04 1.144272e-03) (2.753383e-04 1.193171e-05 4.087478e-05))
3.812948      	((-2.329721e-04 5.541709e-04 -1.609979e-03) (-2.247069e-05 -1.340259e-04 -8.652333e-05)) ((4.936998e-04 4.850943e-04 1.172934e-03) (2.580117e-04 1.358645e-05 4.055294e-05))
4.482337      	((-2.431303e-04 5.851803e-04 -1.570003e-03) (-2.313890e-05 -1.333170e-04 -9.440390e-05)) ((4.698815e-04 5.388995e-04 1.190618e-03) (2.421166e-04 1.497700e-05 3.988784e-05))
5.227072      	((-2.324919e-04 6.696148e-04 -1.521434e-03) (-2.273972e-05 -1.288816e-04 -1.025128e-04)) ((4.476580e-04 5.858165e-04 1.191651e-03) (2.278560e-04 1.551618e-05 3.955633e-05))
6.001565      	((-2.160847e-04 7.681208e-04 -1.523952e-03) (-2.175008e-05 -1.230198e-04 -1.111231e-04)) ((4.325020e-04 6.171993e-04 1.201783e-03) (2.158388e-04 1.505083e-05 3.983478e-05))
6.798343      	((-1.908828e-04 8.684098e-04 -1.495373e-03) (-2.064689e-05 -1.159622e-04 -1.196633e-04)) ((4.204167e-04 6.412468e-04 1.192623e-03) (2.056928e-04 1.358532e-05 4.036634e-05))
7.621519      	((-1.658808e-04 1.007882e-03 -1.485555e-03) (-1.900263e-05 -1.078190e-04 -1.268000e-04)) ((4.128822e-04 6.405616e-04 1.174392e-03) (1.970049e-04 1.091324e-05 4.049985e-05))
8.486288      	((-1.397241e-04 1.121086e-03 -1.482821e-03) (-1.785798e-05 -9.911906e-05 -1.320148e-04)) ((4.085559e-04 6.104204e-04 1.148920e-03) (1.893569e-04 7.550265e-06 4.118694e-05))
9.420649      	((-1.189629e-04 1.241309e-03 -1.487101e-03) (-1.685941e-05 -9.089586e-05 -1.346580e-04)) ((4.058355e-04 5.746727e-04 1.129505e-03) (1.823590e-04 3.678262e-06 4.181236e-05))
10.44872      	((-1.104254e-04 1.324104e-03 -1.458972e-03) (-1.480796e-05 -8.294720e-05 -1.345115e-04)) ((4.039769e-04 5.387320e-04 1.110008e-03) (1.758239e-04 -7.509439e-09 4.179780e-05))
