# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-1.073975e-04 -5.166354e-01 4.372761e-05)) ((0.000000e+00 0.000000e+00 0.000000e+00) (3.253949e-04 -6.306132e-05 -6.751125e-02))
0.00755534    	((-3.936940e-01 -2.428086e+03 1.410817e-01) (-4.480358e-03 -1.747110e+00 8.815025e-03)) ((-1.663749e+00 -1.281681e+00 -2.605575e+02) (3.495246e-03 5.293758e-03 -9.712743e-02))
0.0157766     	((-1.188488e-01 6.934676e+02 1.048757e+00) (-1.317334e-02 -3.128794e+00 4.203465e-02)) ((3.066193e-01 -1.022160e+00 1.798422e+02) (6.234066e-03 7.936585e-03 -2.165714e-01))
0.0214658     	((1.112395e+00 1.774426e+02 -1.754413e+00) (-1.145104e-02 -2.588020e+00 3.187601e-02)) ((1.430685e-01 -1.516241e+00 -4.380597e+01) (4.633204e-03 7.273329e-03 -1.669517e-01))
0.0267445     	((6.343816e-01 -3.671367e+01 -1.772202e+00) (-1.222524e-02 -2.275978e+00 1.458242e-02)) ((-1.179371e-01 -1.190641e+00 2.717955e+01) (3.674864e-03 5.088887e-03 -1.365416e-01))
0.0320913     	((9.935593e-01 -6.274419e+01 -2.281538e+00) (-1.222135e-02 -2.111922e+00 1.170481e-02)) ((-1.117829e-01 -1.465178e+00 2.147146e+01) (3.662257e-03 4.508951e-03 -1.284947e-01))
0.0375283     	((1.391530e+00 -7.628847e+01 -9.736090e-01) (-1.229142e-02 -1.991582e+00 1.124208e-02)) ((-8.454143e-02 -1.692575e+00 1.146623e+01) (3.750990e-03 4.210637e-03 -1.228499e-01))
0.043154      	((1.144720e+00 -7.833027e+01 -1.240960e+00) (-1.256512e-02 -1.897313e+00 1.192213e-02)) ((-5.243361e-02 -1.749634e+00 1.271561e+01) (3.859130e-03 4.062647e-03 -1.195567e-01))
0.0489281     	((9.800560e-01 -7.964354e+01 -1.008477e+00) (-1.295643e-02 -1.821401e+00 1.307951e-02)) ((-1.844912e-02 -1.733457e+00 1.330501e+01) (3.971921e-03 4.013078e-03 -1.173246e-01))
0.0548371     	((9.980593e-01 -8.187315e+01 -9.800672e-01) (-1.367136e-02 -1.756782e+00 1.392853e-02)) ((1.181747e-02 -1.938531e+00 1.320170e+01) (4.101499e-03 3.919652e-03 -1.151372e-01))
0.0608379     	((9.828037e-01 -8.441636e+01 -1.046770e+00) (-1.446231e-02 -1.699300e+00 1.476640e-02)) ((3.688058e-02 -2.017071e+00 1.294415e+01) (4.200853e-03 3.833366e-03 -1.130976e-01))
0.0669183     	((9.857542e-01 -8.641934e+01 -1.331050e+00) (-1.501878e-02 -1.646367e+00 1.533122e-02)) ((5.957725e-02 -2.273520e+00 1.284805e+01) (4.229397e-03 4.103454e-03 -1.111842e-01))
0.0730666     	((1.025882e+00 -8.834852e+01 -1.737787e+00) (-1.559931e-02 -1.598846e+00 1.606912e-02)) ((8.032340e-02 -2.314809e+00 1.252095e+01) (4.185993e-03 4.462609e-03 -1.099674e-01))
0.0792804     	((1.057310e+00 -8.986239e+01 -2.021802e+00) (-1.619013e-02 -1.556469e+00 1.725265e-02)) ((9.158257e-02 -2.627939e+00 1.227338e+01) (4.108137e-03 4.523847e-03 -1.094235e-01))
0.0855563     	((1.102513e+00 -9.147472e+01 -2.367414e+00) (-1.667781e-02 -1.518676e+00 1.854687e-02)) ((9.963152e-02 -2.813897e+00 1.201887e+01) (4.013416e-03 4.527058e-03 -1.090218e-01))
0.0918965     	((1.158400e+00 -9.313224e+01 -2.802075e+00) (-1.691332e-02 -1.484279e+00 1.992284e-02)) ((1.047050e-01 -3.114055e+00 1.184171e+01) (3.913491e-03 4.578795e-03 -1.085154e-01))
0.0983048     	((1.205937e+00 -9.485228e+01 -2.963640e+00) (-1.706447e-02 -1.453078e+00 2.123746e-02)) ((1.077024e-01 -3.256632e+00 1.155484e+01) (3.811398e-03 4.627507e-03 -1.081359e-01))
0.104788      	((1.242865e+00 -9.631606e+01 -3.153045e+00) (-1.720771e-02 -1.424244e+00 2.272764e-02)) ((1.078892e-01 -3.521679e+00 1.136051e+01) (3.709895e-03 4.535975e-03 -1.075453e-01))
0.111356      	((1.280352e+00 -9.780838e+01 -3.215992e+00) (-1.733846e-02 -1.398143e+00 2.432255e-02)) ((1.068171e-01 -3.660360e+00 1.107477e+01) (3.620984e-03 4.497827e-03 -1.070354e-01))
0.118021      	((1.304589e+00 -9.902512e+01 -3.328453e+00) (-1.739096e-02 -1.373822e+00 2.593465e-02)) ((1.042944e-01 -3.920534e+00 1.089425e+01) (3.543756e-03 4.311123e-03 -1.064006e-01))
0.124792      	((1.331036e+00 -1.000155e+02 -3.340682e+00) (-1.742333e-02 -1.351515e+00 2.757182e-02)) ((1.012763e-01 -4.078560e+00 1.068463e+01) (3.476263e-03 4.101431e-03 -1.058489e-01))
0.131682      	((1.361251e+00 -1.006680e+02 -3.382188e+00) (-1.734656e-02 -1.330669e+00 2.937995e-02)) ((9.571945e-02 -4.340883e+00 1.054397e+01) (3.416451e-03 3.864575e-03 -1.050678e-01))
0.138697      	((1.389045e+00 -1.014206e+02 -3.363061e+00) (-1.723702e-02 -1.311460e+00 3.108758e-02)) ((8.738277e-02 -4.455511e+00 1.031890e+01) (3.364377e-03 3.584450e-03 -1.041004e-01))
0.145845      	((1.413037e+00 -1.019877e+02 -3.355369e+00) (-1.711623e-02 -1.293248e+00 3.254452e-02)) ((8.002025e-02 -4.668841e+00 1.014017e+01) (3.334529e-03 3.263749e-03 -1.029657e-01))
0.153131      	((1.446349e+00 -1.025564e+02 -3.330843e+00) (-1.697030e-02 -1.276318e+00 3.370776e-02)) ((7.337329e-02 -4.787046e+00 9.881792e+00) (3.322453e-03 2.965798e-03 -1.017733e-01))
0.160563      	((1.473662e+00 -1.027175e+02 -3.227791e+00) (-1.680624e-02 -1.260675e+00 3.447789e-02)) ((6.643890e-02 -4.941515e+00 9.746290e+00) (3.311355e-03 2.611435e-03 -1.004336e-01))
0.168149      	((1.508327e+00 -1.028000e+02 -3.068833e+00) (-1.671023e-02 -1.246394e+00 3.524276e-02)) ((5.886415e-02 -5.004912e+00 9.564817e+00) (3.299482e-03 2.240925e-03 -9.905745e-02))
0.175901      	((1.543527e+00 -1.028180e+02 -2.880530e+00) (-1.667625e-02 -1.233048e+00 3.609160e-02)) ((5.027075e-02 -5.119579e+00 9.382390e+00) (3.290151e-03 1.912142e-03 -9.764892e-02))
0.183835      	((1.580005e+00 -1.027966e+02 -2.615222e+00) (-1.670375e-02 -1.220812e+00 3.692880e-02)) ((4.185055e-02 -5.128888e+00 9.240374e+00) (3.292833e-03 1.566411e-03 -9.631328e-02))
0.191956      	((1.612132e+00 -1.025250e+02 -2.422877e+00) (-1.676379e-02 -1.209336e+00 3.741947e-02)) ((3.336152e-02 -5.232186e+00 9.140124e+00) (3.299412e-03 1.251564e-03 -9.488511e-02))
0.200276      	((1.643281e+00 -1.023171e+02 -2.160832e+00) (-1.688452e-02 -1.198789e+00 3.784191e-02)) ((2.370273e-02 -5.227012e+00 8.994499e+00) (3.308962e-03 9.345071e-04 -9.355538e-02))
0.208804      	((1.672054e+00 -1.020504e+02 -1.855593e+00) (-1.708310e-02 -1.188689e+00 3.825295e-02)) ((1.492715e-02 -5.280904e+00 8.851322e+00) (3.323118e-03 6.576334e-04 -9.218836e-02))
0.217553      	((1.703217e+00 -1.017421e+02 -1.440333e+00) (-1.735921e-02 -1.179061e+00 3.887522e-02)) ((7.035977e-03 -5.274660e+00 8.703294e+00) (3.347339e-03 3.362216e-04 -9.072478e-02))
0.226539      	((1.734355e+00 -1.013780e+02 -1.056180e+00) (-1.767489e-02 -1.170047e+00 3.962440e-02)) ((-1.107155e-03 -5.320821e+00 8.551216e+00) (3.375646e-03 3.848029e-06 -8.922514e-02))
0.235766      	((1.762056e+00 -1.008544e+02 -6.088237e-01) (-1.806119e-02 -1.161569e+00 4.049168e-02)) ((-8.819898e-03 -5.316832e+00 8.444397e+00) (3.413786e-03 -3.350593e-04 -8.765265e-02))
0.245229      	((1.793149e+00 -1.003417e+02 -1.474897e-01) (-1.851673e-02 -1.153512e+00 4.124601e-02)) ((-1.554559e-02 -5.304412e+00 8.309727e+00) (3.458713e-03 -6.193391e-04 -8.606641e-02))
0.254911      	((1.828594e+00 -9.983584e+01 3.596840e-01) (-1.911195e-02 -1.145861e+00 4.196797e-02)) ((-2.167125e-02 -5.269083e+00 8.161547e+00) (3.500156e-03 -8.465724e-04 -8.452562e-02))
0.264792      	((1.857111e+00 -9.930806e+01 8.612056e-01) (-1.994257e-02 -1.138360e+00 4.282200e-02)) ((-2.795458e-02 -5.204124e+00 8.027624e+00) (3.536950e-03 -9.882724e-04 -8.308282e-02))
0.274846      	((1.876607e+00 -9.883621e+01 1.390499e+00) (-2.091958e-02 -1.131010e+00 4.381200e-02)) ((-3.347630e-02 -5.121441e+00 7.901093e+00) (3.570628e-03 -1.155597e-03 -8.171459e-02))
0.285042      	((1.896075e+00 -9.832505e+01 1.910817e+00) (-2.199607e-02 -1.123891e+00 4.490113e-02)) ((-3.727706e-02 -5.016069e+00 7.747489e+00) (3.602305e-03 -1.284134e-03 -8.039712e-02))
0.295355      	((1.914611e+00 -9.783637e+01 2.544255e+00) (-2.321957e-02 -1.116965e+00 4.609184e-02)) ((-4.008254e-02 -4.871213e+00 7.583074e+00) (3.639705e-03 -1.313275e-03 -7.914391e-02))
0.305762      	((1.925203e+00 -9.739571e+01 3.090467e+00) (-2.457774e-02 -1.110191e+00 4.739593e-02)) ((-4.170739e-02 -4.713384e+00 7.430221e+00) (3.684293e-03 -1.118948e-03 -7.787649e-02))
0.316239      	((1.938800e+00 -9.700335e+01 3.735819e+00) (-2.594024e-02 -1.103654e+00 4.860278e-02)) ((-4.177480e-02 -4.500167e+00 7.278777e+00) (3.738850e-03 -8.001649e-04 -7.650397e-02))
0.326755      	((1.946328e+00 -9.668680e+01 4.274607e+00) (-2.723579e-02 -1.097408e+00 4.952657e-02)) ((-4.070838e-02 -4.271684e+00 7.127585e+00) (3.798279e-03 -4.973033e-04 -7.504649e-02))
0.337275      	((1.942450e+00 -9.637118e+01 4.817167e+00) (-2.849510e-02 -1.091312e+00 5.031561e-02)) ((-3.997821e-02 -4.037591e+00 6.974808e+00) (3.860664e-03 -2.848008e-04 -7.354612e-02))
0.347766      	((1.926040e+00 -9.600583e+01 5.438626e+00) (-2.970446e-02 -1.085340e+00 5.107186e-02)) ((-3.906213e-02 -3.777934e+00 6.814085e+00) (3.931415e-03 -7.864092e-05 -7.211250e-02))
