# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((1.641841e+00 1.884166e-01 -1.610932e+02) (-3.136387e-03 6.977003e-04 -1.793865e-01)) ((-1.059334e-02 2.943633e+02 -1.903569e-01) (2.689595e-05 5.037674e-01 -4.782940e-04))
0.0264        	((1.336402e+00 2.035283e-01 1.211459e+02) (-3.897293e-03 1.532998e-03 -1.253151e-01)) ((-9.022590e-03 -1.835033e+02 -1.831478e-01) (5.185944e-05 4.037437e-01 -7.409252e-04))
0.04368       	((1.644325e+00 2.029322e-01 -7.289097e+01) (-2.818979e-03 1.206106e-03 -1.022252e-01)) ((-5.718755e-03 1.338120e+02 -1.679150e-01) (-6.952535e-06 3.250171e-01 -2.608478e-04))
0.064416      	((1.512010e+00 3.181641e-01 5.823860e+01) (-4.240781e-03 6.366241e-04 -9.082863e-02)) ((-6.564648e-03 -7.723078e+01 -1.952816e-01) (-3.537302e-05 2.892949e-01 -8.944782e-05))
0.0880243     	((1.486887e+00 3.250114e-01 -2.967661e+01) (-5.492766e-03 4.650882e-04 -8.809598e-02)) ((-8.098402e-03 6.126589e+01 -1.784019e-01) (-6.162298e-05 2.631788e-01 -3.192133e-04))
0.111019      	((1.478720e+00 3.967078e-01 2.831494e+01) (-6.527970e-03 4.162860e-04 -8.677938e-02)) ((-8.749261e-03 -2.969796e+01 -2.057856e-01) (-9.851470e-05 2.474007e-01 -5.705645e-04))
0.129949      	((1.477030e+00 4.106352e-01 -9.942277e+00) (-7.778044e-03 -1.045097e-04 -8.794433e-02)) ((-1.019718e-02 2.960941e+01 -1.775804e-01) (-1.305111e-04 2.369964e-01 -7.017424e-04))
0.146359      	((1.502742e+00 4.589788e-01 1.448732e+01) (-8.841615e-03 -9.412053e-04 -8.871244e-02)) ((-1.113343e-02 -8.099713e+00 -1.894868e-01) (-1.782212e-04 2.303231e-01 -8.048649e-04))
0.160972      	((1.529757e+00 5.024465e-01 -1.292636e+00) (-9.692527e-03 -1.921771e-03 -8.999074e-02)) ((-1.316092e-02 1.579135e+01 -1.782247e-01) (-2.339760e-04 2.253185e-01 -9.772329e-04))
0.174282      	((1.650435e+00 5.250019e-01 8.036620e+00) (-1.045075e-02 -2.850929e-03 -9.110652e-02)) ((-1.387532e-02 1.459498e+00 -1.909953e-01) (-2.884955e-04 2.221942e-01 -1.104218e-03))
0.186422      	((1.457164e+00 5.257908e-01 2.325976e+00) (-1.100135e-02 -3.663841e-03 -9.219304e-02)) ((-1.545177e-02 1.028417e+01 -1.695890e-01) (-3.340949e-04 2.194003e-01 -1.173484e-03))
0.197665      	((1.586709e+00 5.687095e-01 5.718235e+00) (-1.141183e-02 -4.358207e-03 -9.310687e-02)) ((-1.489444e-02 5.017392e+00 -1.968776e-01) (-3.634179e-04 2.174352e-01 -1.191042e-03))
0.208504      	((1.504024e+00 5.468835e-01 3.452216e+00) (-1.180420e-02 -4.857836e-03 -9.376328e-02)) ((-1.595060e-02 8.428241e+00 -1.780307e-01) (-3.760238e-04 2.156065e-01 -1.161184e-03))
0.219314      	((1.549280e+00 6.001885e-01 4.743755e+00) (-1.221768e-02 -5.193409e-03 -9.436733e-02)) ((-1.550064e-02 6.422267e+00 -2.052899e-01) (-3.810997e-04 2.140376e-01 -1.095102e-03))
0.229994      	((1.523034e+00 5.959666e-01 3.845118e+00) (-1.264401e-02 -5.392781e-03 -9.494381e-02)) ((-1.671963e-02 7.808221e+00 -1.888980e-01) (-3.834332e-04 2.125866e-01 -1.052465e-03))
0.240464      	((1.522750e+00 6.528764e-01 4.320934e+00) (-1.306606e-02 -5.505256e-03 -9.554737e-02)) ((-1.698417e-02 7.034771e+00 -2.268115e-01) (-3.849272e-04 2.113313e-01 -1.059237e-03))
0.250722      	((1.522230e+00 6.355063e-01 3.983021e+00) (-1.343112e-02 -5.651278e-03 -9.615911e-02)) ((-1.821055e-02 7.631495e+00 -2.173044e-01) (-3.858946e-04 2.102188e-01 -1.041499e-03))
0.260778      	((1.508569e+00 6.947073e-01 4.135099e+00) (-1.373980e-02 -5.796844e-03 -9.676266e-02)) ((-1.837627e-02 7.296695e+00 -2.574201e-01) (-3.870794e-04 2.092726e-01 -1.040680e-03))
0.270665      	((1.524191e+00 6.545118e-01 4.055035e+00) (-1.400155e-02 -5.945215e-03 -9.735998e-02)) ((-1.965406e-02 7.548715e+00 -2.358064e-01) (-3.897645e-04 2.084426e-01 -1.063318e-03))
0.280404      	((1.497136e+00 7.152755e-01 4.137906e+00) (-1.423474e-02 -6.065163e-03 -9.791998e-02)) ((-1.987172e-02 7.369863e+00 -2.864246e-01) (-3.926903e-04 2.077020e-01 -1.090281e-03))
0.290014      	((1.519542e+00 6.451081e-01 4.157039e+00) (-1.442960e-02 -6.182141e-03 -9.842748e-02)) ((-2.125196e-02 7.491966e+00 -2.480652e-01) (-3.974483e-04 2.070522e-01 -1.100763e-03))
0.299515      	((1.478450e+00 7.390682e-01 4.219529e+00) (-1.460002e-02 -6.246049e-03 -9.881810e-02)) ((-2.154383e-02 7.365868e+00 -3.053907e-01) (-4.020598e-04 2.064750e-01 -1.102629e-03))
0.308932      	((1.510672e+00 6.270288e-01 4.245323e+00) (-1.475620e-02 -6.295182e-03 -9.914478e-02)) ((-2.263781e-02 7.423308e+00 -2.583966e-01) (-4.068239e-04 2.059405e-01 -1.067870e-03))
0.318288      	((1.467857e+00 7.342615e-01 4.247099e+00) (-1.490819e-02 -6.320210e-03 -9.941535e-02)) ((-2.265533e-02 7.329265e+00 -3.138824e-01) (-4.097751e-04 2.054311e-01 -1.031561e-03))
0.327603      	((1.507221e+00 5.711235e-01 4.256185e+00) (-1.504733e-02 -6.354249e-03 -9.965322e-02)) ((-2.377399e-02 7.370334e+00 -2.532106e-01) (-4.116144e-04 2.049729e-01 -1.008281e-03))
