# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (3.175657e-04 2.306655e-04 -1.554425e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (7.498267e-04 1.943385e-01 1.799415e-04))
0.0019946     	((6.211676e+00 -1.244804e+00 -2.578365e+04) (-1.661706e-02 2.262931e-03 -3.246685e+00)) ((1.489724e-01 3.005644e+03 5.366955e+00) (-4.727748e-04 1.660258e-01 7.552100e-04))
0.00438811    	((-1.816405e+01 -4.778962e+00 7.459170e+03) (-5.428355e-02 -1.364888e-02 -7.115120e+00)) ((-2.272167e-01 -1.962591e+03 -2.231215e+00) (-1.280205e-03 3.768810e-01 2.665864e-03))
0.00726033    	((-4.148789e+00 -8.861052e+00 -2.417887e+01) (-9.237272e-02 -2.150031e-02 -1.253710e+01)) ((-1.220154e-02 6.899947e+02 -6.938382e+00) (-1.206628e-03 8.039759e-01 -6.572421e-03))
0.0105923     	((-1.404996e+01 5.989026e+00 -2.247996e+02) (-9.083177e-02 -3.669755e-02 -1.573283e+01)) ((-1.526590e-01 -4.010112e+02 3.259759e+00) (-5.824308e-04 9.768722e-01 -6.315577e-03))
0.014357      	((-6.273127e+00 -4.672535e+00 -6.013213e+02) (-8.442182e-02 -3.809006e-02 -1.446031e+01)) ((-1.661796e-01 -8.743967e+01 -4.135556e+00) (-1.696990e-04 9.182462e-01 -9.953316e-03))
0.0184724     	((-8.761310e+00 -3.831902e+00 -5.959274e+02) (-8.498578e-02 -4.249545e-02 -1.340670e+01)) ((-1.769160e-01 -9.029225e+01 -1.750389e+00) (-6.945320e-05 8.710576e-01 -1.427878e-02))
0.0227055     	((-9.129642e+00 -4.920755e-01 -5.919419e+02) (-8.409584e-02 -4.026040e-02 -1.257298e+01)) ((-1.884370e-01 -1.114171e+02 -2.403349e-01) (-2.530280e-04 8.250115e-01 -1.795171e-02))
0.027122      	((-8.577897e+00 -2.235048e+00 -6.099315e+02) (-8.344547e-02 -3.698805e-02 -1.190060e+01)) ((-2.232465e-01 -1.071009e+02 4.832483e-01) (-5.211078e-04 7.839062e-01 -1.965816e-02))
0.0317864     	((-7.380910e+00 -1.942479e+00 -6.322771e+02) (-8.208969e-02 -3.691950e-02 -1.135393e+01)) ((-2.360900e-01 -9.880221e+01 1.088356e+00) (-1.033214e-03 7.497966e-01 -1.797082e-02))
0.0367618     	((-6.418480e+00 -2.384957e+00 -6.502887e+02) (-7.939996e-02 -3.955206e-02 -1.088469e+01)) ((-2.308265e-01 -9.150867e+01 1.840999e+00) (-1.482546e-03 7.237447e-01 -1.650023e-02))
0.042063      	((-5.190680e+00 -2.941325e+00 -6.628384e+02) (-7.556006e-02 -3.698491e-02 -1.048370e+01)) ((-2.239600e-01 -8.457383e+01 2.816489e+00) (-1.615424e-03 7.029834e-01 -1.479520e-02))
0.0476995     	((-4.247655e+00 -3.078717e+00 -6.694018e+02) (-7.062820e-02 -3.528134e-02 -1.013857e+01)) ((-2.053884e-01 -7.855347e+01 3.248389e+00) (-1.663467e-03 6.838311e-01 -1.288787e-02))
0.0536509     	((-3.260221e+00 -2.020350e+00 -6.702348e+02) (-6.541282e-02 -3.819206e-02 -9.827379e+00)) ((-2.016544e-01 -7.330459e+01 3.524625e+00) (-1.743630e-03 6.597296e-01 -1.138706e-02))
0.0598719     	((-2.298715e+00 -2.092501e+00 -6.688623e+02) (-6.150651e-02 -4.291597e-02 -9.547626e+00)) ((-2.015304e-01 -6.776849e+01 3.581290e+00) (-1.786818e-03 6.310723e-01 -1.074721e-02))
0.0663071     	((-1.488162e+00 -1.979369e+00 -6.643133e+02) (-5.996079e-02 -4.702231e-02 -9.304934e+00)) ((-2.068325e-01 -6.272459e+01 3.661357e+00) (-1.750917e-03 6.037581e-01 -1.050329e-02))
0.0728389     	((-5.736187e-01 -2.911991e+00 -6.562463e+02) (-6.174603e-02 -4.929184e-02 -9.100567e+00)) ((-2.262227e-01 -5.870325e+01 4.268184e+00) (-1.764360e-03 5.812185e-01 -9.554353e-03))
0.0793817     	((3.411029e-01 -3.983333e+00 -6.479073e+02) (-6.568832e-02 -5.049220e-02 -8.919937e+00)) ((-2.385896e-01 -5.515271e+01 4.967335e+00) (-1.824276e-03 5.612420e-01 -7.909362e-03))
0.0859354     	((1.343036e+00 -5.417591e+00 -6.411883e+02) (-7.029766e-02 -5.185533e-02 -8.750798e+00)) ((-2.508782e-01 -5.166312e+01 5.822301e+00) (-1.819346e-03 5.426878e-01 -6.100365e-03))
