# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((1.053387e+00 1.596167e+02 -3.116000e-01) (-1.019199e-03 1.747411e-01 -1.319527e-03)) ((3.905877e-01 -2.768288e-01 2.995954e+02) (3.987980e-04 8.597302e-04 5.021282e-01))
0.0262873     	((1.988255e+00 -1.231918e+02 -4.094820e-01) (-9.494427e-04 1.102217e-01 -9.728560e-04)) ((-9.829110e-02 -3.241379e-01 -1.854513e+02) (6.361272e-04 1.265031e-03 4.024258e-01))
0.0421981     	((1.300449e+00 7.146378e+01 -7.442998e-01) (-4.859074e-05 9.001784e-02 4.470807e-04)) ((1.785840e-01 -3.124676e-01 1.366341e+02) (5.535536e-04 8.527196e-04 3.268957e-01))
0.0571622     	((1.801616e+00 -5.882841e+01 -5.089060e-01) (-1.126252e-03 8.103687e-02 1.576547e-03)) ((1.430257e-02 -2.726255e-01 -7.594037e+01) (5.025803e-04 9.876782e-04 2.958290e-01))
0.0717226     	((1.468285e+00 2.686514e+01 -4.579214e-01) (-1.651284e-03 7.730634e-02 2.371135e-03)) ((1.057819e-01 -2.574154e-01 6.067061e+01) (4.594056e-04 1.428723e-03 2.747101e-01))
0.0849802     	((1.634308e+00 -2.908533e+01 -4.629243e-01) (-1.793897e-03 7.414611e-02 3.075607e-03)) ((4.952089e-02 -2.531563e-01 -2.676531e+01) (4.217250e-04 1.758075e-03 2.618844e-01))
0.0975214     	((1.516526e+00 6.858690e+00 -5.179614e-01) (-1.851339e-03 7.296050e-02 3.528246e-03)) ((8.407203e-02 -2.769161e-01 2.862962e+01) (3.782690e-04 1.966117e-03 2.512807e-01))
0.109805      	((1.632327e+00 -1.549726e+01 -6.599392e-01) (-2.010659e-03 7.178236e-02 3.554046e-03)) ((6.066544e-02 -3.141573e-01 -5.561097e+00) (3.374231e-04 2.121020e-03 2.436068e-01))
0.122223      	((1.580447e+00 -2.000974e+00 -7.778560e-01) (-2.385017e-03 7.157778e-02 3.296538e-03)) ((7.199560e-02 -3.720903e-01 1.518978e+01) (2.998352e-04 2.113015e-03 2.365777e-01))
0.134809      	((1.492423e+00 -9.930200e+00 -1.024348e+00) (-2.864536e-03 7.217417e-02 3.039891e-03)) ((6.172191e-02 -4.238446e-01 2.781779e+00) (2.564235e-04 2.057372e-03 2.313426e-01))
0.147544      	((1.520370e+00 -4.814416e+00 -1.086985e+00) (-3.344495e-03 7.290044e-02 2.791815e-03)) ((6.359096e-02 -4.662681e-01 1.050654e+01) (2.105668e-04 2.117542e-03 2.264546e-01))
0.160423      	((1.502344e+00 -8.039381e+00 -1.314028e+00) (-3.834039e-03 7.358954e-02 2.724372e-03)) ((5.963741e-02 -5.440905e-01 5.893178e+00) (1.585288e-04 2.108301e-03 2.225519e-01))
0.173432      	((1.551276e+00 -5.834753e+00 -1.370988e+00) (-4.326378e-03 7.411467e-02 2.748511e-03)) ((5.952718e-02 -5.689868e-01 8.898355e+00) (1.049329e-04 2.128567e-03 2.190269e-01))
