# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (1.589045e-02 -1.395238e-12 1.531172e-07)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-3.618708e-14 -3.570382e-04 -1.753710e-13))
0.0119198     	((4.723600e+00 1.208921e-04 7.250083e-01) (2.822311e-02 -9.530457e-07 -2.750379e-03)) ((-6.346127e-09 6.811769e-05 -4.885615e-10) (-3.282837e-08 -8.989768e-04 9.585008e-09))
0.0262235     	((-1.866477e+00 -2.911295e-04 -1.008218e+00) (2.684533e-02 -1.181544e-06 -3.997980e-03)) ((-3.841311e-09 -2.902507e-05 -8.043268e-09) (-3.785529e-08 -9.540863e-04 5.589403e-08))
0.043388      	((1.494779e-01 1.981704e-04 -5.293183e-01) (2.177422e-02 -5.852431e-07 -3.304673e-03)) ((1.607341e-08 -1.891061e-06 1.367822e-09) (-2.225638e-08 -7.796974e-04 2.868505e-08))
0.0639853     	((-9.471950e-02 -2.010496e-04 -5.041629e-01) (1.959333e-02 -8.849962e-07 -3.087921e-03)) ((1.397392e-08 -2.540417e-06 -1.351802e-08) (-3.824437e-08 -7.012376e-04 -9.599219e-09))
0.0887021     	((6.368636e-02 -1.112752e-05 -4.547584e-01) (1.817294e-02 -3.981901e-07 -2.989997e-03)) ((1.216523e-08 -1.108998e-06 -9.765814e-09) (-5.663316e-08 -6.495888e-04 1.903211e-09))
0.118362      	((4.924157e-03 3.024492e-05 -4.638709e-01) (1.737275e-02 7.985997e-07 -2.967838e-03)) ((3.030908e-09 -1.160449e-06 -2.555588e-09) (-4.499003e-08 -6.232439e-04 -6.702005e-09))
0.153278      	((3.063559e-02 3.910804e-05 -4.497174e-01) (1.681201e-02 5.541429e-07 -3.107983e-03)) ((-1.742127e-09 -7.475728e-07 -5.925744e-10) (-3.957918e-08 -6.024888e-04 3.552881e-09))
0.193398      	((2.278257e-02 1.741185e-05 -4.546961e-01) (1.639700e-02 8.066092e-07 -3.300998e-03)) ((1.520374e-09 -4.538814e-07 -1.079961e-09) (-3.761748e-08 -5.862610e-04 -6.184964e-09))
0.238721      	((3.101176e-02 1.180510e-05 -4.483780e-01) (1.608343e-02 5.275714e-07 -3.485903e-03)) ((-1.575148e-09 -1.339262e-07 -1.026064e-09) (-3.304857e-08 -5.734156e-04 -2.938409e-08))
0.289243      	((3.249406e-02 -1.386088e-05 -4.497396e-01) (1.585884e-02 -1.125195e-07 -3.676233e-03)) ((-2.256417e-09 1.632885e-07 -1.411787e-09) (-3.675745e-08 -5.640192e-04 -3.466414e-08))
0.341298      	((3.784344e-02 -2.341030e-06 -4.462848e-01) (1.571099e-02 3.055176e-07 -3.845291e-03)) ((1.432392e-09 3.917449e-07 -1.561713e-09) (-3.897557e-08 -5.572540e-04 -5.163015e-08))
0.393238      	((4.117710e-02 -3.308844e-05 -4.451867e-01) (1.560723e-02 -2.199060e-07 -3.981543e-03)) ((3.154664e-10 6.148513e-07 3.183222e-10) (-3.985481e-08 -5.518553e-04 -6.502588e-08))
0.444867      	((4.552104e-02 -6.709775e-05 -4.414437e-01) (1.551529e-02 -8.391185e-07 -4.082359e-03)) ((3.144650e-09 8.020162e-07 9.985705e-10) (-4.613580e-08 -5.466835e-04 -6.052657e-08))
0.496204      	((4.871845e-02 -6.044392e-05 -4.383731e-01) (1.541257e-02 -6.235448e-07 -4.157258e-03)) ((1.813466e-09 9.905926e-07 1.396090e-09) (-4.706975e-08 -5.412403e-04 -5.791811e-08))
0.547369      	((5.159566e-02 -7.337406e-05 -4.340251e-01) (1.528886e-02 -8.826654e-07 -4.210263e-03)) ((9.211455e-10 1.186132e-06 6.670799e-10) (-4.539143e-08 -5.355544e-04 -5.753938e-08))
0.598479      	((5.329809e-02 -7.894043e-05 -4.299352e-01) (1.515431e-02 -1.078896e-06 -4.251298e-03)) ((3.832772e-09 1.365415e-06 -5.878347e-10) (-4.893910e-08 -5.301055e-04 -6.201511e-08))
0.649705      	((5.440800e-02 -8.758627e-05 -4.254848e-01) (1.502382e-02 -1.317366e-06 -4.281434e-03)) ((2.724496e-09 1.519195e-06 -1.034040e-09) (-5.602109e-08 -5.252936e-04 -7.576807e-08))
0.701122      	((5.491335e-02 -1.076740e-04 -4.216371e-01) (1.490671e-02 -1.838691e-06 -4.303433e-03)) ((3.835534e-09 1.644081e-06 -9.458048e-10) (-6.785896e-08 -5.211963e-04 -8.803847e-08))
0.752712      	((5.475104e-02 -1.276076e-04 -4.179226e-01) (1.480263e-02 -2.085511e-06 -4.320111e-03)) ((5.757639e-09 1.728043e-06 -1.300129e-09) (-8.127557e-08 -5.176358e-04 -9.071421e-08))
0.804322      	((5.413654e-02 -1.319704e-04 -4.147047e-01) (1.470713e-02 -2.111538e-06 -4.333606e-03)) ((3.332228e-09 1.787171e-06 -1.923671e-09) (-8.698804e-08 -5.144143e-04 -8.974769e-08))
0.85596       	((5.330872e-02 -1.498563e-04 -4.117686e-01) (1.461872e-02 -2.204741e-06 -4.346263e-03)) ((3.197243e-09 1.820563e-06 -2.101028e-09) (-9.005712e-08 -5.114164e-04 -8.716335e-08))
0.907643      	((5.248592e-02 -1.583565e-04 -4.092320e-01) (1.453887e-02 -2.407906e-06 -4.359355e-03)) ((5.772491e-09 1.839990e-06 -1.904316e-09) (-9.749891e-08 -5.086317e-04 -8.552246e-08))
0.95937       	((5.196617e-02 -1.841665e-04 -4.070103e-01) (1.446747e-02 -2.747361e-06 -4.372089e-03)) ((6.853965e-09 1.847858e-06 -1.587704e-09) (-1.053185e-07 -5.060812e-04 -8.459842e-08))
1.011133      	((5.158429e-02 -2.096151e-04 -4.049044e-01) (1.440320e-02 -3.059086e-06 -4.383124e-03)) ((7.740210e-09 1.854602e-06 -9.606920e-10) (-1.118706e-07 -5.037914e-04 -8.249709e-08))
1.062926      	((5.137110e-02 -2.458391e-04 -4.029354e-01) (1.434504e-02 -3.253481e-06 -4.391663e-03)) ((8.348103e-09 1.863069e-06 -5.467712e-10) (-1.192765e-07 -5.017764e-04 -7.580679e-08))
1.114749      	((5.106356e-02 -2.765526e-04 -4.009540e-01) (1.429191e-02 -3.316291e-06 -4.398512e-03)) ((8.396080e-09 1.869235e-06 -3.411952e-10) (-1.269067e-07 -4.999865e-04 -5.914755e-08))
1.166602      	((5.076781e-02 -3.111410e-04 -3.991477e-01) (1.424280e-02 -3.277382e-06 -4.404786e-03)) ((7.656730e-09 1.873730e-06 -2.568207e-10) (-1.360626e-07 -4.983404e-04 -3.662723e-08))
1.218481      	((5.042544e-02 -3.547100e-04 -3.974523e-01) (1.419707e-02 -3.335284e-06 -4.411198e-03)) ((7.133677e-09 1.876137e-06 -3.574145e-10) (-1.477501e-07 -4.967840e-04 -1.408586e-08))
1.270385      	((5.012865e-02 -4.069349e-04 -3.959009e-01) (1.415453e-02 -3.573280e-06 -4.417628e-03)) ((6.955139e-09 1.877516e-06 -9.667574e-10) (-1.623773e-07 -4.953170e-04 8.580650e-09))
1.322313      	((4.983727e-02 -4.709855e-04 -3.944678e-01) (1.411528e-02 -3.856514e-06 -4.423780e-03)) ((6.630277e-09 1.879173e-06 -1.188143e-09) (-1.795112e-07 -4.939582e-04 3.475706e-08))
1.374263      	((4.953710e-02 -5.462974e-04 -3.931393e-01) (1.407904e-02 -4.127290e-06 -4.429544e-03)) ((6.127929e-09 1.879579e-06 -1.792666e-09) (-1.981836e-07 -4.927059e-04 6.599304e-08))
1.426234      	((4.926286e-02 -6.291154e-04 -3.919368e-01) (1.404562e-02 -4.360927e-06 -4.434601e-03)) ((5.597151e-09 1.881689e-06 -2.465588e-09) (-2.191421e-07 -4.915668e-04 1.012185e-07))
1.478224      	((4.896593e-02 -7.166631e-04 -3.908240e-01) (1.401495e-02 -4.582135e-06 -4.438696e-03)) ((5.776901e-09 1.883343e-06 -3.248361e-09) (-2.420570e-07 -4.905471e-04 1.406979e-07))
1.530233      	((4.870186e-02 -8.175015e-04 -3.898146e-01) (1.398691e-02 -4.904676e-06 -4.441716e-03)) ((6.878605e-09 1.885528e-06 -3.552901e-09) (-2.678489e-07 -4.896441e-04 1.852175e-07))
1.582257      	((4.848040e-02 -9.364439e-04 -3.888888e-01) (1.396153e-02 -5.328040e-06 -4.443641e-03)) ((8.092239e-09 1.887377e-06 -3.934399e-09) (-2.987813e-07 -4.888573e-04 2.380369e-07))
1.634296      	((4.828901e-02 -1.079791e-03 -3.879906e-01) (1.393854e-02 -5.933620e-06 -4.444749e-03)) ((9.507346e-09 1.888766e-06 -4.539137e-09) (-3.352432e-07 -4.881718e-04 2.967859e-07))
1.686348      	((4.812351e-02 -1.245492e-03 -3.871425e-01) (1.391757e-02 -6.779925e-06 -4.445631e-03)) ((1.131962e-08 1.887556e-06 -5.316554e-09) (-3.790678e-07 -4.875549e-04 3.548335e-07))
1.738413      	((4.799040e-02 -1.423086e-03 -3.863706e-01) (1.389807e-02 -7.626423e-06 -4.446908e-03)) ((1.339020e-08 1.885235e-06 -5.900556e-09) (-4.287599e-07 -4.869704e-04 4.274052e-07))
1.790489      	((4.786290e-02 -1.628871e-03 -3.856718e-01) (1.387960e-02 -8.483855e-06 -4.448715e-03)) ((1.542723e-08 1.882530e-06 -6.507278e-09) (-4.835141e-07 -4.864058e-04 5.155021e-07))
1.842574      	((4.772815e-02 -1.859318e-03 -3.850273e-01) (1.386194e-02 -9.466635e-06 -4.450859e-03)) ((1.754419e-08 1.880247e-06 -7.043701e-09) (-5.493715e-07 -4.858641e-04 6.122799e-07))
1.894669      	((4.760431e-02 -2.112988e-03 -3.844454e-01) (1.384518e-02 -1.066184e-05 -4.453214e-03)) ((1.984378e-08 1.878425e-06 -7.441911e-09) (-6.273830e-07 -4.853482e-04 7.111918e-07))
1.946773      	((4.751093e-02 -2.395267e-03 -3.838995e-01) (1.382934e-02 -1.210536e-05 -4.455835e-03)) ((2.281246e-08 1.876289e-06 -7.674972e-09) (-7.152705e-07 -4.848525e-04 8.142980e-07))
1.998883      	((4.743687e-02 -2.707077e-03 -3.833725e-01) (1.381434e-02 -1.365701e-05 -4.458668e-03)) ((2.643538e-08 1.874068e-06 -7.904815e-09) (-8.111094e-07 -4.843718e-04 9.305576e-07))
2.051         	((4.738002e-02 -3.072202e-03 -3.828664e-01) (1.379998e-02 -1.538354e-05 -4.461665e-03)) ((3.067670e-08 1.871655e-06 -8.070754e-09) (-9.159921e-07 -4.839019e-04 1.060631e-06))
2.103123      	((4.734099e-02 -3.491479e-03 -3.823716e-01) (1.378632e-02 -1.760953e-05 -4.464645e-03)) ((3.574913e-08 1.869273e-06 -8.573932e-09) (-1.036217e-06 -4.834472e-04 1.199843e-06))
2.15525       	((4.731798e-02 -3.963537e-03 -3.818932e-01) (1.377321e-02 -2.040767e-05 -4.467584e-03)) ((4.170012e-08 1.867173e-06 -9.710049e-09) (-1.176098e-06 -4.830048e-04 1.350366e-06))
2.20738       	((4.729864e-02 -4.489549e-03 -3.814248e-01) (1.376042e-02 -2.361053e-05 -4.470499e-03)) ((4.810242e-08 1.865406e-06 -1.129521e-08) (-1.337741e-06 -4.825702e-04 1.525046e-06))
2.259512      	((4.729182e-02 -5.070507e-03 -3.809789e-01) (1.374807e-02 -2.706835e-05 -4.473202e-03)) ((5.474363e-08 1.864521e-06 -1.330737e-08) (-1.519845e-06 -4.821529e-04 1.729540e-06))
2.311646      	((4.729167e-02 -5.718688e-03 -3.805492e-01) (1.373643e-02 -3.057982e-05 -4.475432e-03)) ((6.187390e-08 1.864293e-06 -1.555713e-08) (-1.719258e-06 -4.817675e-04 1.968736e-06))
2.36378       	((4.729360e-02 -6.446905e-03 -3.801315e-01) (1.372559e-02 -3.429465e-05 -4.477052e-03)) ((6.961364e-08 1.865236e-06 -1.791225e-08) (-1.938638e-06 -4.814212e-04 2.239189e-06))
