# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((4.803170e-08 1.150004e-04 1.842883e-05) (-2.333554e-10 2.639267e-04 -3.353204e-08)) ((1.754647e-08 5.047053e-11 -1.634706e-10) (1.756380e-05 -3.935608e-12 2.817547e-11))
0.0264        	((7.759023e-09 1.545600e-04 3.881612e-05) (-5.657486e-10 2.418402e-04 -1.091776e-07)) ((-6.610187e-09 1.001088e-10 -8.762322e-11) (1.611252e-05 -5.333791e-12 1.713657e-11))
0.04368       	((1.063272e-07 1.044732e-04 2.045561e-05) (-1.087133e-09 2.193378e-04 -2.586332e-07)) ((-4.145502e-09 3.755684e-12 -1.005638e-10) (1.464082e-05 2.812494e-11 6.026747e-11))
0.064416      	((-3.585101e-09 1.183136e-04 2.621425e-05) (-1.921233e-09 1.971497e-04 -4.827433e-07)) ((-9.432341e-09 -7.419863e-12 -7.773205e-11) (1.319805e-05 -1.207234e-12 1.036218e-10))
0.0892992     	((1.146013e-07 8.763259e-05 1.644813e-05) (-2.145701e-09 1.761093e-04 -7.681580e-07)) ((-6.162697e-09 -6.798170e-11 -5.211534e-11) (1.183955e-05 -5.374646e-11 9.758266e-11))
0.119159      	((5.658803e-08 9.011506e-05 1.747223e-05) (-2.929405e-09 1.569828e-04 -1.087775e-06)) ((-7.965472e-09 -7.240562e-11 -3.668349e-11) (1.061368e-05 -1.637304e-10 1.069613e-10))
0.154991      	((1.114999e-07 7.050243e-05 1.135066e-05) (-3.320181e-09 1.402239e-04 -1.450115e-06)) ((-5.691176e-09 -1.272005e-10 -3.222834e-11) (9.541243e-06 -2.746615e-10 1.550171e-10))
0.197989      	((7.499188e-08 6.970573e-05 1.062432e-05) (-3.550414e-09 1.257703e-04 -1.874034e-06)) ((-6.847266e-09 -1.295205e-10 -6.030234e-11) (8.614572e-06 -3.939432e-10 1.774872e-10))
0.249587      	((9.750733e-08 5.785525e-05 6.859587e-06) (-4.763803e-09 1.131245e-04 -2.397051e-06)) ((-5.509378e-09 -1.735850e-10 -6.715662e-11) (7.793442e-06 -5.385024e-10 1.798295e-10))
0.311504      	((7.855169e-08 5.559553e-05 5.306535e-06) (-5.395246e-09 1.015140e-04 -2.959234e-06)) ((-6.042523e-09 -1.604200e-10 -6.504137e-11) (7.030582e-06 -6.889828e-10 1.574500e-10))
0.385805      	((8.545107e-08 4.750049e-05 2.373999e-06) (-7.045124e-09 9.072910e-05 -3.528353e-06)) ((-5.361089e-09 -1.728425e-10 -6.143734e-11) (6.317937e-06 -7.155554e-10 8.673365e-11))
0.474966      	((7.628422e-08 4.443133e-05 4.443988e-07) (-7.572328e-09 8.093279e-05 -4.025303e-06)) ((-5.474828e-09 -1.862701e-10 -5.834731e-11) (5.670826e-06 -7.267406e-10 1.935750e-11))
0.581959      	((7.362658e-08 3.898033e-05 -1.911986e-06) (-5.629461e-09 7.221548e-05 -4.444643e-06)) ((-5.085604e-09 -1.887595e-10 -5.244109e-11) (5.097838e-06 -8.065058e-10 2.212938e-11))
0.710351      	((7.239616e-08 3.618502e-05 -3.966973e-06) (-3.051896e-09 6.456499e-05 -4.795962e-06)) ((-5.105575e-09 -2.148586e-10 -5.273249e-11) (4.597837e-06 -9.185661e-10 5.483798e-11))
0.864421      	((9.081089e-08 3.237740e-05 -6.144612e-06) (-1.357975e-09 5.786455e-05 -5.108331e-06)) ((-4.935713e-09 -2.094390e-10 -5.017609e-11) (4.163202e-06 -1.029657e-09 9.800143e-11))
1.049306      	((7.688062e-08 3.001218e-05 -8.158733e-06) (-7.241128e-10 5.197743e-05 -5.405864e-06)) ((-4.900733e-09 -2.368245e-10 -4.567610e-11) (3.784757e-06 -1.161215e-09 1.743432e-10))
1.271167      	((8.688797e-08 2.721649e-05 -1.022877e-05) (-1.148063e-10 4.679804e-05 -5.716851e-06)) ((-4.722216e-09 -2.432419e-10 -3.646676e-11) (3.454997e-06 -1.298408e-09 2.524223e-10))
1.5374        	((6.250546e-08 2.542643e-05 -1.225655e-05) (-1.342575e-09 4.226698e-05 -6.040657e-06)) ((-4.671525e-09 -2.684539e-10 -3.583863e-11) (3.169221e-06 -1.425671e-09 3.265331e-10))
1.85688       	((6.961364e-08 2.350207e-05 -1.437884e-05) (-1.436701e-09 3.833523e-05 -6.373929e-06)) ((-4.585642e-09 -2.814497e-10 -3.676647e-11) (2.923487e-06 -1.567377e-09 3.412597e-10))
2.240256      	((6.581864e-08 2.232402e-05 -1.649055e-05) (7.417309e-10 3.496121e-05 -6.718553e-06)) ((-4.615072e-09 -3.054684e-10 -3.729399e-11) (2.714345e-06 -1.668849e-09 2.849487e-10))
2.700307      	((7.455998e-08 2.148375e-05 -1.858744e-05) (1.821055e-09 3.208746e-05 -7.093665e-06)) ((-4.639595e-09 -3.177852e-10 -3.655151e-11) (2.537049e-06 -1.709871e-09 2.543241e-10))
3.252369      	((6.280000e-08 2.113885e-05 -2.082647e-05) (2.368539e-09 2.963945e-05 -7.506428e-06)) ((-4.733107e-09 -3.361915e-10 -3.787360e-11) (2.386048e-06 -1.780817e-09 2.642789e-10))
3.914842      	((6.171914e-08 2.093162e-05 -2.314670e-05) (1.269233e-09 2.753415e-05 -7.969390e-06)) ((-4.827594e-09 -3.557400e-10 -3.885598e-11) (2.256438e-06 -1.867798e-09 2.728616e-10))
4.709811      	((6.206589e-08 2.110788e-05 -2.554761e-05) (2.413598e-09 2.571514e-05 -8.457070e-06)) ((-4.945879e-09 -3.756154e-10 -3.907593e-11) (2.144658e-06 -1.921768e-09 2.125113e-10))
5.663773      	((6.199447e-08 2.141154e-05 -2.796560e-05) (3.329256e-09 2.413918e-05 -8.974998e-06)) ((-5.048926e-09 -3.924950e-10 -3.990862e-11) (2.048415e-06 -1.986182e-09 9.878115e-11))
6.808528      	((6.970737e-08 2.191836e-05 -3.039838e-05) (5.533510e-09 2.279020e-05 -9.515499e-06)) ((-5.154790e-09 -4.110479e-10 -4.034888e-11) (1.965815e-06 -2.039210e-09 -7.454358e-12))
8.182233      	((7.238830e-08 2.258040e-05 -3.278127e-05) (5.105775e-09 2.166007e-05 -1.007411e-05)) ((-5.255926e-09 -4.268183e-10 -3.927443e-11) (1.895218e-06 -2.065764e-09 -8.270582e-11))
9.794926      	((7.377066e-08 2.346368e-05 -3.522485e-05) (4.622792e-09 2.074871e-05 -1.062911e-05)) ((-5.360779e-09 -4.415391e-10 -3.924004e-11) (1.836178e-06 -2.098462e-09 -1.406420e-10))
11.645313     	((7.730231e-08 2.451544e-05 -3.750927e-05) (4.690249e-09 2.004875e-05 -1.116941e-05)) ((-5.456535e-09 -4.541903e-10 -3.992287e-11) (1.787893e-06 -2.101912e-09 -1.742575e-10))
13.732594     	((8.441860e-08 2.565050e-05 -3.963936e-05) (3.706267e-09 1.955164e-05 -1.168309e-05)) ((-5.552864e-09 -4.664090e-10 -3.974474e-11) (1.749273e-06 -2.058135e-09 -1.780772e-10))
16.056253     	((8.750060e-08 2.688828e-05 -4.139882e-05) (2.760371e-09 1.924069e-05 -1.213857e-05)) ((-5.650367e-09 -4.760252e-10 -4.028302e-11) (1.719381e-06 -1.978885e-09 -1.987500e-10))
18.416932     	((9.582205e-08 2.803916e-05 -4.288896e-05) (2.212148e-09 1.908451e-05 -1.248606e-05)) ((-5.746736e-09 -4.830925e-10 -4.109778e-11) (1.698064e-06 -1.906376e-09 -2.248698e-10))
20.77625      	((1.014442e-07 2.904039e-05 -4.384993e-05) (1.814978e-09 1.902653e-05 -1.273463e-05)) ((-5.829831e-09 -4.870101e-10 -4.193745e-11) (1.683341e-06 -1.849014e-09 -2.319487e-10))
23.136261     	((1.124308e-07 2.989431e-05 -4.450779e-05) (1.566612e-09 1.902546e-05 -1.289961e-05)) ((-5.898900e-09 -4.886538e-10 -4.273023e-11) (1.673734e-06 -1.842642e-09 -2.144457e-10))
25.497908     	((1.216704e-07 3.062840e-05 -4.492833e-05) (1.029188e-09 1.905230e-05 -1.299541e-05)) ((-5.958164e-09 -4.884078e-10 -4.374797e-11) (1.667900e-06 -1.853008e-09 -1.695554e-10))
27.841349     	((1.306859e-07 3.120047e-05 -4.529023e-05) (5.609713e-10 1.908708e-05 -1.303741e-05)) ((-6.009094e-09 -4.870721e-10 -4.441954e-11) (1.664877e-06 -1.874169e-09 -1.129915e-10))
30.157374     	((1.405642e-07 3.158084e-05 -4.552342e-05) (1.810182e-10 1.911799e-05 -1.304482e-05)) ((-6.047059e-09 -4.848105e-10 -4.486411e-11) (1.663630e-06 -1.920472e-09 -5.656687e-11))
32.448042     	((1.552489e-07 3.180870e-05 -4.568514e-05) (8.872166e-11 1.914009e-05 -1.303604e-05)) ((-6.072743e-09 -4.825239e-10 -4.540520e-11) (1.663334e-06 -1.987784e-09 -2.050636e-11))
34.718757     	((1.738297e-07 3.192603e-05 -4.578397e-05) (4.470372e-10 1.915369e-05 -1.302112e-05)) ((-6.088558e-09 -4.805018e-10 -4.608119e-11) (1.663438e-06 -2.080976e-09 -2.063567e-11))
