# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-2.393303e-15 6.326430e-06 5.294116e-16)) ((0.000000e+00 0.000000e+00 0.000000e+00) (1.421482e-07 -2.081733e-17 -3.028503e-12))
0.012         	((-2.099126e-09 1.839750e-03 4.593641e-04) (-1.277585e-11 7.260352e-06 -1.916351e-09)) ((-2.169830e-08 1.564580e-09 -3.468335e-10) (2.095020e-07 1.061249e-14 -6.302512e-12))
0.0264        	((-2.579391e-08 -1.264993e-04 -2.896273e-05) (-3.805716e-11 7.408748e-06 -2.649771e-09)) ((1.517855e-09 -9.798510e-11 2.288768e-11) (2.345845e-07 4.078546e-13 -8.330299e-12))
0.04368       	((3.760953e-08 -3.853408e-04 -4.182392e-05) (-1.714949e-11 6.585018e-06 -2.094192e-09)) ((5.015100e-09 -1.431740e-10 9.336365e-11) (2.089909e-07 -8.271496e-13 -7.098328e-12))
0.064416      	((-1.116393e-08 -3.621989e-06 -1.496268e-05) (1.434972e-10 5.833056e-06 -1.258494e-09)) ((-2.461837e-11 -5.046468e-11 -4.320647e-12) (1.875962e-07 -1.437873e-12 -8.280396e-12))
0.0892992     	((3.546625e-09 5.234840e-06 -8.951487e-06) (2.112310e-10 5.385563e-06 -1.200547e-09)) ((-2.067088e-10 -3.070537e-11 -5.365854e-12) (1.773287e-07 -5.886284e-13 -8.789160e-12))
0.119159      	((6.410854e-10 -5.740973e-06 -5.460407e-06) (1.716941e-10 4.973172e-06 -1.392963e-09)) ((1.084290e-10 -1.797671e-11 9.979232e-13) (1.659172e-07 -4.838439e-13 -7.633949e-12))
0.154991      	((-1.930258e-09 -3.105257e-06 -3.396320e-06) (1.234968e-10 4.535616e-06 -1.285492e-09)) ((6.603418e-11 -1.132222e-11 7.167455e-14) (1.532079e-07 -3.964795e-13 -6.590793e-12))
0.197989      	((1.672396e-09 -7.547238e-07 -2.080938e-06) (6.379282e-11 4.093659e-06 -1.349645e-09)) ((2.315156e-11 -6.808958e-12 8.748090e-14) (1.402669e-07 -4.242012e-13 -3.536349e-12))
0.249587      	((1.069949e-09 9.879239e-08 -1.273785e-06) (3.107426e-11 3.659767e-06 -1.502846e-09)) ((6.071693e-12 -4.066097e-12 -3.994433e-13) (1.273187e-07 -7.623302e-13 -1.332867e-12))
0.311504      	((5.519265e-10 4.894260e-07 -7.523049e-07) (1.945966e-11 3.246872e-06 -1.686289e-09)) ((8.231273e-13 -2.299719e-12 -4.652328e-13) (1.146121e-07 -1.042865e-12 -1.409944e-13))
0.385805      	((3.745467e-10 6.766982e-07 -4.331792e-07) (1.669442e-11 2.865399e-06 -1.859298e-09)) ((-7.007144e-13 -1.162638e-12 -3.982323e-13) (1.024579e-07 -1.257593e-12 1.061468e-12))
0.474966      	((6.998919e-11 7.640296e-07 -2.267801e-07) (5.744679e-12 2.523125e-06 -2.024170e-09)) ((-2.163518e-12 -4.611306e-13 -3.390821e-13) (9.119702e-08 -1.307964e-12 1.242360e-12))
0.581959      	((-4.353371e-11 7.986737e-07 -1.048693e-07) (-6.419883e-12 2.223517e-06 -2.197475e-09)) ((-3.451665e-12 -5.394115e-14 -2.963240e-13) (8.104469e-08 -1.106765e-12 -2.611658e-13))
0.710351      	((-1.028966e-10 7.952544e-07 -2.845232e-08) (4.706255e-12 1.966803e-06 -2.359289e-09)) ((-4.315394e-12 2.046615e-13 -2.412006e-13) (7.212295e-08 -8.535965e-13 -2.026218e-12))
0.864421      	((-7.633446e-11 7.665048e-07 1.305058e-08) (2.531566e-11 1.749715e-06 -2.492116e-09)) ((-4.670500e-12 3.416028e-13 -2.370225e-13) (6.443409e-08 -5.810294e-13 -2.472076e-12))
1.049306      	((-7.195219e-11 7.243994e-07 3.750685e-08) (3.643952e-11 1.566683e-06 -2.601019e-09)) ((-4.606495e-12 4.149997e-13 -2.292913e-13) (5.786257e-08 -3.683295e-13 -1.667825e-12))
1.271167      	((-2.037879e-11 6.776221e-07 4.819278e-08) (3.517399e-11 1.411940e-06 -2.698172e-09)) ((-4.343631e-12 4.479220e-13 -2.114020e-13) (5.223292e-08 -2.279894e-13 -4.671894e-13))
1.5374        	((2.284744e-12 6.298310e-07 5.246008e-08) (2.764243e-11 1.279353e-06 -2.808995e-09)) ((-4.043304e-12 4.650121e-13 -2.105039e-13) (4.735643e-08 -8.398858e-14 4.697755e-13))
1.85688       	((8.812076e-12 5.832143e-07 5.082833e-08) (1.987967e-11 1.163326e-06 -2.946763e-09)) ((-3.706508e-12 4.561704e-13 -2.127558e-13) (4.306860e-08 2.150653e-14 9.833065e-13))
