# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((4.255243e-07 -1.610402e-11 1.341815e-07) (1.050189e-06 -4.443074e-15 9.461073e-11)) ((6.923161e-15 -6.824749e-11 5.514136e-15) (7.848838e-16 -6.988709e-08 3.051539e-16))
0.0264        	((6.320132e-07 -3.585151e-10 2.119030e-07) (9.619872e-07 -9.148008e-14 5.573717e-11)) ((3.885669e-15 3.516429e-11 1.358641e-15) (2.945224e-15 -6.408632e-08 -1.894776e-15))
0.04368       	((4.013535e-07 2.143383e-10 1.282140e-07) (8.709689e-07 1.089771e-13 -4.977869e-12)) ((8.255792e-15 2.500027e-11 3.997293e-15) (8.472192e-15 -5.811868e-08 -9.223213e-15))
0.064416      	((4.764791e-07 -2.599337e-10 1.578203e-07) (7.791408e-07 1.804494e-13 -4.893035e-11)) ((4.865045e-15 4.864633e-11 -5.864613e-16) (1.644945e-14 -5.211858e-08 -1.260206e-14))
0.0892992     	((3.402060e-07 1.134874e-10 1.106676e-07) (6.891158e-07 1.800016e-13 -6.061759e-11)) ((2.369568e-15 3.452083e-11 2.996609e-15) (2.807226e-14 -4.625755e-08 -6.586184e-15))
0.119159      	((3.580535e-07 -1.266728e-10 1.157266e-07) (6.037766e-07 2.548823e-14 -5.616354e-11)) ((3.363317e-15 4.210280e-11 9.492836e-17) (2.470880e-14 -4.072752e-08 1.910673e-15))
0.154991      	((2.650064e-07 6.518469e-11 8.789237e-08) (5.258034e-07 -5.147177e-14 -6.134541e-11)) ((-1.050924e-15 2.932669e-11 2.649515e-16) (2.506464e-14 -3.564530e-08 1.574402e-14))
0.197989      	((2.653348e-07 -4.824598e-11 8.447575e-08) (4.568011e-07 -7.502000e-14 -6.579757e-11)) ((-1.526681e-15 3.309423e-11 -3.669300e-16) (2.480628e-14 -3.114348e-08 2.843610e-14))
0.249587      	((2.038182e-07 2.615840e-11 6.788222e-08) (3.979786e-07 -1.386836e-13 -6.807993e-11)) ((-1.034095e-15 2.362877e-11 1.457463e-16) (2.039965e-14 -2.727701e-08 3.461388e-14))
0.311504      	((1.996197e-07 -7.646451e-12 6.293716e-08) (3.490710e-07 -1.628907e-13 -7.216129e-11)) ((-2.726369e-15 2.609320e-11 2.439229e-16) (2.359666e-14 -2.404812e-08 3.405381e-14))
0.385805      	((1.598500e-07 4.517405e-12 5.321162e-08) (3.086551e-07 -1.330335e-13 -7.881186e-11)) ((-7.383492e-16 1.940725e-11 3.689142e-16) (2.217422e-14 -2.137687e-08 3.439564e-14))
0.474966      	((1.557563e-07 -5.609778e-12 4.896305e-08) (2.752154e-07 -1.436214e-13 -7.995340e-11)) ((-2.719743e-15 2.110232e-11 1.808060e-16) (2.057742e-14 -1.917023e-08 4.742671e-14))
0.581959      	((1.292665e-07 -1.139786e-12 4.289735e-08) (2.470598e-07 -2.265465e-13 -8.291221e-11)) ((-4.750618e-16 1.627340e-11 -3.181761e-16) (-8.946161e-16 -1.731078e-08 3.753424e-14))
0.710351      	((1.255823e-07 3.945982e-12 3.934384e-08) (2.228733e-07 -1.279460e-13 -8.845354e-11)) ((-3.806144e-15 1.753137e-11 -4.348497e-16) (-1.144926e-14 -1.571887e-08 8.625446e-16))
0.864421      	((1.067761e-07 -6.257284e-12 3.527347e-08) (2.016089e-07 -4.005658e-14 -8.755205e-11)) ((-1.911261e-15 1.413832e-11 -5.825140e-16) (-1.402874e-14 -1.432052e-08 -4.026193e-15))
1.049306      	((1.028284e-07 -1.288691e-12 3.213285e-08) (1.826728e-07 1.649965e-13 -8.666972e-11)) ((-4.753444e-15 1.510547e-11 -4.914041e-16) (3.393279e-14 -1.308128e-08 1.937088e-14))
1.271167      	((8.836323e-08 -6.868973e-12 2.896524e-08) (1.655841e-07 -6.372784e-14 -8.812770e-11)) ((-3.132906e-15 1.275660e-11 -1.953388e-15) (8.077587e-14 -1.196422e-08 5.186322e-14))
1.5374        	((8.401463e-08 -7.143814e-12 2.624559e-08) (1.501604e-07 -3.296750e-13 -7.702797e-11)) ((-5.814406e-15 1.326976e-11 -2.735593e-15) (1.245100e-13 -1.095708e-08 7.698514e-14))
1.85688       	((7.276376e-08 -8.456653e-12 2.369790e-08) (1.362237e-07 -6.038639e-13 -7.336874e-11)) ((-5.468625e-15 1.152268e-11 -2.692351e-15) (1.726126e-13 -1.004881e-08 7.629823e-14))
2.240256      	((6.822840e-08 -5.459871e-12 2.141559e-08) (1.237116e-07 -7.495031e-13 -6.684443e-11)) ((-7.436024e-15 1.168499e-11 -2.501144e-15) (2.460659e-13 -9.232747e-09 5.493927e-14))
2.700307      	((5.981603e-08 -5.385774e-12 1.945826e-08) (1.126364e-07 -4.322947e-13 -6.993846e-11)) ((-6.386713e-15 1.044946e-11 -2.741430e-15) (3.868846e-13 -8.511366e-09 -8.557616e-15))
3.252369      	((5.569603e-08 -1.195931e-11 1.763554e-08) (1.028575e-07 -4.125030e-13 -8.157687e-11)) ((-7.284453e-15 1.047416e-11 -2.715495e-15) (5.295450e-13 -7.873494e-09 -1.588672e-13))
3.914842      	((4.967007e-08 -2.362339e-12 1.611500e-08) (9.426674e-08 5.769571e-14 -8.426660e-11)) ((-5.604228e-15 9.771154e-12 -3.071804e-15) (6.472211e-13 -7.314741e-09 -3.672504e-13))
4.709811      	((4.598131e-08 1.017744e-12 1.466168e-08) (8.670755e-08 3.413419e-13 -8.275716e-11)) ((-5.034345e-15 9.686007e-12 -4.137031e-15) (7.126921e-13 -6.824121e-09 -5.360599e-13))
5.663773      	((4.157401e-08 -2.746508e-13 1.346192e-08) (7.999600e-08 -3.176819e-13 -7.988968e-11)) ((-2.993694e-15 9.229409e-12 -4.660799e-15) (6.921677e-13 -6.389646e-09 -6.415348e-13))
6.808528      	((3.834993e-08 -1.122887e-11 1.228694e-08) (7.397315e-08 -1.224385e-12 -7.998387e-11)) ((-5.126759e-15 9.027052e-12 -4.901034e-15) (6.445115e-13 -6.000696e-09 -6.568657e-13))
8.182233      	((3.493804e-08 -1.275523e-11 1.127508e-08) (6.851100e-08 -1.838616e-12 -7.989806e-11)) ((-3.775987e-15 8.722849e-12 -4.536903e-15) (6.293825e-13 -5.650090e-09 -6.368283e-13))
