# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (1.111660e-10 2.633261e-13 1.202047e-05)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-7.128625e-14 6.804603e-12 -1.600232e-16))
0.012         	((4.136199e-08 3.207768e-08 1.180097e-03) (-3.166265e-10 1.321601e-10 1.095025e-05)) ((1.419347e-12 4.532868e-10 -1.105515e-13) (3.923019e-12 1.811600e-11 -1.087532e-13))
0.0264        	((-1.743033e-08 -4.585554e-08 -1.099645e-04) (-6.521866e-10 -5.434578e-11 8.751806e-06)) ((-5.244619e-12 -4.303406e-11 -3.428039e-13) (3.878157e-12 2.133893e-11 -2.281036e-13))
0.04368       	((1.847212e-08 6.880769e-08 -2.291166e-04) (-3.763660e-10 -1.630014e-10 5.855583e-06)) ((1.395244e-11 -1.074241e-10 6.982617e-13) (-4.599354e-12 -2.977739e-12 -8.948307e-13))
0.064416      	((-1.208008e-08 -1.232483e-08 -1.166870e-05) (1.842336e-10 1.344759e-10 4.024783e-06)) ((-8.440993e-13 5.244366e-12 -2.060680e-13) (-6.811719e-12 -2.956925e-11 -1.586925e-12))
0.0892992     	((1.171714e-08 -2.246165e-09 -5.717824e-07) (3.354370e-10 2.434261e-10 3.252654e-06)) ((-2.972536e-12 1.228603e-11 2.194625e-13) (1.779025e-12 -3.024093e-11 1.380791e-14))
0.119159      	((-6.096492e-09 -6.511853e-09 -3.401043e-06) (3.064856e-10 2.631732e-10 2.762922e-06)) ((-7.240850e-13 4.044648e-12 -5.510010e-14) (8.985705e-12 -2.820063e-11 1.004422e-12))
0.154991      	((-5.770262e-09 -3.879244e-09 -2.413320e-06) (2.002649e-10 3.092182e-10 2.374963e-06)) ((-4.900000e-13 2.438903e-12 -3.172628e-14) (1.163821e-11 -2.202692e-11 -6.001103e-13))
0.197989      	((-5.341018e-09 -4.479156e-09 -7.359256e-07) (1.348559e-10 2.756550e-10 2.081536e-06)) ((-1.929028e-13 2.158267e-12 -6.434588e-15) (1.183806e-11 -1.401967e-11 -1.543347e-12))
0.249587      	((-2.783603e-09 -2.841328e-09 -1.753455e-07) (1.689943e-10 2.681076e-10 1.840796e-06)) ((-4.133985e-15 1.613465e-12 -2.078218e-14) (1.298717e-11 -1.385556e-11 -1.538725e-12))
0.311504      	((-1.944706e-09 -1.982338e-09 1.470330e-07) (1.994081e-10 3.026924e-10 1.633497e-06)) ((-3.843267e-14 1.425073e-12 -1.905589e-14) (1.583876e-11 -1.643676e-11 -1.831889e-12))
0.385805      	((-1.387607e-09 -1.349160e-09 3.432262e-07) (2.498832e-10 3.545903e-10 1.452666e-06)) ((-1.637744e-14 1.148421e-12 -1.580057e-14) (1.907929e-11 -2.017090e-11 -2.192687e-12))
0.474966      	((-8.241799e-10 -7.484248e-10 4.432446e-07) (2.905209e-10 3.964037e-10 1.294341e-06)) ((3.961857e-14 9.311350e-13 -1.771826e-14) (2.251074e-11 -2.255568e-11 -2.415622e-12))
0.581959      	((-4.635722e-10 -4.608406e-10 4.844391e-07) (3.137435e-10 4.206425e-10 1.155720e-06)) ((1.298142e-13 6.597914e-13 -9.129137e-15) (2.535524e-11 -2.278425e-11 -2.453833e-12))
0.710351      	((-6.430087e-11 -1.595590e-10 4.903265e-07) (3.376790e-10 4.366776e-10 1.035292e-06)) ((1.825417e-13 4.465288e-13 -4.014787e-15) (2.710957e-11 -2.312720e-11 -2.413706e-12))
0.864421      	((2.375360e-10 -3.181598e-11 4.797012e-07) (3.580290e-10 4.410184e-10 9.320026e-07)) ((2.031422e-13 3.054467e-13 1.638674e-15) (2.847774e-11 -2.303983e-11 -2.121984e-12))
1.049306      	((5.107284e-10 4.858119e-11 4.597778e-07) (3.784351e-10 4.397559e-10 8.444431e-07)) ((2.434883e-13 2.159760e-13 9.211806e-15) (2.929724e-11 -2.334007e-11 -1.711373e-12))
