# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((7.940445e-13 -1.904752e-10 2.436974e-12) (2.350516e-14 -2.136909e-12 9.323590e-15)) ((1.370305e-14 6.095136e-17 2.622037e-12) (-4.078518e-14 -1.125448e-15 5.332232e-09))
0.0264        	((-5.881701e-13 6.910928e-11 -5.624047e-12) (2.660662e-14 -2.279839e-12 1.416535e-14)) ((3.223790e-14 -2.262742e-16 7.860560e-13) (-7.255349e-14 -1.083884e-15 4.666925e-09))
0.04368       	((3.656451e-12 -3.481276e-11 3.333401e-12) (3.401617e-14 -1.495145e-12 3.062744e-14)) ((-1.482553e-14 3.735602e-17 4.113639e-13) (-6.131935e-14 -1.486970e-15 4.035927e-09))
0.064416      	((2.593443e-12 -2.772918e-12 -1.391171e-12) (3.418738e-14 -8.009381e-13 2.509545e-14)) ((4.139293e-15 5.850360e-17 2.757268e-13) (-3.133351e-14 -1.840714e-15 3.456491e-09))
0.0892992     	((3.701127e-12 -1.676964e-11 1.030816e-12) (2.915578e-14 -5.082785e-13 2.184757e-15)) ((-4.516938e-15 3.229813e-16 2.218356e-13) (-1.503380e-14 -1.798843e-15 2.943941e-09))
0.119159      	((1.502658e-12 -1.435637e-12 7.757053e-13) (4.242635e-14 -4.314217e-13 -1.083330e-14)) ((-2.766894e-15 2.479160e-16 1.759326e-13) (5.971567e-15 -2.190711e-15 2.505437e-09))
0.154991      	((2.782042e-12 -1.401951e-11 5.594669e-13) (5.113628e-14 -3.197368e-13 -1.869316e-14)) ((-2.645525e-15 3.228552e-16 1.404754e-13) (2.122822e-14 -2.397889e-15 2.144172e-09))
0.197989      	((2.612725e-12 -1.090327e-11 7.825474e-13) (3.016290e-14 -2.008801e-13 -1.580620e-14)) ((-2.093036e-15 1.879435e-16 1.097578e-13) (2.901646e-14 -1.159102e-15 1.854053e-09))
0.249587      	((3.569530e-12 -1.265085e-11 4.993541e-13) (-5.819502e-15 -6.945635e-14 -2.204962e-15)) ((-2.127137e-15 1.189770e-16 9.050832e-14) (2.670887e-14 8.388745e-16 1.623252e-09))
0.311504      	((5.769240e-12 -1.644667e-11 1.251752e-12) (-2.934806e-14 4.195533e-14 2.928052e-15)) ((-1.524193e-15 -2.014080e-17 7.999637e-14) (2.234102e-14 2.096833e-15 1.437794e-09))
0.385805      	((6.965964e-12 -2.120924e-11 1.132454e-12) (-2.607235e-14 -4.370707e-14 7.652202e-15)) ((-1.149302e-15 2.675940e-17 6.972373e-14) (1.697152e-14 2.578511e-15 1.284995e-09))
0.474966      	((9.514665e-12 -2.570419e-11 1.977724e-12) (-6.323826e-14 -1.175675e-13 2.637073e-14)) ((1.283163e-16 -5.760123e-17 6.081713e-14) (5.374376e-15 3.056045e-15 1.155344e-09))
0.581959      	((1.255491e-11 -3.329233e-11 2.434993e-12) (-1.054731e-13 -2.227179e-13 6.612269e-14)) ((7.160452e-16 -1.294140e-17 5.640539e-14) (-1.757706e-14 3.840058e-15 1.042598e-09))
0.710351      	((1.546511e-11 -3.321184e-11 3.066611e-12) (-2.466018e-13 -5.287884e-13 1.348707e-13)) ((1.458240e-15 1.000274e-17 5.367351e-14) (-3.701558e-14 6.354006e-15 9.428863e-10))
0.864421      	((1.734669e-11 -2.675328e-11 2.829274e-12) (-5.258900e-13 -4.093741e-13 1.569371e-13)) ((2.237379e-15 1.268864e-16 5.113497e-14) (-3.351526e-14 1.210572e-14 8.537745e-10))
1.049306      	((1.837297e-11 -2.404342e-11 2.406799e-12) (-8.803244e-13 3.154056e-13 2.250375e-13)) ((2.823678e-15 2.246525e-16 4.841222e-14) (-1.285402e-14 1.810358e-14 7.737608e-10))
1.271167      	((1.620142e-11 -2.096931e-11 2.698768e-12) (-1.558409e-12 1.316410e-12 3.140582e-13)) ((3.571960e-15 3.806886e-16 4.636737e-14) (1.280376e-14 3.170243e-14 7.020848e-10))
1.5374        	((1.241197e-11 -2.048452e-11 2.043060e-12) (-2.617080e-12 2.456569e-12 3.438688e-13)) ((3.195673e-15 4.500710e-16 4.489703e-14) (4.121025e-14 5.939938e-14 6.383795e-10))
1.85688       	((8.775596e-12 -1.581221e-11 7.732253e-13) (-3.911103e-12 3.312729e-12 3.939695e-13)) ((2.917330e-15 5.726124e-16 4.301824e-14) (7.222972e-14 9.141931e-14 5.822947e-10))
2.240256      	((4.683397e-12 -1.054605e-11 -6.284589e-14) (-5.480574e-12 4.230717e-12 4.954899e-13)) ((3.387770e-15 6.502533e-16 4.069540e-14) (1.117895e-13 1.342607e-13 5.332743e-10))
