# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-1.262224e-02 3.516896e-12 -1.216264e-07)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-2.781015e-14 2.836055e-04 -3.887419e-14))
0.012         	((-3.730628e+00 2.072360e-04 1.391854e-01) (-2.062256e-02 1.623749e-07 -1.638206e-03)) ((-9.580959e-10 -5.036611e-05 -5.184090e-10) (-2.797810e-08 6.468810e-04 4.475559e-08))
0.0264        	((1.348309e+00 2.275418e-05 -4.730626e-01) (-1.996059e-02 1.873982e-07 -2.417922e-03)) ((2.865280e-09 1.748271e-05 7.008882e-09) (-2.129832e-08 6.969841e-04 1.442699e-08))
0.04368       	((-4.026963e-03 -1.815594e-04 -2.771830e-01) (-1.627500e-02 1.636070e-07 -2.146775e-03)) ((1.791725e-09 1.808639e-06 -3.058794e-09) (-1.019933e-08 5.784455e-04 3.503684e-09))
0.064416      	((5.034960e-02 -5.393133e-06 -2.846142e-01) (-1.448350e-02 5.554647e-07 -2.111855e-03)) ((7.637568e-09 3.440928e-07 7.065526e-09) (-1.867771e-08 5.196058e-04 1.880022e-08))
0.0892992     	((-3.118650e-02 -4.600456e-05 -2.553072e-01) (-1.334227e-02 4.473824e-07 -2.050123e-03)) ((8.222338e-09 -1.362672e-07 3.446413e-09) (-2.968070e-08 4.781998e-04 9.296054e-09))
0.119159      	((-6.737309e-03 -1.524572e-05 -2.586683e-01) (-1.261707e-02 2.364240e-07 -1.998664e-03)) ((3.623809e-09 -1.538533e-07 8.795682e-10) (-3.636936e-08 4.532811e-04 5.799782e-09))
0.154991      	((-1.701211e-02 1.442760e-06 -2.488004e-01) (-1.210544e-02 1.134185e-07 -2.063911e-03)) ((-1.999266e-09 -3.561677e-07 -5.060504e-10) (-3.040719e-08 4.349187e-04 5.133222e-09))
0.197416      	((-1.472072e-02 4.261193e-06 -2.513032e-01) (-1.171642e-02 -7.341008e-08 -2.200336e-03)) ((-7.002753e-11 -5.264322e-07 -5.948458e-10) (-2.225611e-08 4.202373e-04 1.979415e-09))
0.246429      	((-1.833926e-02 5.573201e-06 -2.467009e-01) (-1.140806e-02 -1.236507e-08 -2.340877e-03)) ((-4.176670e-10 -7.397814e-07 7.579682e-11) (-1.732321e-08 4.079218e-04 -3.051193e-09))
0.302028      	((-2.002580e-02 3.448466e-06 -2.470549e-01) (-1.116687e-02 4.560277e-08 -2.489343e-03)) ((4.380301e-10 -9.633472e-07 -3.570349e-10) (-1.446854e-08 3.980303e-04 -9.941900e-09))
0.364208      	((-2.337109e-02 9.322939e-06 -2.444441e-01) (-1.098808e-02 1.239856e-07 -2.631825e-03)) ((5.582591e-10 -1.178355e-06 -3.983537e-10) (-1.365052e-08 3.904353e-04 -1.258677e-08))
0.429807      	((-2.611648e-02 1.061781e-05 -2.434948e-01) (-1.085963e-02 1.677521e-07 -2.759793e-03)) ((1.176800e-10 -1.377789e-06 -3.451001e-10) (-1.178739e-08 3.846448e-04 -1.028186e-08))
0.495023      	((-2.931003e-02 2.529239e-05 -2.408806e-01) (-1.076551e-02 1.623540e-07 -2.861672e-03)) ((8.314856e-11 -1.535863e-06 9.303284e-11) (-8.820456e-09 3.799873e-04 -7.089326e-09))
0.559798      	((-3.212147e-02 3.110121e-05 -2.385932e-01) (-1.068231e-02 1.298044e-07 -2.938600e-03)) ((9.626816e-10 -1.690516e-06 -1.064970e-11) (-6.684794e-09 3.756315e-04 -8.894114e-10))
0.62423       	((-3.476430e-02 3.633861e-05 -2.354055e-01) (-1.059259e-02 3.609623e-08 -2.994565e-03)) ((1.512660e-09 -1.843378e-06 -2.864014e-10) (-6.134638e-09 3.711741e-04 8.865067e-09))
0.688539      	((-3.690239e-02 5.174476e-05 -2.323698e-01) (-1.049124e-02 2.796149e-08 -3.035704e-03)) ((9.806924e-10 -1.986017e-06 -6.915712e-10) (-5.650870e-09 3.666845e-04 1.891894e-08))
0.752941      	((-3.838150e-02 6.956840e-05 -2.289497e-01) (-1.038613e-02 1.731282e-07 -3.066335e-03)) ((5.521656e-10 -2.100735e-06 -3.417805e-10) (-2.786518e-09 3.624768e-04 2.320085e-08))
0.817532      	((-3.932299e-02 9.326821e-05 -2.257589e-01) (-1.028641e-02 4.448971e-07 -3.090715e-03)) ((6.594409e-11 -2.189044e-06 -1.899640e-10) (1.496359e-09 3.587158e-04 2.076342e-08))
0.882274      	((-3.975861e-02 1.205043e-04 -2.225958e-01) (-1.019543e-02 7.453784e-07 -3.110626e-03)) ((-4.162216e-10 -2.243500e-06 -3.179942e-11) (7.275055e-09 3.553734e-04 1.807785e-08))
0.947088      	((-3.971973e-02 1.428994e-04 -2.195621e-01) (-1.011216e-02 9.537143e-07 -3.126541e-03)) ((-2.962670e-10 -2.281037e-06 6.467356e-11) (1.325248e-08 3.523667e-04 2.194507e-08))
1.01194       	((-3.936795e-02 1.682014e-04 -2.165336e-01) (-1.003571e-02 1.005972e-06 -3.138550e-03)) ((-6.216898e-10 -2.291876e-06 1.771401e-10) (1.739510e-08 3.496881e-04 3.535332e-08))
1.076843      	((-3.894041e-02 2.158538e-04 -2.137690e-01) (-9.965790e-03 1.006300e-06 -3.147210e-03)) ((-6.695307e-10 -2.273574e-06 2.817617e-10) (2.067293e-08 3.473275e-04 5.490591e-08))
1.141813      	((-3.855024e-02 2.731204e-04 -2.112767e-01) (-9.901372e-03 1.143331e-06 -3.155354e-03)) ((-1.334027e-09 -2.237011e-06 -1.330019e-10) (2.828923e-08 3.451655e-04 7.615430e-08))
1.206849      	((-3.821746e-02 3.446374e-04 -2.090872e-01) (-9.842008e-03 1.478366e-06 -3.164491e-03)) ((-1.532899e-09 -2.201258e-06 -9.021784e-10) (4.233817e-08 3.431149e-04 9.479520e-08))
1.271942      	((-3.797425e-02 4.427780e-04 -2.070813e-01) (-9.787774e-03 2.045105e-06 -3.172958e-03)) ((-2.539494e-09 -2.187219e-06 -1.472122e-09) (6.274629e-08 3.412171e-04 1.147490e-07))
1.337086      	((-3.770903e-02 5.462228e-04 -2.051795e-01) (-9.738169e-03 2.813344e-06 -3.179577e-03)) ((-4.130651e-09 -2.182757e-06 -1.773830e-09) (8.900567e-08 3.395118e-04 1.405220e-07))
1.402279      	((-3.750522e-02 6.621542e-04 -2.034016e-01) (-9.692351e-03 3.599819e-06 -3.185032e-03)) ((-5.962605e-09 -2.185298e-06 -2.192341e-09) (1.206315e-07 3.379625e-04 1.737092e-07))
1.46752       	((-3.733690e-02 8.018078e-04 -2.017447e-01) (-9.649734e-03 4.372919e-06 -3.190358e-03)) ((-8.646675e-09 -2.188285e-06 -2.701082e-09) (1.599771e-07 3.365202e-04 2.167686e-07))
1.532804      	((-3.716328e-02 9.530347e-04 -2.001742e-01) (-9.610078e-03 5.280832e-06 -3.195606e-03)) ((-1.126989e-08 -2.191471e-06 -3.529409e-09) (2.078207e-07 3.351685e-04 2.681505e-07))
1.598128      	((-3.702058e-02 1.114396e-03 -1.987154e-01) (-9.573530e-03 6.410653e-06 -3.199829e-03)) ((-1.408559e-08 -2.194572e-06 -4.313210e-09) (2.628011e-07 3.339438e-04 3.234997e-07))
1.663488      	((-3.685812e-02 1.293550e-03 -1.973421e-01) (-9.540416e-03 7.677313e-06 -3.202583e-03)) ((-1.698529e-08 -2.193240e-06 -5.666165e-09) (3.250033e-07 3.328802e-04 3.840656e-07))
1.728883      	((-3.668712e-02 1.498600e-03 -1.960656e-01) (-9.510562e-03 8.997479e-06 -3.203882e-03)) ((-2.047922e-08 -2.187784e-06 -7.141319e-09) (3.954391e-07 3.319688e-04 4.546632e-07))
1.79431       	((-3.651232e-02 1.730877e-03 -1.948769e-01) (-9.483695e-03 1.039521e-05 -3.203879e-03)) ((-2.379144e-08 -2.180747e-06 -8.597813e-09) (4.735920e-07 3.311909e-04 5.379653e-07))
1.859765      	((-3.629880e-02 2.016561e-03 -1.937564e-01) (-9.459365e-03 1.213251e-05 -3.203093e-03)) ((-2.855629e-08 -2.172593e-06 -9.791786e-09) (5.630684e-07 3.305172e-04 6.283909e-07))
1.925246      	((-3.608543e-02 2.369285e-03 -1.927156e-01) (-9.437065e-03 1.446097e-05 -3.201985e-03)) ((-3.484954e-08 -2.162519e-06 -1.092702e-08) (6.715367e-07 3.299191e-04 7.238471e-07))
1.990751      	((-3.589625e-02 2.749595e-03 -1.917830e-01) (-9.416728e-03 1.729032e-05 -3.200948e-03)) ((-4.084225e-08 -2.151071e-06 -1.231465e-08) (7.989436e-07 3.293799e-04 8.266079e-07))
2.056275      	((-3.569596e-02 3.159873e-03 -1.909344e-01) (-9.398118e-03 2.028515e-05 -3.200480e-03)) ((-4.740043e-08 -2.136975e-06 -1.404221e-08) (9.410614e-07 3.288754e-04 9.508298e-07))
2.121818      	((-3.547724e-02 3.649478e-03 -1.901496e-01) (-9.380945e-03 2.349875e-05 -3.200844e-03)) ((-5.598774e-08 -2.122302e-06 -1.607468e-08) (1.105242e-06 3.283887e-04 1.102140e-06))
2.187374      	((-3.526087e-02 4.217971e-03 -1.894322e-01) (-9.364993e-03 2.718379e-05 -3.202008e-03)) ((-6.540245e-08 -2.109061e-06 -1.855910e-08) (1.299925e-06 3.279167e-04 1.276638e-06))
2.252941      	((-3.508058e-02 4.868006e-03 -1.887798e-01) (-9.350153e-03 3.146776e-05 -3.203705e-03)) ((-7.448202e-08 -2.099784e-06 -2.140020e-08) (1.526140e-06 3.274649e-04 1.476682e-06))
2.318515      	((-3.492787e-02 5.602964e-03 -1.881794e-01) (-9.336407e-03 3.644817e-05 -3.205709e-03)) ((-8.409111e-08 -2.092845e-06 -2.471188e-08) (1.785649e-06 3.270375e-04 1.703369e-06))
2.384093      	((-3.481469e-02 6.435009e-03 -1.876158e-01) (-9.323734e-03 4.218704e-05 -3.207733e-03)) ((-9.487850e-08 -2.088918e-06 -2.823714e-08) (2.081542e-06 3.266405e-04 1.959690e-06))
2.44967       	((-3.472937e-02 7.379625e-03 -1.870770e-01) (-9.312159e-03 4.881541e-05 -3.209450e-03)) ((-1.071913e-07 -2.086454e-06 -3.223650e-08) (2.417089e-06 3.262829e-04 2.247715e-06))
2.515244      	((-3.468653e-02 8.447363e-03 -1.865816e-01) (-9.301734e-03 5.642273e-05 -3.210663e-03)) ((-1.211205e-07 -2.085866e-06 -3.671393e-08) (2.797651e-06 3.259731e-04 2.574928e-06))
2.580809      	((-3.466350e-02 9.661499e-03 -1.861225e-01) (-9.292556e-03 6.517470e-05 -3.211178e-03)) ((-1.380368e-07 -2.085677e-06 -4.186523e-08) (3.231106e-06 3.257206e-04 2.947366e-06))
2.646362      	((-3.465631e-02 1.105223e-02 -1.857104e-01) (-9.284656e-03 7.521261e-05 -3.211028e-03)) ((-1.585977e-07 -2.084639e-06 -4.739725e-08) (3.725296e-06 3.255286e-04 3.372246e-06))
