# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((2.265191e-08 -7.248369e-05 -1.178612e-05) (-7.565192e-11 -1.664884e-04 -1.365997e-08)) ((-1.088626e-08 -4.253466e-11 1.007765e-10) (-1.107928e-05 -3.422769e-12 -1.822165e-11))
0.0264        	((7.114747e-08 -9.740701e-05 -2.503792e-05) (-8.705275e-11 -1.525385e-04 -4.406789e-08)) ((4.399979e-09 -9.546011e-11 5.065565e-11) (-1.016239e-05 -6.228859e-12 -1.432309e-11))
0.04368       	((-9.203501e-09 -6.584347e-05 -1.383289e-05) (-2.709964e-10 -1.382585e-04 -1.040651e-07)) ((2.959129e-09 -7.011882e-11 5.842000e-11) (-9.227579e-06 6.204498e-12 -3.843777e-11))
0.064416      	((5.990997e-08 -7.449605e-05 -1.806568e-05) (-5.296131e-10 -1.240593e-04 -1.956190e-07)) ((6.337132e-09 -9.820194e-11 4.237765e-11) (-8.302611e-06 -1.377674e-11 -5.944361e-11))
0.0892992     	((1.300191e-08 -5.510922e-05 -1.256574e-05) (-6.621548e-10 -1.104353e-04 -3.153563e-07)) ((4.275111e-09 -9.156862e-11 2.776077e-11) (-7.420196e-06 -2.368935e-11 -4.246606e-11))
0.119159      	((4.809952e-08 -5.655158e-05 -1.396951e-05) (-1.248975e-09 -9.787263e-05 -4.540445e-07)) ((5.363111e-09 -9.582075e-11 1.759888e-11) (-6.612007e-06 -4.651592e-11 -3.253446e-11))
0.154991      	((2.962121e-08 -4.364048e-05 -1.067376e-05) (-1.881332e-09 -8.672692e-05 -6.136542e-07)) ((3.724950e-09 -9.824703e-11 1.180834e-11) (-5.895788e-06 -8.364382e-11 -3.737244e-11))
0.197989      	((3.048382e-08 -4.322097e-05 -1.131804e-05) (-2.232449e-09 -7.704730e-05 -8.040200e-07)) ((4.457644e-09 -9.670398e-11 2.371283e-11) (-5.272184e-06 -1.668620e-10 -2.723932e-11))
0.249587      	((4.200262e-08 -3.520270e-05 -9.642579e-06) (-2.954443e-09 -6.864606e-05 -1.023867e-06)) ((3.453475e-09 -1.128004e-10 3.041695e-11) (-4.724684e-06 -2.525518e-10 -3.100992e-11))
0.311504      	((3.732262e-08 -3.383522e-05 -1.002891e-05) (-2.564557e-09 -6.118892e-05 -1.229634e-06)) ((3.877330e-09 -9.717165e-11 3.531921e-11) (-4.234200e-06 -3.279550e-10 -2.409961e-11))
0.385805      	((4.671290e-08 -2.852871e-05 -9.236921e-06) (-2.705130e-09 -5.452813e-05 -1.439670e-06)) ((3.327714e-09 -9.791125e-11 3.171457e-11) (-3.794117e-06 -3.632407e-10 -1.416883e-11))
0.474966      	((3.044328e-08 -2.675161e-05 -9.437457e-06) (-3.074043e-09 -4.861812e-05 -1.621836e-06)) ((3.427876e-09 -1.025364e-10 2.925456e-11) (-3.403216e-06 -3.512846e-10 -1.318663e-11))
0.581959      	((4.449374e-08 -2.316757e-05 -9.040770e-06) (-2.722982e-09 -4.342101e-05 -1.787815e-06)) ((3.096968e-09 -8.911570e-11 2.633131e-11) (-3.059967e-06 -3.613920e-10 -1.358244e-11))
0.710351      	((2.690649e-08 -2.155504e-05 -9.145800e-06) (-1.185390e-09 -3.888140e-05 -1.930997e-06)) ((3.098134e-09 -1.118935e-10 2.366773e-11) (-2.760845e-06 -3.751291e-10 -5.000273e-11))
0.864421      	((4.058024e-08 -1.900440e-05 -9.126721e-06) (-1.758868e-10 -3.490898e-05 -2.057967e-06)) ((2.911196e-09 -9.710751e-11 2.146133e-11) (-2.500161e-06 -4.182369e-10 -7.616316e-11))
1.049306      	((2.308161e-08 -1.767920e-05 -9.348891e-06) (-4.262221e-10 -3.141035e-05 -2.171223e-06)) ((2.905047e-09 -1.178908e-10 1.904680e-11) (-2.272333e-06 -4.803446e-10 -1.002650e-10))
1.271167      	((3.313469e-08 -1.571583e-05 -9.515438e-06) (-1.161919e-09 -2.831266e-05 -2.279859e-06)) ((2.761950e-09 -1.100832e-10 1.433730e-11) (-2.071964e-06 -5.322149e-10 -1.434719e-10))
1.5374        	((2.510051e-08 -1.457507e-05 -9.793280e-06) (-1.422266e-09 -2.557358e-05 -2.380845e-06)) ((2.737276e-09 -1.242475e-10 1.172805e-11) (-1.895975e-06 -6.029674e-10 -1.643266e-10))
1.85688       	((3.158144e-08 -1.314595e-05 -1.015993e-05) (-5.837015e-10 -2.316688e-05 -2.484488e-06)) ((2.643122e-09 -1.207668e-10 1.207925e-11) (-1.742297e-06 -6.442451e-10 -1.490911e-10))
2.240256      	((2.661447e-08 -1.231513e-05 -1.068815e-05) (9.385856e-10 -2.107309e-05 -2.584491e-06)) ((2.634192e-09 -1.313396e-10 1.368503e-11) (-1.609624e-06 -6.313428e-10 -1.504719e-10))
2.700307      	((3.216794e-08 -1.137015e-05 -1.122772e-05) (9.395890e-10 -1.926720e-05 -2.695260e-06)) ((2.593524e-09 -1.343304e-10 1.443381e-11) (-1.495690e-06 -5.961873e-10 -1.507221e-10))
3.252369      	((2.637293e-08 -1.087655e-05 -1.183927e-05) (1.277239e-09 -1.771152e-05 -2.821546e-06)) ((2.606104e-09 -1.446885e-10 1.485496e-11) (-1.397855e-06 -6.005746e-10 -1.502447e-10))
3.914842      	((2.529482e-08 -1.038208e-05 -1.249021e-05) (1.027913e-09 -1.636015e-05 -2.963965e-06)) ((2.606231e-09 -1.498060e-10 1.545047e-11) (-1.313260e-06 -6.650319e-10 -1.521301e-10))
4.709811      	((2.381918e-08 -1.013788e-05 -1.322415e-05) (7.172769e-10 -1.517343e-05 -3.124361e-06)) ((2.635619e-09 -1.586447e-10 1.606830e-11) (-1.239438e-06 -7.298562e-10 -1.341819e-10))
5.663773      	((2.703997e-08 -9.873479e-06 -1.399031e-05) (9.690789e-10 -1.412159e-05 -3.305956e-06)) ((2.657828e-09 -1.640425e-10 1.627017e-11) (-1.174625e-06 -7.713113e-10 -1.012361e-10))
6.808528      	((2.743746e-08 -9.782259e-06 -1.478215e-05) (1.478375e-09 -1.318817e-05 -3.506026e-06)) ((2.692732e-09 -1.709761e-10 1.729595e-11) (-1.117654e-06 -7.572645e-10 -7.287372e-11))
8.182233      	((3.181950e-08 -9.722247e-06 -1.557839e-05) (2.523907e-09 -1.236304e-05 -3.719486e-06)) ((2.718166e-09 -1.767874e-10 1.747525e-11) (-1.067678e-06 -7.307321e-10 -6.082133e-11))
9.83068       	((3.031025e-08 -9.846751e-06 -1.644412e-05) (2.413968e-09 -1.163993e-05 -3.948154e-06)) ((2.750600e-09 -1.836172e-10 1.690953e-11) (-1.024079e-06 -7.078826e-10 -6.157421e-11))
11.808816     	((3.315909e-08 -1.002474e-05 -1.731092e-05) (2.061286e-09 -1.101473e-05 -4.190916e-06)) ((2.780226e-09 -1.894584e-10 1.681590e-11) (-9.862409e-07 -6.920438e-10 -7.233624e-11))
14.156119     	((3.090942e-08 -1.032621e-05 -1.823669e-05) (1.430011e-09 -1.048988e-05 -4.445774e-06)) ((2.816731e-09 -1.953832e-10 1.725963e-11) (-9.540560e-07 -6.936801e-10 -6.999471e-11))
16.871338     	((3.103182e-08 -1.067271e-05 -1.912243e-05) (9.362952e-10 -1.007454e-05 -4.705907e-06)) ((2.853752e-09 -2.002410e-10 1.737110e-11) (-9.274194e-07 -6.975189e-10 -5.494144e-11))
19.953515     	((3.163505e-08 -1.111343e-05 -1.991929e-05) (1.056624e-09 -9.768524e-06 -4.958915e-06)) ((2.892342e-09 -2.044102e-10 1.759697e-11) (-9.059699e-07 -6.978791e-10 -3.416470e-11))
23.402045     	((3.394930e-08 -1.160172e-05 -2.061815e-05) (8.982192e-10 -9.562487e-06 -5.186363e-06)) ((2.927941e-09 -2.078117e-10 1.795779e-11) (-8.892709e-07 -6.956167e-10 -1.282614e-11))
27.063119     	((3.632908e-08 -1.208596e-05 -2.120314e-05) (8.254947e-10 -9.446487e-06 -5.375147e-06)) ((2.961636e-09 -2.107608e-10 1.842077e-11) (-8.770068e-07 -6.946337e-10 -3.133554e-12))
30.723866     	((3.899952e-08 -1.250598e-05 -2.163614e-05) (6.815607e-10 -9.395682e-06 -5.514285e-06)) ((2.991580e-09 -2.128754e-10 1.912916e-11) (-8.685261e-07 -7.060919e-10 -6.693787e-12))
34.38571      	((4.285683e-08 -1.286787e-05 -2.193987e-05) (5.341774e-10 -9.383270e-06 -5.602414e-06)) ((3.018441e-09 -2.144407e-10 1.988862e-11) (-8.629889e-07 -7.293856e-10 -1.455279e-11))
38.050238     	((4.480857e-08 -1.315807e-05 -2.217824e-05) (3.907027e-10 -9.389891e-06 -5.647380e-06)) ((3.041926e-09 -2.155349e-10 2.063162e-11) (-8.596568e-07 -7.562508e-10 -1.989086e-11))
41.717122     	((4.557596e-08 -1.336764e-05 -2.234666e-05) (5.256488e-11 -9.402001e-06 -5.661690e-06)) ((3.061036e-09 -2.158983e-10 2.121366e-11) (-8.577949e-07 -7.751433e-10 -2.245293e-11))
45.383263     	((4.829199e-08 -1.349567e-05 -2.246519e-05) (-1.901852e-10 -9.411295e-06 -5.659064e-06)) ((3.074231e-09 -2.156002e-10 2.157208e-11) (-8.567893e-07 -7.868805e-10 -2.679082e-11))
49.016909     	((4.796513e-08 -1.355849e-05 -2.254192e-05) (-2.084390e-10 -9.414651e-06 -5.649928e-06)) ((3.082698e-09 -2.152039e-10 2.171381e-11) (-8.561874e-07 -7.829133e-10 -2.951134e-11))
52.621848     	((4.549808e-08 -1.359208e-05 -2.259009e-05) (-2.289743e-10 -9.413334e-06 -5.639910e-06)) ((3.087442e-09 -2.149464e-10 2.186244e-11) (-8.558250e-07 -7.606383e-10 -3.159768e-11))
56.203294     	((4.624482e-08 -1.360523e-05 -2.262550e-05) (-2.140931e-10 -9.409737e-06 -5.630961e-06)) ((3.089003e-09 -2.150013e-10 2.200485e-11) (-8.556482e-07 -7.329743e-10 -3.762803e-11))
59.767536     	((4.702681e-08 -1.361307e-05 -2.266122e-05) (-1.423554e-10 -9.405778e-06 -5.623730e-06)) ((3.090084e-09 -2.151279e-10 2.217406e-11) (-8.555985e-07 -7.056918e-10 -4.872352e-11))
63.32079      	((4.794374e-08 -1.361247e-05 -2.269725e-05) (-1.523221e-10 -9.402563e-06 -5.617438e-06)) ((3.090904e-09 -2.152453e-10 2.235300e-11) (-8.556470e-07 -6.845575e-10 -6.195720e-11))
66.867817     	((4.840736e-08 -1.360724e-05 -2.273607e-05) (-1.367153e-10 -9.400400e-06 -5.613015e-06)) ((3.090896e-09 -2.154077e-10 2.256567e-11) (-8.556880e-07 -6.712395e-10 -7.601685e-11))
70.411761     	((4.937274e-08 -1.360115e-05 -2.277599e-05) (-8.001996e-11 -9.399439e-06 -5.610245e-06)) ((3.091244e-09 -2.155716e-10 2.269177e-11) (-8.556972e-07 -6.649441e-10 -9.016714e-11))
73.954205     	((5.079930e-08 -1.358943e-05 -2.282223e-05) (-1.382283e-11 -9.399397e-06 -5.608052e-06)) ((3.090869e-09 -2.157806e-10 2.267215e-11) (-8.556869e-07 -6.691550e-10 -1.039244e-10))
