# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-4.013827e-15 -7.912411e-06 7.155940e-16)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-1.777836e-07 -2.182532e-17 3.789295e-12))
0.012         	((2.414867e-09 -2.300970e-03 5.193496e-04) (1.313405e-11 -9.080348e-06 -2.262899e-09)) ((2.713779e-08 1.769656e-09 4.338514e-10) (-2.620226e-07 -1.044722e-14 7.852433e-12))
0.0264        	((-3.696611e-08 1.583865e-04 -3.241355e-05) (-8.760049e-12 -9.265753e-06 -3.416079e-09)) ((-1.899904e-09 -1.113987e-10 -2.858033e-11) (-2.933890e-07 1.621456e-12 1.034320e-11))
0.04368       	((1.774090e-08 4.818547e-04 -3.740700e-05) (-6.000223e-12 -8.235392e-06 -2.317016e-09)) ((-6.271424e-09 -1.301020e-10 -1.170194e-10) (-2.613790e-07 2.656382e-12 8.800375e-12))
0.064416      	((9.889840e-09 4.528447e-06 -1.874130e-05) (-1.432016e-10 -7.294957e-06 -1.011183e-09)) ((3.074324e-11 -6.281677e-11 5.603567e-12) (-2.346247e-07 1.498208e-12 1.035746e-11))
0.0892992     	((-6.015561e-09 -6.529518e-06 -1.151636e-05) (-2.517469e-10 -6.735297e-06 -7.116060e-10)) ((2.582493e-10 -3.751009e-11 6.702636e-12) (-2.217849e-07 3.489468e-13 1.123076e-11))
0.119159      	((-2.908758e-09 7.185941e-06 -6.955115e-06) (-2.286604e-10 -6.219515e-06 -1.169879e-09)) ((-1.357196e-10 -2.338878e-11 -1.321750e-12) (-2.075149e-07 6.887460e-13 9.861400e-12))
0.154991      	((3.757737e-09 3.884206e-06 -4.368916e-06) (-1.905135e-10 -5.672342e-06 -1.780655e-09)) ((-8.283032e-11 -1.400653e-11 -1.265748e-13) (-1.916238e-07 6.654211e-13 8.888664e-12))
0.197989      	((1.281644e-09 9.427421e-07 -2.690059e-06) (-1.167058e-10 -5.119786e-06 -2.095222e-09)) ((-2.921066e-11 -8.357808e-12 -1.362428e-13) (-1.754453e-07 1.948701e-13 6.068633e-12))
0.249587      	((-7.572729e-11 -1.248203e-07 -1.679983e-06) (-5.764617e-11 -4.577397e-06 -2.340293e-09)) ((-7.781400e-12 -5.235920e-12 4.287679e-13) (-1.592597e-07 -3.615956e-13 3.899347e-12))
