# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((-8.946404e-05 3.789466e-09 -3.046763e-05) (-2.096120e-04 1.307200e-13 -4.054824e-08)) ((-1.413652e-12 1.402796e-08 -1.118468e-12) (-2.188341e-13 1.394931e-05 -1.190358e-13))
0.0264        	((-1.233581e-04 7.033258e-08 -4.001183e-05) (-1.920599e-04 -2.750319e-11 -8.082215e-08)) ((-7.862359e-13 -6.342190e-09 -3.172179e-13) (-1.847131e-12 1.279571e-05 2.010208e-12))
0.04368       	((-8.213936e-05 -4.113526e-08 -2.770254e-05) (-1.741314e-04 -9.214400e-11 -1.651739e-07)) ((-1.653387e-12 -4.096365e-09 -1.037864e-12) (-4.114146e-12 1.162259e-05 4.450934e-12))
0.064416      	((-9.409113e-05 5.136687e-08 -3.122174e-05) (-1.563712e-04 -1.108114e-10 -2.988464e-07)) ((-9.974499e-13 -8.614658e-09 2.199468e-13) (-6.114393e-12 1.046651e-05 5.425704e-12))
0.0892992     	((-6.908009e-05 -2.604840e-08 -2.412705e-05) (-1.394192e-04 -1.284988e-10 -4.782578e-07)) ((-9.340759e-13 -5.798652e-09 -5.413372e-13) (-1.089569e-11 9.370095e-06 5.011776e-12))
0.119159      	((-7.140452e-05 2.708894e-08 -2.462838e-05) (-1.238875e-04 -1.158927e-10 -6.867398e-07)) ((-8.912826e-13 -7.286351e-09 2.113215e-13) (-1.378944e-11 8.372752e-06 4.942121e-12))
0.154991      	((-5.522413e-05 -1.213696e-08 -2.039187e-05) (-1.101917e-04 -1.004594e-10 -9.262343e-07)) ((-6.726538e-13 -5.161009e-09 -1.484692e-13) (-1.407371e-11 7.494372e-06 4.638682e-12))
0.197989      	((-5.484841e-05 1.085383e-08 -2.012096e-05) (-9.834110e-05 -8.304334e-11 -1.209100e-06)) ((-8.041320e-13 -6.182319e-09 -3.238334e-13) (-1.118822e-11 6.732868e-06 4.361685e-12))
0.249587      	((-4.502251e-05 -6.004256e-09 -1.777186e-05) (-8.802265e-05 5.086451e-11 -1.551823e-06)) ((-5.920390e-13 -4.911151e-09 -2.922699e-13) (-9.031884e-12 6.061118e-06 2.782521e-12))
0.311504      	((-4.326856e-05 5.849575e-09 -1.732118e-05) (-7.870695e-05 1.067241e-10 -1.896347e-06)) ((-3.591346e-13 -5.392881e-09 -4.689660e-13) (-7.446846e-12 5.448598e-06 -1.477060e-12))
0.385805      	((-3.671352e-05 -1.043682e-11 -1.593192e-05) (-7.023143e-05 9.719898e-11 -2.248995e-06)) ((-5.342226e-14 -4.725468e-09 -2.600871e-13) (-6.742239e-12 4.888768e-06 -4.997682e-12))
0.474966      	((-3.437555e-05 4.895463e-09 -1.546907e-05) (-6.262682e-05 1.236989e-10 -2.554836e-06)) ((1.082612e-13 -4.841695e-09 -2.651793e-13) (-4.321861e-12 4.386309e-06 -5.254478e-12))
0.581959      	((-2.988893e-05 1.625605e-09 -1.461456e-05) (-5.590154e-05 1.688591e-10 -2.818798e-06)) ((6.673105e-13 -4.429291e-09 -3.985738e-13) (1.482593e-13 3.942973e-06 -3.766835e-12))
0.710351      	((-2.781498e-05 4.656993e-09 -1.428443e-05) (-5.001198e-05 1.709213e-10 -3.044723e-06)) ((5.726711e-13 -4.456072e-09 -2.187127e-13) (1.003682e-11 3.556260e-06 -3.105630e-12))
0.864421      	((-2.466149e-05 1.493456e-09 -1.388910e-05) (-4.485434e-05 1.637476e-10 -3.244734e-06)) ((1.190534e-12 -4.225093e-09 -9.500101e-14) (1.512680e-11 3.219662e-06 -4.273982e-12))
1.049306      	((-2.289087e-05 1.640549e-09 -1.380378e-05) (-4.031854e-05 2.076103e-10 -3.416343e-06)) ((7.082601e-13 -4.221994e-09 4.659655e-13) (1.395334e-11 2.925866e-06 -6.878950e-12))
1.271167      	((-2.045055e-05 2.705409e-09 -1.377659e-05) (-3.631391e-05 4.913078e-11 -3.581857e-06)) ((6.414779e-13 -4.031661e-09 1.009364e-12) (1.002538e-11 2.668605e-06 -4.356323e-12))
1.5374        	((-1.904221e-05 3.281637e-09 -1.388754e-05) (-3.279030e-05 3.064512e-10 -3.751767e-06)) ((1.330266e-12 -3.985996e-09 1.085397e-12) (8.465801e-12 2.444020e-06 -4.653104e-12))
1.85688       	((-1.735083e-05 6.493843e-09 -1.417046e-05) (-2.971575e-05 9.924552e-10 -3.932821e-06)) ((1.984986e-12 -3.864852e-09 9.569240e-13) (1.092571e-11 2.249314e-06 -7.173280e-12))
2.240256      	((-1.633834e-05 4.898698e-09 -1.456547e-05) (-2.705668e-05 1.383709e-09 -4.121351e-06)) ((1.991812e-12 -3.868092e-09 5.181149e-13) (1.165141e-11 2.082358e-06 -4.053407e-12))
2.700307      	((-1.533080e-05 2.191863e-09 -1.503318e-05) (-2.477628e-05 9.643786e-10 -4.328890e-06)) ((1.798619e-12 -3.849508e-09 1.234362e-13) (1.783352e-11 1.940009e-06 7.926723e-13))
3.252369      	((-1.491923e-05 -2.952886e-10 -1.564534e-05) (-2.282161e-05 9.071073e-10 -4.560665e-06)) ((1.471900e-12 -3.907329e-09 -3.202771e-14) (5.068366e-11 1.818356e-06 3.672734e-12))
3.914842      	((-1.448319e-05 -3.207859e-09 -1.638958e-05) (-2.112523e-05 1.542417e-09 -4.820784e-06)) ((4.872321e-13 -3.953038e-09 7.937724e-13) (9.816877e-11 1.713431e-06 -7.109240e-12))
4.709811      	((-1.436168e-05 -1.858209e-09 -1.726346e-05) (-1.964646e-05 1.851776e-09 -5.102767e-06)) ((-4.955187e-14 -4.029577e-09 7.895659e-13) (1.268023e-10 1.622325e-06 -1.878185e-11))
5.663773      	((-1.423118e-05 -2.567899e-09 -1.817652e-05) (-1.834587e-05 1.836324e-09 -5.415199e-06)) ((-3.616596e-13 -4.091186e-09 9.280938e-13) (1.211590e-10 1.542905e-06 -1.351676e-11))
6.808528      	((-1.435030e-05 1.774837e-09 -1.914426e-05) (-1.720536e-05 1.599717e-09 -5.756353e-06)) ((-5.241567e-13 -4.164836e-09 8.720180e-13) (9.689643e-11 1.473845e-06 -4.421181e-12))
8.182233      	((-1.456469e-05 2.085860e-09 -2.017067e-05) (-1.622305e-05 1.015836e-09 -6.109299e-06)) ((-7.411824e-13 -4.228129e-09 7.500025e-13) (5.829251e-11 1.414024e-06 6.532572e-12))
9.83068       	((-1.499267e-05 4.756617e-09 -2.130976e-05) (-1.538652e-05 6.558679e-10 -6.479739e-06)) ((-1.012287e-12 -4.297709e-09 6.068505e-13) (2.226026e-11 1.362471e-06 2.216508e-11))
11.777622     	((-1.549646e-05 2.719544e-09 -2.250455e-05) (-1.469231e-05 1.919186e-10 -6.860850e-06)) ((-1.049176e-12 -4.364425e-09 6.241048e-13) (-3.569488e-12 1.318895e-06 4.046214e-11))
14.02183      	((-1.614073e-05 1.302422e-09 -2.375224e-05) (-1.415081e-05 2.444157e-10 -7.237772e-06)) ((-8.589651e-13 -4.437866e-09 5.293068e-13) (-2.434592e-11 1.283026e-06 5.288130e-11))
16.562428     	((-1.684234e-05 -8.206452e-10 -2.490092e-05) (-1.375911e-05 3.835662e-10 -7.601146e-06)) ((-7.495355e-13 -4.507322e-09 3.522602e-13) (-3.548692e-11 1.254207e-06 6.305416e-11))
19.398773     	((-1.764680e-05 -1.157653e-09 -2.592728e-05) (-1.350340e-05 2.666666e-10 -7.925114e-06)) ((-6.191646e-13 -4.577228e-09 1.767516e-13) (-4.817093e-11 1.231862e-06 7.646074e-11))
22.352736     	((-1.839494e-05 -9.857486e-10 -2.678131e-05) (-1.336501e-05 2.152262e-11 -8.182538e-06)) ((-5.871307e-13 -4.640164e-09 1.612327e-13) (-5.347521e-11 1.215616e-06 9.756000e-11))
