# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-3.137551e-08 8.506551e-11 -3.171370e-03)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-3.606583e-11 -6.291782e-10 1.814979e-14))
0.012         	((-1.301272e-04 -4.439627e-05 -2.432690e+00) (-1.174123e-07 -4.872741e-08 -3.101896e-03)) ((1.035814e-08 -6.352791e-06 -4.733701e-10) (-4.820160e-09 1.106363e-08 -2.267278e-13))
0.0264        	((-2.545070e-05 3.229340e-05 2.431768e-01) (-1.639156e-07 -4.586044e-08 -2.798743e-03)) ((-5.050836e-09 4.203651e-07 -2.167544e-09) (-1.071026e-09 1.934953e-08 -3.208006e-11))
0.04368       	((1.865884e-04 1.156461e-04 2.649919e-01) (3.832816e-08 -4.970700e-08 -2.434481e-03)) ((-8.914408e-09 5.764525e-07 9.545382e-09) (2.013252e-08 6.496253e-09 9.378415e-10))
0.064416      	((3.485372e-05 4.225160e-05 6.677952e-02) (3.639458e-07 4.722390e-08 -2.180936e-03)) ((-3.671146e-09 1.739262e-07 2.691119e-10) (3.686471e-08 -1.531244e-08 2.518810e-09))
0.0892992     	((5.173080e-06 8.815280e-06 3.750394e-02) (3.780365e-07 1.289414e-07 -2.021887e-03)) ((-1.795363e-09 7.132111e-08 3.137401e-09) (4.092888e-08 -2.434718e-08 3.747514e-09))
0.119159      	((1.903604e-05 2.180982e-06 2.209041e-02) (4.264136e-07 1.426298e-07 -1.884764e-03)) ((-7.073938e-10 1.798469e-08 3.599018e-09) (4.147752e-08 -2.426275e-08 4.282400e-09))
0.154991      	((1.108476e-05 5.198920e-06 1.171581e-02) (5.996115e-07 1.082326e-07 -1.756918e-03)) ((-1.114672e-09 -1.215231e-08 1.401046e-09) (4.128909e-08 -2.426014e-08 4.795076e-09))
0.197989      	((1.103221e-05 9.038917e-06 5.541703e-03) (6.552473e-07 6.884803e-08 -1.637715e-03)) ((-1.460116e-09 -2.926427e-08 2.763763e-10) (4.158689e-08 -2.751095e-08 4.912873e-09))
0.249587      	((1.126316e-05 5.306854e-06 1.690556e-03) (6.433768e-07 2.126994e-07 -1.526775e-03)) ((-1.826191e-09 -4.022057e-08 -1.271398e-10) (4.290713e-08 -3.529798e-08 3.900930e-09))
0.311504      	((6.153428e-06 3.119408e-06 -7.841513e-04) (6.890378e-07 3.838184e-07 -1.423714e-03)) ((-1.707386e-09 -4.673520e-08 -3.913441e-10) (4.588696e-08 -4.821806e-08 2.831317e-09))
0.385805      	((-2.628042e-07 -5.972235e-07 -2.376235e-03) (7.125189e-07 3.988656e-07 -1.328217e-03)) ((-1.327322e-09 -5.051082e-08 -5.680908e-10) (4.670989e-08 -5.910676e-08 2.493968e-09))
