# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((5.255142e-11 -1.202064e-08 1.555974e-10) (1.554877e-12 -1.347722e-10 6.361215e-13)) ((8.654504e-13 3.884281e-15 1.655594e-10) (-2.572990e-12 -6.946872e-14 3.364414e-07))
0.0264        	((-4.221148e-11 4.356433e-09 -3.804422e-10) (1.831343e-12 -1.438094e-10 7.470126e-13)) ((2.035448e-12 -1.280214e-14 4.977995e-11) (-4.573698e-12 -6.512085e-14 2.944680e-07))
0.04368       	((2.258692e-10 -2.202588e-09 1.385209e-10) (2.177522e-12 -9.403867e-11 1.498537e-12)) ((-9.320615e-13 5.731404e-15 2.618010e-11) (-3.847751e-12 -8.544974e-14 2.546719e-07))
0.064416      	((1.722110e-10 -1.888381e-10 -2.235323e-10) (1.787258e-12 -5.003597e-11 1.498111e-12)) ((2.657716e-13 6.765050e-15 1.765382e-11) (-1.936589e-12 -9.172341e-14 2.181476e-07))
0.0892992     	((2.368124e-10 -1.069754e-09 -1.410461e-10) (1.224626e-12 -3.152773e-11 1.042996e-12)) ((-2.829790e-13 2.680983e-14 1.425677e-11) (-9.211078e-13 -7.843430e-14 1.858645e-07))
0.119159      	((1.247307e-10 -9.885019e-11 -2.365944e-10) (1.914521e-12 -2.724149e-11 3.277181e-12)) ((-1.716155e-13 2.585703e-14 1.135292e-11) (3.522445e-13 -1.201012e-13 1.582619e-07))
0.154991      	((1.943332e-10 -9.048968e-10 -3.261201e-10) (1.751464e-12 -2.037241e-11 9.658399e-12)) ((-1.672522e-13 2.934159e-14 9.080904e-12) (1.299426e-12 -1.322076e-13 1.355160e-07))
0.197989      	((1.364607e-10 -7.013569e-10 -3.765589e-10) (-1.330795e-12 -1.220913e-11 2.403559e-11)) ((-1.340198e-13 2.324067e-14 7.125538e-12) (1.821637e-12 -3.981281e-14 1.172305e-07))
0.249587      	((2.532348e-10 -8.276334e-10 -4.491666e-10) (-4.814205e-12 -4.846451e-12 4.522260e-11)) ((-1.364750e-13 2.727868e-14 5.905706e-12) (1.635881e-12 1.449563e-13 1.026636e-07))
0.311504      	((3.448098e-10 -1.013529e-09 -4.482917e-10) (-6.345650e-12 2.361477e-12 7.080144e-11)) ((-9.839407e-14 1.249297e-14 5.237778e-12) (1.309493e-12 2.341125e-13 9.093772e-08))
0.385805      	((4.465308e-10 -1.308206e-09 -5.399637e-10) (-5.414374e-12 -2.854503e-13 9.991901e-11)) ((-7.182827e-14 1.961114e-14 4.575813e-12) (9.672622e-13 2.102443e-13 8.126238e-08))
0.474966      	((5.178782e-10 -1.615466e-09 -5.302773e-10) (-7.870162e-12 -2.564856e-12 1.313591e-10)) ((1.343802e-14 -5.808116e-15 4.005287e-12) (2.579615e-13 3.343114e-13 7.304814e-08))
0.581959      	((7.237954e-10 -2.021481e-09 -5.522462e-10) (-1.363663e-11 -1.012082e-11 1.683428e-10)) ((5.449909e-14 1.215436e-14 3.713594e-12) (-1.182813e-12 4.862042e-13 6.590589e-08))
0.710351      	((9.297718e-10 -1.992379e-09 -6.096240e-10) (-2.090693e-11 -2.997075e-11 2.145995e-10)) ((9.088915e-14 1.251589e-14 3.530069e-12) (-2.294062e-12 7.652828e-13 5.959186e-08))
0.864421      	((1.002933e-09 -1.602229e-09 -7.313122e-10) (-3.388480e-11 -1.813447e-11 2.585498e-10)) ((1.448296e-13 1.556348e-14 3.355290e-12) (-1.964618e-12 1.200142e-12 5.395158e-08))
1.049306      	((1.105458e-09 -1.444562e-09 -8.976145e-10) (-5.623198e-11 2.962137e-11 3.127653e-10)) ((1.864216e-13 9.247145e-15 3.172484e-12) (-6.113616e-13 1.639547e-12 4.888990e-08))
1.271167      	((9.847587e-10 -1.251148e-09 -1.032153e-09) (-9.913729e-11 8.591491e-11 3.816867e-10)) ((2.326399e-13 2.565090e-14 3.035773e-12) (8.733612e-13 2.611540e-12 4.435887e-08))
1.5374        	((6.985466e-10 -1.298435e-09 -1.186996e-09) (-1.690883e-10 1.500695e-10 4.506038e-10)) ((2.156515e-13 2.085003e-14 2.928422e-12) (2.377249e-12 4.275924e-12 4.033574e-08))
1.85688       	((4.940334e-10 -1.067627e-09 -1.366215e-09) (-2.539165e-10 2.014420e-10 5.185073e-10)) ((1.988698e-13 3.379585e-14 2.795932e-12) (4.180644e-12 6.277483e-12 3.679820e-08))
2.240256      	((2.703265e-10 -8.656988e-10 -1.613651e-09) (-3.431183e-10 2.532283e-10 5.932246e-10)) ((2.270097e-13 4.235839e-14 2.636974e-12) (6.304324e-12 8.560772e-12 3.370973e-08))
2.700307      	((1.455616e-10 -6.775876e-10 -1.886891e-09) (-4.344472e-10 3.308836e-10 6.830016e-10)) ((2.187192e-13 2.422139e-14 2.492526e-12) (8.905477e-12 1.119825e-11 3.101740e-08))
3.252369      	((-5.225774e-11 -3.703686e-10 -2.056587e-09) (-5.170125e-10 4.243441e-10 7.843412e-10)) ((1.806623e-13 2.042620e-15 2.321205e-12) (1.156731e-11 1.393312e-11 2.865800e-08))
