# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (5.040040e-04 -7.130610e-14 3.522636e-14)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-9.967588e-16 -7.603121e-15 1.067284e-14))
0.012         	((1.466004e-01 -5.758976e-08 -2.743881e-08) (5.776609e-04 -4.601107e-10 -2.705337e-10)) ((-1.774892e-14 -5.395065e-11 -1.976596e-11) (5.434671e-14 3.917641e-12 7.692298e-12))
0.0264        	((-1.173428e-02 -1.244856e-06 -3.482880e-06) (5.876947e-04 -1.658333e-09 -2.852330e-09)) ((3.119078e-11 7.147614e-11 1.546412e-11) (2.563612e-13 1.400759e-11 1.465936e-11))
0.04368       	((-2.982337e-02 4.176135e-07 2.661360e-06) (5.206762e-04 -1.728273e-09 -2.027571e-09)) ((-2.272586e-11 8.630675e-11 1.062380e-10) (1.192092e-12 3.376965e-11 7.489953e-12))
0.064416      	((-2.770635e-04 1.967845e-07 -5.386938e-07) (4.604882e-04 7.899391e-09 6.761944e-09)) ((2.183554e-12 -5.379957e-11 -3.960605e-11) (5.467808e-12 5.154996e-12 4.468486e-11))
0.0892992     	((2.447428e-04 -9.850593e-08 3.220979e-07) (4.247011e-04 1.143915e-08 9.221500e-09)) ((1.130176e-11 -4.664266e-12 -2.363383e-11) (2.159372e-12 1.757363e-11 2.688407e-11))
0.119159      	((-5.021899e-04 5.682187e-07 3.257153e-07) (3.920778e-04 8.022432e-09 6.389700e-09)) ((-5.441725e-12 -1.319438e-11 -9.249578e-12) (3.884162e-12 1.098943e-10 -3.613404e-11))
0.154991      	((-2.368913e-04 -7.386526e-08 1.412990e-07) (3.580283e-04 5.640143e-09 4.174105e-09)) ((9.991127e-13 -2.080082e-12 -6.276442e-12) (9.470964e-12 8.298380e-11 9.331196e-12))
0.197989      	((-5.124857e-05 -1.271539e-09 -3.962137e-08) (3.244576e-04 1.726177e-09 1.677209e-09)) ((-1.075021e-12 -3.864367e-12 1.004633e-12) (9.150898e-12 1.664528e-11 8.286701e-11))
0.249587      	((1.393059e-05 -1.049348e-08 -3.196970e-09) (2.924437e-04 -7.042859e-10 3.369825e-10)) ((-8.571520e-13 -1.041581e-11 2.959336e-13) (9.144221e-12 1.642157e-11 9.853407e-11))
0.311504      	((4.594534e-05 -1.684371e-08 -2.405522e-08) (2.628434e-04 -1.906345e-09 -3.238616e-10)) ((-9.927846e-13 -3.648043e-12 -2.460746e-13) (9.712410e-12 2.845037e-11 8.864134e-11))
0.385805      	((6.351706e-05 -2.550934e-08 -2.927858e-08) (2.362774e-04 -2.360806e-09 -4.548322e-10)) ((-8.782266e-14 -2.050976e-12 3.157970e-14) (9.544900e-12 4.471570e-11 8.147653e-11))
0.474966      	((7.218175e-05 -2.217186e-08 -2.494175e-08) (2.129899e-04 -2.146226e-09 -4.788678e-10)) ((-1.843929e-13 -1.331080e-12 -6.635966e-13) (8.477393e-12 4.480704e-11 7.159904e-11))
