# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((-2.981628e-10 4.406404e-10 -9.285364e-10) (3.078110e-12 3.799643e-13 5.826624e-12)) ((4.011439e-09 -4.334506e-13 -5.780509e-15) (2.787920e-06 2.879391e-13 -1.038586e-13))
0.0264        	((2.592179e-10 7.280150e-10 -1.549576e-09) (7.699605e-12 -6.895928e-12 4.959429e-12)) ((1.991676e-09 -3.386710e-13 8.219535e-14) (2.553649e-06 4.971679e-13 -8.853247e-14))
0.04368       	((-1.585999e-09 -1.155469e-09 -1.910288e-09) (3.043964e-11 -1.936659e-11 2.173313e-12)) ((1.115708e-09 -2.692557e-13 9.264040e-14) (2.313151e-06 2.905489e-13 2.497859e-13))
0.064416      	((6.700417e-10 -2.127932e-10 -4.484906e-10) (6.593765e-11 -2.696113e-11 -3.620435e-12)) ((6.416240e-10 -1.896262e-13 -3.245498e-14) (2.071891e-06 -2.624710e-13 5.946410e-13))
0.0892992     	((-1.237535e-10 -4.051029e-10 -3.887235e-11) (1.010451e-10 -2.972332e-11 -1.002321e-11)) ((4.932863e-10 -1.774804e-13 1.945568e-14) (1.837121e-06 -8.157082e-13 8.017983e-13))
0.119159      	((4.486421e-10 -3.278195e-10 -1.053222e-09) (1.305277e-10 -2.926314e-11 -1.536566e-11)) ((3.635785e-10 -1.201100e-13 -2.157442e-14) (1.616235e-06 -1.159521e-12 8.984934e-13))
0.154991      	((1.435622e-09 5.013738e-10 3.838773e-10) (1.235818e-10 -2.635261e-11 -1.866413e-11)) ((2.953877e-10 -1.061863e-13 -1.675988e-14) (1.414432e-06 -1.390402e-12 8.537591e-13))
0.197989      	((6.934767e-10 1.883584e-10 -3.289639e-10) (9.098613e-11 -2.515735e-11 -2.015609e-11)) ((2.392630e-10 -4.693890e-14 -2.222536e-14) (1.235777e-06 -1.661426e-12 8.331788e-13))
0.249587      	((1.205282e-09 -2.838534e-11 -4.973595e-10) (5.523029e-11 -2.803990e-11 -2.189860e-11)) ((2.004482e-10 -4.470326e-14 -2.213860e-14) (1.082112e-06 -1.751567e-12 8.154527e-13))
0.311504      	((-1.114973e-10 1.393596e-10 -5.629194e-10) (2.441222e-11 -2.609680e-11 -2.498107e-11)) ((1.702781e-10 -4.290365e-14 -8.705870e-15) (9.528403e-07 -1.615567e-12 6.987570e-13))
0.385805      	((-3.105444e-10 1.748305e-10 -5.944891e-10) (1.080652e-11 -1.740585e-11 -3.421467e-11)) ((1.495342e-10 -4.172113e-14 9.489214e-15) (8.451837e-07 -1.470209e-12 4.844545e-13))
0.474966      	((2.145687e-10 4.507668e-10 -5.668252e-10) (-2.786910e-11 -7.784316e-12 -4.609999e-11)) ((1.352295e-10 -3.840246e-14 1.891608e-14) (7.550784e-07 -1.429960e-12 3.197275e-13))
