# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (3.077094e-12 5.036594e-02 -6.885184e-12)) ((0.000000e+00 0.000000e+00 0.000000e+00) (9.994487e-13 -1.332292e-14 -1.585578e-08))
0.0112126     	((1.736196e-03 1.580510e+01 1.120179e-03) (2.798432e-06 1.076340e-01 -8.671298e-06)) ((2.029121e-08 1.757332e-08 -3.360615e-06) (1.829740e-07 5.979480e-10 -6.180761e-08))
0.0246677     	((-1.250715e-03 -7.293889e+00 -1.770291e-03) (2.551293e-05 9.921964e-02 -1.034428e-05)) ((1.317909e-07 -6.379069e-09 1.444391e-06) (5.431792e-07 -1.783235e-09 -1.326956e-07))
0.0408139     	((4.719851e-04 1.503559e+00 2.656944e-04) (1.616508e-05 8.097813e-02 -4.531398e-06)) ((-1.116744e-07 -1.805143e-09 -1.955492e-07) (3.510455e-07 -2.544270e-09 1.270082e-07))
0.0601893     	((-1.680676e-03 -5.877906e-01 -7.580233e-04) (-2.399304e-05 7.481883e-02 -4.964307e-06)) ((6.077163e-08 -7.593576e-09 -5.290006e-07) (2.147842e-07 -1.254208e-09 1.021003e-06))
0.0829011     	((-5.149239e-04 4.225153e-01 3.064521e-04) (-4.908495e-05 7.087828e-02 -4.481480e-06)) ((-3.696792e-08 -1.112224e-08 -3.904591e-07) (1.968120e-07 -2.137525e-09 1.656476e-06))
0.10893       	((-1.690252e-03 -2.558071e-02 -1.776823e-04) (-6.159122e-05 6.936589e-02 -2.360396e-06)) ((5.923649e-09 1.973267e-09 -5.009742e-07) (7.253267e-08 6.491801e-10 1.925709e-06))
0.138255      	((-3.347311e-04 1.910892e-01 1.230226e-04) (-5.471168e-05 6.808782e-02 5.216835e-07)) ((-1.943811e-08 4.385230e-09 -5.886611e-07) (1.159940e-08 2.576987e-09 2.226990e-06))
0.170855      	((-8.855634e-04 1.059213e-01 -1.122688e-04) (-5.328207e-05 6.731386e-02 5.757388e-07)) ((-1.327938e-09 -1.854583e-09 -7.252108e-07) (-7.524710e-08 3.849310e-09 2.645983e-06))
0.203636      	((-2.369531e-04 1.700688e-01 -1.233674e-04) (-4.973932e-05 6.689095e-02 -3.621076e-07)) ((-1.898081e-09 4.919061e-09 -7.966067e-07) (-1.107833e-07 4.947993e-09 2.884802e-06))
0.236351      	((-2.190795e-04 1.600354e-01 -1.795658e-04) (-4.495060e-05 6.666555e-02 8.611300e-07)) ((-1.217799e-09 1.835406e-10 -9.137584e-07) (-1.403507e-07 2.178656e-09 3.190031e-06))
0.268858      	((2.304375e-04 1.875003e-01 -3.411510e-04) (-4.619522e-05 6.649788e-02 -2.075362e-06)) ((2.884853e-09 -1.142791e-09 -9.546002e-07) (-1.352432e-07 2.504273e-09 3.424936e-06))
0.301139      	((3.170205e-04 1.938788e-01 -4.038212e-04) (-4.734889e-05 6.630735e-02 -1.865104e-06)) ((5.935831e-09 5.161315e-09 -1.047357e-06) (-1.093842e-07 1.362762e-09 3.633175e-06))
0.333285      	((9.628906e-04 2.065438e-01 -3.710692e-04) (-4.749671e-05 6.601055e-02 -1.425734e-06)) ((-2.524724e-09 3.359323e-09 -1.092781e-06) (-1.024200e-07 1.088626e-09 4.033495e-06))
0.3654        	((1.235333e-03 2.108706e-01 -5.780216e-04) (-5.194644e-05 6.562608e-02 -4.333115e-06)) ((1.247659e-08 3.880763e-10 -1.164557e-06) (-5.592734e-08 3.076459e-09 4.297752e-06))
0.397528      	((1.897473e-03 2.148046e-01 -5.490494e-04) (-5.078611e-05 6.520908e-02 -1.998839e-06)) ((1.148143e-09 5.282352e-09 -1.239022e-06) (-2.887842e-08 1.661939e-09 4.450691e-06))
0.429748      	((2.722875e-03 2.150413e-01 -6.742503e-04) (-4.418630e-05 6.481004e-02 -2.349055e-06)) ((1.261636e-08 -3.076546e-09 -1.316878e-06) (-3.591024e-08 4.768857e-09 4.681285e-06))
0.462065      	((3.662088e-03 2.159488e-01 -8.220155e-04) (-3.533089e-05 6.445787e-02 -3.949557e-06)) ((1.568887e-08 4.128339e-10 -1.369514e-06) (-2.471886e-08 7.528268e-09 4.956268e-06))
0.494387      	((4.528570e-03 2.145872e-01 -8.805115e-04) (-2.697344e-05 6.414283e-02 -2.668059e-06)) ((7.084329e-09 1.880503e-09 -1.415298e-06) (-1.063276e-09 7.826610e-09 5.151696e-06))
0.526712      	((5.468446e-03 2.132647e-01 -1.087671e-03) (-1.964438e-05 6.385003e-02 -4.251888e-06)) ((2.103756e-08 -6.337554e-09 -1.454476e-06) (6.196987e-08 7.298539e-09 5.310508e-06))
0.559053      	((6.462979e-03 2.113272e-01 -1.244190e-03) (-1.231382e-05 6.358270e-02 -4.839063e-06)) ((1.479923e-08 2.015174e-09 -1.493913e-06) (1.373972e-07 4.879090e-09 5.461793e-06))
