# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((-5.523898e-12 8.675319e-12 2.164506e-09) (3.120250e-15 6.577345e-14 4.546022e-11)) ((-1.939007e-15 8.420818e-11 6.443141e-16) (-6.845792e-17 5.562598e-08 -2.296504e-15))
0.0264        	((9.191208e-12 -7.809803e-12 -8.133101e-10) (1.278184e-14 1.626768e-13 7.904410e-11)) ((-8.922693e-16 4.215259e-11 4.530621e-15) (1.339241e-15 5.094908e-08 -2.673494e-15))
0.04368       	((3.067120e-11 5.080473e-11 7.537201e-10) (9.999850e-14 1.359308e-13 8.568649e-11)) ((4.840141e-16 2.324994e-11 2.779315e-15) (-2.543714e-15 4.614291e-08 -3.758145e-15))
0.064416      	((-8.545472e-12 -1.336953e-11 2.830445e-11) (2.485392e-13 -2.771063e-14 7.083319e-11)) ((-2.527061e-16 1.323605e-11 -1.565014e-16) (-8.429362e-15 4.131243e-08 -5.286557e-15))
0.0892992     	((2.721526e-11 1.521250e-11 9.437700e-11) (3.408887e-13 -2.023133e-13 5.883777e-11)) ((-3.778138e-16 9.829132e-12 3.501694e-17) (-1.158984e-14 3.659848e-08 -5.511984e-15))
0.119159      	((-1.021397e-11 -3.632419e-12 2.482491e-11) (4.006410e-13 -3.929108e-13 4.988846e-11)) ((-8.087852e-18 7.053200e-12 8.566125e-18) (-1.554913e-14 3.214613e-08 -7.084652e-15))
0.154991      	((-9.344480e-12 -1.049357e-11 -6.193719e-11) (4.559230e-13 -6.517914e-13 4.018856e-11)) ((-2.184932e-16 5.573672e-12 4.527691e-16) (-2.055654e-14 2.805794e-08 -9.990643e-15))
0.197989      	((-7.544778e-12 -6.531388e-12 6.545904e-12) (4.793555e-13 -8.659301e-13 3.140041e-11)) ((-2.708510e-16 4.431239e-12 4.347587e-16) (-2.327310e-14 2.443354e-08 -1.254149e-14))
0.249587      	((-9.854157e-14 -7.137514e-12 -5.985904e-11) (4.858874e-13 -9.793685e-13 2.483204e-11)) ((-3.578115e-16 3.653247e-12 -5.343244e-17) (-2.306690e-14 2.132676e-08 -1.077710e-14))
