# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-6.048123e-13 -2.600184e-13 7.981996e-03)) ((0.000000e+00 0.000000e+00 0.000000e+00) (1.549070e-14 2.684009e-09 2.150575e-16))
0.012         	((1.334183e-05 1.165965e-05 2.344400e+00) (-2.562909e-08 -3.450100e-08 9.839773e-03)) ((1.907140e-11 6.333565e-07 -1.263780e-11) (-1.613595e-10 1.032089e-08 2.010842e-12))
0.0264        	((-8.263533e-05 -8.320689e-05 -4.915146e-01) (-2.563471e-07 -1.052133e-07 9.798509e-03)) ((1.020253e-08 -1.061494e-07 1.094153e-12) (-4.206394e-09 2.460042e-08 2.962545e-11))
0.04368       	((7.774668e-05 5.957011e-05 -2.887406e-01) (-2.134374e-07 -8.686040e-08 8.353822e-03)) ((-8.040284e-09 -4.622555e-08 -3.057886e-11) (-3.719467e-09 2.417248e-08 3.109123e-11))
0.064416      	((-2.195155e-05 5.028029e-06 -2.062531e-04) (-1.570448e-07 5.898578e-09 7.371076e-03)) ((1.551542e-10 2.027736e-08 1.121630e-11) (-1.687407e-10 1.966038e-08 -5.755933e-11))
0.0892992     	((-3.875708e-06 -1.473167e-05 -2.038686e-03) (1.336906e-07 2.394831e-08 6.778091e-03)) ((6.184516e-10 1.997540e-08 4.894927e-11) (6.141224e-10 2.136242e-08 -1.188302e-10))
0.119159      	((-1.101435e-05 -6.210132e-06 -3.252299e-04) (1.092091e-06 6.067900e-09 6.285049e-03)) ((1.056631e-10 1.900994e-08 2.909833e-11) (6.369993e-10 2.335500e-08 -2.247596e-10))
0.154991      	((1.971716e-05 -3.041592e-06 2.026249e-03) (1.408376e-06 -1.111553e-08 5.866739e-03)) ((6.711583e-11 1.899138e-08 -2.483747e-11) (1.197727e-09 3.648366e-08 -4.671648e-10))
0.197989      	((-1.834231e-05 -5.180096e-06 2.886939e-03) (4.197783e-07 -4.655501e-08 5.524047e-03)) ((5.242416e-11 2.032418e-08 -6.336967e-11) (1.310195e-09 5.376277e-08 -4.177039e-10))
0.249587      	((-6.351889e-06 -2.831601e-06 3.408990e-03) (-1.508041e-07 -6.556116e-08 5.237439e-03)) ((6.720395e-11 1.983962e-08 -1.983529e-11) (1.448083e-09 6.141065e-08 -2.959636e-10))
0.311504      	((-8.262482e-06 -1.178491e-06 3.744800e-03) (1.657386e-07 -5.964740e-08 4.980162e-03)) ((1.318746e-10 1.785574e-08 -9.244619e-12) (1.848270e-09 6.135433e-08 -2.628558e-10))
0.385805      	((-1.326532e-06 -2.003959e-07 4.081343e-03) (4.935444e-07 -4.053288e-08 4.737630e-03)) ((1.262824e-10 1.766790e-08 -4.078506e-12) (2.602655e-09 5.993246e-08 -2.418245e-10))
0.474966      	((-3.139396e-06 -8.600572e-07 4.491718e-03) (8.014428e-07 -1.018696e-08 4.507439e-03)) ((1.300679e-10 1.705650e-08 -8.149702e-12) (3.834830e-09 5.626125e-08 -1.585775e-10))
0.581959      	((1.234161e-07 -1.283004e-06 5.048945e-03) (1.077450e-06 3.375835e-09 4.293271e-03)) ((9.966942e-11 1.639465e-08 -4.993377e-12) (5.158843e-09 5.124130e-08 -8.457495e-11))
