# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((-2.253068e-10 9.011064e-08 1.912168e-10) (4.193644e-12 2.293750e-09 -7.597511e-12)) ((-2.445873e-14 1.634736e-14 -2.053206e-09) (9.620451e-15 -1.863785e-13 -2.787359e-06))
0.0264        	((-9.467422e-10 1.333200e-08 1.747283e-11) (8.681676e-12 3.387449e-09 -1.381551e-11)) ((1.576794e-14 -1.823757e-13 -9.473790e-10) (-9.669523e-16 -5.074167e-13 -2.553345e-06))
0.04368       	((-1.046726e-10 4.242474e-08 7.069913e-10) (1.398286e-12 3.585750e-09 -2.018301e-11)) ((-2.934101e-14 -2.176932e-13 -5.237979e-10) (-2.204767e-14 -9.460755e-13 -2.312953e-06))
0.064416      	((-6.819337e-10 -5.394653e-09 -5.991164e-10) (-2.951578e-11 3.117525e-09 -3.313750e-11)) ((1.668296e-14 -1.269140e-13 -2.899837e-10) (-3.528107e-14 -1.474315e-12 -2.071722e-06))
0.0892992     	((2.005442e-09 1.869601e-08 4.629574e-10) (-6.588409e-11 2.623736e-09 -5.107683e-11)) ((-3.468097e-14 -3.107837e-13 -2.227771e-10) (-7.641999e-15 -2.131655e-12 -1.836947e-06))
0.119159      	((-8.560466e-10 -2.478806e-09 1.065338e-10) (-8.569768e-11 2.192095e-09 -6.272290e-11)) ((1.355314e-14 -2.101956e-13 -1.711854e-10) (1.075047e-13 -2.574802e-12 -1.616058e-06))
0.154991      	((4.212870e-10 9.597555e-09 -9.031649e-11) (-9.256582e-11 2.060210e-09 -6.965956e-11)) ((-2.911872e-14 -1.747217e-13 -1.429640e-10) (2.424006e-13 -2.840828e-12 -1.414264e-06))
0.197989      	((-5.053069e-10 3.968021e-09 1.580532e-10) (-8.484832e-11 1.912384e-09 -7.128012e-11)) ((-4.351893e-14 -1.847258e-13 -1.181361e-10) (1.891150e-13 -2.906873e-12 -1.235603e-06))
0.249587      	((5.046951e-10 6.018640e-09 2.427757e-11) (-4.762054e-11 1.774912e-09 -7.156046e-11)) ((-5.467936e-14 -1.479006e-13 -9.778418e-11) (1.542114e-14 -2.776664e-12 -1.081937e-06))
0.311504      	((-4.699535e-10 4.881501e-09 1.118461e-10) (9.012952e-12 1.640266e-09 -7.046809e-11)) ((-1.244033e-14 -7.982557e-14 -8.055357e-11) (-1.575066e-13 -2.530288e-12 -9.526696e-07))
0.385805      	((9.065839e-10 4.614914e-09 -1.611165e-10) (6.637290e-12 1.489684e-09 -6.495806e-11)) ((1.498785e-14 -2.843800e-14 -6.773436e-11) (-3.419548e-13 -2.256910e-12 -8.450163e-07))
0.474966      	((-1.424002e-09 5.304075e-09 8.708567e-11) (1.243830e-11 1.353258e-09 -7.105778e-11)) ((3.018411e-14 -2.838685e-14 -5.862895e-11) (-1.537054e-13 -1.949361e-12 -7.549112e-07))
0.581959      	((-8.245667e-10 4.169760e-09 1.575072e-10) (1.322872e-11 1.205385e-09 -6.577129e-11)) ((4.429751e-14 3.889648e-15 -4.977282e-11) (1.203222e-13 -1.249170e-12 -6.784489e-07))
0.710351      	((-1.602808e-09 4.151552e-09 -8.653973e-11) (-1.347322e-10 1.059968e-09 -4.851850e-11)) ((7.430677e-14 4.960842e-14 -4.104003e-11) (3.716095e-13 -4.565481e-13 -6.124908e-07))
0.864421      	((-7.448514e-10 5.976658e-09 -3.144679e-10) (-2.485663e-10 8.792327e-10 -4.342633e-11)) ((5.081412e-14 7.590708e-14 -3.506112e-11) (1.101063e-12 2.931212e-13 -5.547280e-07))
1.049306      	((7.741217e-10 5.768641e-09 -1.490407e-10) (-2.840155e-10 6.505801e-10 -5.103290e-11)) ((4.123959e-14 1.196250e-13 -3.128734e-11) (1.295207e-12 2.678995e-13 -5.035059e-07))
1.271167      	((9.439033e-10 6.364012e-09 -9.442335e-11) (-2.912994e-10 5.014256e-10 -5.940062e-11)) ((1.662126e-14 1.471694e-13 -2.842114e-11) (3.494573e-13 -6.406428e-13 -4.576529e-07))
