# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-1.265275e-04 1.685669e-14 -7.542683e-15)) ((0.000000e+00 0.000000e+00 0.000000e+00) (6.431248e-18 1.012495e-15 1.739240e-15))
0.012         	((-3.680018e-02 1.412290e-08 1.389035e-08) (-1.451668e-04 1.021510e-10 8.397289e-11)) ((-9.063154e-14 1.498372e-11 6.165300e-12) (1.076821e-14 7.487735e-15 -2.395872e-12))
0.0264        	((2.625355e-03 -5.863300e-07 -2.500307e-07) (-1.480319e-04 -2.767127e-10 -7.666094e-11)) ((-2.741213e-12 -2.984562e-11 -5.169315e-12) (-3.418386e-13 -9.453387e-13 -4.295303e-12))
0.04368       	((7.656732e-03 9.052362e-07 5.209293e-07) (-1.314750e-04 1.602593e-10 1.251142e-10)) ((-3.276214e-12 -1.633401e-11 -2.998369e-11) (-2.518324e-13 -6.814482e-12 -2.331248e-12))
0.064416      	((7.280346e-05 -5.543083e-08 -3.767086e-08) (-1.164210e-04 -1.354049e-09 -1.270260e-09)) ((4.154570e-12 1.375600e-11 1.067948e-11) (4.505853e-13 7.866916e-12 -2.081800e-11))
0.0892992     	((-9.248599e-05 -9.546148e-08 -8.232612e-08) (-1.074627e-04 -2.597849e-09 -2.383684e-09)) ((-3.926733e-12 5.077331e-13 5.154425e-12) (1.040366e-12 8.774800e-12 -2.974028e-11))
0.119159      	((1.179275e-04 -2.845825e-08 -1.329955e-08) (-9.922328e-05 -2.112645e-09 -2.046548e-09)) ((2.207557e-12 7.170916e-12 3.034692e-12) (-1.402716e-12 -1.765962e-11 -1.214295e-11))
0.154991      	((6.201770e-05 5.361487e-08 -7.297145e-09) (-9.051832e-05 -1.793426e-09 -1.632817e-09)) ((-3.011500e-13 1.101157e-12 1.006081e-13) (-3.502798e-12 -2.820539e-11 3.331422e-12))
0.197989      	((1.483335e-05 -1.919980e-08 -1.793657e-09) (-8.177505e-05 -1.007191e-09 -8.306233e-10)) ((-1.086007e-12 4.229894e-12 -3.301298e-13) (-8.540195e-13 -8.093997e-12 5.025906e-12))
0.249587      	((-2.239683e-06 -1.693555e-08 -3.249493e-09) (-7.325101e-05 -2.041788e-10 -1.571918e-10)) ((-2.737395e-13 2.018303e-12 1.668870e-13) (2.570241e-12 1.262934e-11 -6.491150e-12))
0.311504      	((-9.913503e-06 -7.702252e-09 -7.499151e-09) (-6.520526e-05 2.425724e-10 1.673774e-10)) ((-7.576088e-15 1.360251e-12 -2.398409e-14) (3.633261e-12 2.042188e-11 -1.219203e-11))
0.385805      	((-1.376191e-05 -1.924713e-09 -2.059842e-09) (-5.784477e-05 3.819493e-10 3.150554e-10)) ((3.214182e-14 1.349695e-12 -2.273423e-13) (3.429582e-12 2.268740e-11 -1.004785e-11))
0.474966      	((-1.579623e-05 5.246477e-10 9.820663e-10) (-5.128565e-05 3.617049e-10 3.318666e-10)) ((-9.672912e-14 9.127893e-13 -2.143562e-13) (2.867220e-12 2.021527e-11 -5.751268e-12))
0.581959      	((-1.665413e-05 6.845626e-10 9.084953e-10) (-4.552477e-05 3.369852e-10 3.183191e-10)) ((-5.801208e-14 4.278315e-13 -1.428534e-13) (2.377286e-12 1.710959e-11 -2.033883e-12))
0.710351      	((-1.662537e-05 7.124670e-10 7.272845e-10) (-4.052001e-05 3.032499e-10 2.873157e-10)) ((-4.795439e-14 1.446059e-13 -6.261848e-14) (2.001720e-12 1.237630e-11 4.616745e-13))
