# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((-7.515485e-10 4.295063e-09 -9.175515e-09) (1.092674e-10 4.944657e-12 6.000645e-11)) ((4.127826e-08 -3.947139e-12 -8.456882e-14) (2.788832e-05 3.087445e-12 -1.282355e-12))
0.0264        	((1.930983e-09 6.886835e-09 -1.559137e-08) (7.225171e-10 -4.746788e-11 3.176830e-11)) ((2.162896e-08 -3.139333e-12 5.993573e-13) (2.555161e-05 3.921440e-12 -7.476537e-13))
0.04368       	((-3.755209e-08 -1.301764e-08 -1.709186e-08) (1.675611e-09 -1.454449e-10 -2.673756e-11)) ((1.351716e-08 -2.798929e-12 7.174392e-13) (2.317620e-05 1.290643e-12 1.691819e-12))
0.064416      	((3.646647e-08 -3.903851e-09 -5.214304e-09) (2.991827e-09 -2.066276e-10 -7.541008e-11)) ((9.222149e-09 -2.062099e-12 -4.723022e-13) (2.083489e-05 -3.487327e-12 3.913069e-12))
0.0892992     	((-6.010988e-09 -1.083885e-08 5.866483e-09) (4.662594e-09 -1.985561e-10 -1.194057e-10)) ((7.963282e-09 -1.869911e-12 -6.049109e-13) (1.861422e-05 -8.321518e-12 6.095520e-12))
0.119159      	((9.845871e-09 -1.724482e-09 8.208183e-09) (5.631801e-09 -1.768089e-10 -1.232315e-10)) ((6.565713e-09 -1.580243e-12 -7.933087e-13) (1.658989e-05 -1.061821e-11 7.687106e-12))
0.154991      	((2.716774e-08 3.540900e-10 3.282980e-09) (5.173000e-09 -1.685339e-10 -1.134545e-10)) ((5.669850e-09 -1.208927e-12 -7.492122e-13) (1.480644e-05 -1.098942e-11 9.050032e-12))
0.197989      	((2.008235e-09 -1.804913e-09 1.803655e-09) (4.985373e-09 -1.559492e-10 -9.593515e-11)) ((4.949139e-09 -8.474889e-13 -7.128930e-13) (1.325971e-05 -1.175527e-11 1.075960e-11))
0.249587      	((1.447042e-08 1.770979e-09 -2.241805e-09) (5.434539e-09 -1.264357e-10 -1.214811e-10)) ((4.408047e-09 -8.287496e-13 -5.059467e-13) (1.189626e-05 -1.501487e-11 1.202925e-11))
0.311504      	((-4.173473e-09 3.000919e-11 -4.450186e-09) (2.936942e-09 -1.040732e-10 -2.658205e-10)) ((3.928170e-09 -7.892704e-13 -4.142438e-13) (1.065487e-05 -1.759669e-11 1.061517e-11))
0.385805      	((-4.490841e-08 2.550643e-09 -2.261358e-09) (-2.016701e-10 -1.425056e-10 -4.611638e-10)) ((3.528881e-09 -7.545139e-13 -2.038470e-13) (9.522538e-06 -1.692753e-11 7.199069e-12))
0.474966      	((-4.371430e-08 4.831723e-09 -2.588908e-09) (-3.156268e-09 -1.236785e-10 -5.441295e-10)) ((3.171486e-09 -5.586257e-13 1.464287e-14) (8.506401e-06 -1.567607e-11 4.153197e-12))
0.581959      	((-6.237087e-08 1.407844e-08 4.958488e-09) (-4.075270e-09 -6.631786e-11 -4.117758e-10)) ((2.829365e-09 -2.256292e-13 2.978072e-13) (7.608577e-06 -1.596254e-11 6.051958e-12))
0.710351      	((-4.521330e-08 1.469647e-08 5.867196e-09) (-2.621830e-10 -5.639711e-11 -4.844398e-10)) ((2.494971e-09 -4.806775e-13 6.788360e-13) (6.823154e-06 -1.297259e-11 6.215683e-12))
0.864421      	((-2.130324e-08 2.310257e-08 1.282074e-09) (3.542967e-10 1.145696e-10 -7.505522e-10)) ((2.178806e-09 -2.392607e-13 4.368774e-13) (6.137012e-06 -6.499188e-12 4.554773e-12))
1.049306      	((-1.017016e-08 1.772231e-08 -5.746983e-09) (-7.207498e-10 2.226035e-10 -9.306853e-10)) ((1.921847e-09 -5.698667e-13 7.870185e-13) (5.534623e-06 -1.930443e-13 7.051639e-12))
1.271167      	((1.096521e-08 3.347373e-08 2.743581e-09) (2.522066e-09 5.199876e-12 -3.229565e-10)) ((1.727201e-09 6.436633e-13 -3.977690e-13) (5.003416e-06 2.412291e-13 1.897377e-11))
