# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (1.515127e-13 -3.195859e-03 -2.019039e-13)) ((0.000000e+00 0.000000e+00 0.000000e+00) (1.065346e-14 -1.462879e-15 1.163084e-09))
0.012         	((-2.192638e-06 -9.227687e-01 -2.096593e-06) (1.777638e-09 -3.657971e-03 -3.895649e-09)) ((-9.386655e-11 -9.044761e-12 1.703836e-07) (-1.129502e-11 -3.861646e-13 1.534149e-09))
0.0264        	((-9.117937e-06 1.239846e-01 -4.339590e-06) (2.256056e-08 -3.677169e-03 -9.255068e-09)) ((-1.399178e-09 -2.491664e-10 -9.217932e-09) (-2.910641e-10 6.298223e-12 -3.934743e-10))
0.04368       	((1.120062e-05 1.598379e-01 1.515185e-05) (2.864356e-08 -3.208402e-03 1.474663e-09)) ((1.119035e-09 1.405181e-10 -5.224359e-08) (-2.803952e-10 8.674704e-12 -2.882636e-09))
0.064416      	((-2.857589e-07 6.045910e-04 -6.312776e-06) (-1.800367e-08 -2.824952e-03 -4.860621e-09)) ((3.457925e-11 3.886947e-11 9.353218e-09) (-1.400939e-10 -2.006559e-11 -2.428253e-09))
0.0892992     	((-2.086961e-06 1.034898e-03 -4.717504e-06) (-4.224350e-08 -2.598792e-03 -3.584221e-08)) ((7.871000e-12 -2.363950e-11 -1.535550e-10) (-1.746307e-10 -5.137811e-12 -2.076393e-09))
0.119159      	((-8.607400e-07 2.014970e-03 -1.753906e-07) (-1.611984e-07 -2.406299e-03 -4.346661e-08)) ((2.162352e-11 4.739918e-11 -6.613982e-10) (-1.937393e-10 2.455464e-11 -2.398798e-09))
0.154991      	((-4.411406e-06 2.164248e-04 -1.117974e-06) (-3.542223e-07 -2.220863e-03 -3.730836e-08)) ((-5.807597e-12 -1.304631e-12 -2.622626e-11) (-1.025463e-10 1.232945e-11 -4.520074e-09))
0.197989      	((-2.193608e-06 -3.346281e-04 -1.114541e-06) (-5.087080e-07 -2.051906e-03 -3.689830e-08)) ((9.677728e-12 -1.267741e-11 3.385863e-10) (-9.943393e-11 1.186452e-11 -5.820389e-09))
0.249587      	((-2.440414e-06 -5.710099e-04 -3.076467e-07) (-6.219978e-07 -1.903927e-03 -3.677913e-08)) ((-1.644946e-11 -9.850063e-12 5.831155e-11) (-2.014224e-10 2.559778e-11 -5.924708e-09))
0.311504      	((-1.859728e-06 -7.270810e-04 -3.527319e-07) (-6.402634e-07 -1.775341e-03 -3.412850e-08)) ((-2.157299e-11 6.738813e-12 2.142377e-10) (-3.186988e-10 3.697940e-11 -6.099673e-09))
0.385805      	((-1.412833e-06 -8.154063e-04 -1.487361e-07) (-5.303650e-07 -1.660898e-03 -2.787786e-08)) ((-2.402181e-11 -9.706750e-13 3.477042e-10) (-3.537440e-10 4.547012e-11 -7.478718e-09))
0.474966      	((-5.465279e-07 -8.627463e-04 -5.049043e-08) (-3.951473e-07 -1.553689e-03 -2.117420e-08)) ((-2.001605e-11 -3.073633e-12 5.342210e-10) (-1.740311e-10 4.225513e-11 -9.729462e-09))
0.581959      	((-5.395064e-07 -8.903149e-04 -3.352691e-08) (-3.252428e-07 -1.449033e-03 -1.732017e-08)) ((-1.497831e-11 -2.378104e-12 7.221176e-10) (-1.599559e-11 2.809652e-11 -1.121709e-08))
0.710351      	((-4.709784e-07 -9.162480e-04 3.130364e-09) (-2.997530e-07 -1.347257e-03 -1.625011e-08)) ((-1.071465e-11 -8.610161e-13 8.862341e-10) (3.915203e-11 1.462596e-11 -1.190665e-08))
0.864421      	((-4.031868e-07 -9.530875e-04 -5.886613e-08) (-2.830458e-07 -1.250802e-03 -1.751037e-08)) ((-8.251671e-12 -5.287726e-12 1.063082e-09) (3.817260e-11 1.816152e-11 -1.193192e-08))
1.049306      	((-2.186927e-07 -1.012341e-03 -1.638647e-07) (-2.424351e-07 -1.161565e-03 -2.002794e-08)) ((-1.190159e-11 -9.172505e-12 1.420562e-09) (-1.512082e-12 3.546184e-11 -1.186090e-08))
1.271167      	((-3.493908e-09 -1.097579e-03 -2.119704e-07) (-1.676464e-07 -1.080545e-03 -1.859103e-08)) ((-2.105707e-11 -6.261065e-12 1.726789e-09) (-4.460722e-11 4.641693e-11 -1.220220e-08))
1.5374        	((2.473995e-07 -1.215910e-03 -2.656576e-07) (-6.599791e-08 -1.008478e-03 -1.649349e-08)) ((-2.299489e-11 -2.894144e-12 2.116618e-09) (-6.660857e-11 5.003546e-11 -1.369195e-08))
1.853977      	((5.883916e-07 -1.373455e-03 -2.192131e-07) (3.529979e-08 -9.461424e-04 -1.491562e-08)) ((-2.372038e-11 -1.637164e-12 2.606879e-09) (-7.388904e-11 4.768907e-11 -1.646542e-08))
2.220472      	((9.304404e-07 -1.570819e-03 -1.577557e-07) (1.097355e-07 -8.940698e-04 -1.683842e-08)) ((-1.878283e-11 2.749590e-13 3.208453e-09) (-9.175657e-11 4.004696e-11 -2.152957e-08))
2.636485      	((1.437311e-06 -1.805597e-03 1.123000e-07) (1.214931e-07 -8.511648e-04 -2.034697e-08)) ((-7.665605e-12 8.626810e-13 3.942020e-09) (-1.310892e-10 4.672813e-11 -2.691645e-08))
3.101535      	((1.629676e-06 -2.075540e-03 3.453316e-07) (7.594865e-08 -8.159642e-04 -1.978625e-08)) ((1.031046e-12 -4.156509e-12 4.810433e-09) (-4.310743e-11 5.713136e-11 -3.079384e-08))
3.586155      	((1.945520e-06 -2.363961e-03 6.112512e-07) (7.481744e-08 -7.885228e-04 -2.008433e-08)) ((1.282574e-11 -1.764466e-11 5.634165e-09) (4.417891e-10 5.335943e-11 -3.354843e-08))
4.064085      	((2.422523e-06 -2.642738e-03 9.889229e-07) (8.913966e-08 -7.675215e-04 -2.368386e-08)) ((1.491957e-11 -1.772475e-11 6.242298e-09) (1.268127e-09 4.497003e-11 -3.414908e-08))
4.535105      	((3.003661e-06 -2.900548e-03 1.400074e-06) (5.317420e-08 -7.511579e-04 -1.996245e-08)) ((2.033099e-12 -2.040593e-11 6.813464e-09) (1.886292e-09 5.530803e-11 -3.292285e-08))
5.000586      	((3.800345e-06 -3.116295e-03 2.039265e-06) (6.362352e-08 -7.385691e-04 2.317695e-09)) ((1.982855e-12 -2.620798e-11 7.529618e-09) (1.737244e-09 6.635542e-11 -3.062502e-08))
5.463104      	((4.501608e-06 -3.272270e-03 2.798832e-06) (1.002359e-07 -7.286105e-04 4.435145e-08)) ((1.309606e-11 -2.550547e-11 8.237236e-09) (1.073759e-09 5.502248e-11 -2.730027e-08))
5.924789      	((5.431281e-06 -3.369591e-03 3.548527e-06) (1.250694e-07 -7.197693e-04 9.442005e-08)) ((7.631045e-12 -1.907688e-11 8.972905e-09) (2.060803e-10 4.713364e-11 -2.554380e-08))
6.386207      	((6.247418e-06 -3.406752e-03 4.204781e-06) (1.693029e-07 -7.111891e-04 1.318848e-07)) ((4.307398e-12 -2.775381e-11 9.514958e-09) (-7.005076e-11 9.823907e-11 -2.506855e-08))
6.846729      	((6.773789e-06 -3.381690e-03 4.232809e-06) (1.956987e-07 -7.028784e-04 1.520676e-07)) ((1.527894e-11 -2.645427e-11 9.879513e-09) (4.005764e-10 1.428251e-10 -2.715166e-08))
7.305553      	((7.696633e-06 -3.322512e-03 4.673080e-06) (2.642685e-07 -6.950161e-04 1.710636e-07)) ((3.064239e-11 -2.031997e-11 9.949738e-09) (1.067686e-09 1.052881e-10 -2.808429e-08))
7.762357      	((8.743692e-06 -3.260228e-03 5.608434e-06) (3.644245e-07 -6.881567e-04 2.084927e-07)) ((3.232458e-11 -3.951093e-12 9.795382e-09) (1.363778e-09 2.913810e-11 -2.732919e-08))
8.217293      	((9.340811e-06 -3.200780e-03 6.262013e-06) (4.425283e-07 -6.823807e-04 2.604773e-07)) ((2.663237e-11 6.427723e-12 9.497172e-09) (1.365663e-09 1.660952e-11 -2.592543e-08))
8.67076       	((1.019283e-05 -3.162360e-03 6.683561e-06) (5.085900e-07 -6.774987e-04 3.076227e-07)) ((1.251058e-11 7.589631e-12 9.295308e-09) (1.223470e-09 6.500604e-11 -2.419836e-08))
9.123075      	((1.134414e-05 -3.146748e-03 7.311658e-06) (5.807276e-07 -6.732768e-04 3.467028e-07)) ((1.255769e-11 -1.184922e-11 9.241791e-09) (1.246099e-09 6.002543e-11 -2.311879e-08))
9.574401      	((1.269764e-05 -3.143235e-03 8.101042e-06) (6.643408e-07 -6.694832e-04 3.849535e-07)) ((2.066941e-11 -2.426275e-11 9.253744e-09) (1.325929e-09 1.033633e-11 -2.057312e-08))
10.024794     	((1.365440e-05 -3.139907e-03 8.672884e-06) (7.365106e-07 -6.660008e-04 4.149746e-07)) ((2.867789e-11 -4.603904e-11 9.300105e-09) (1.618770e-09 6.336359e-11 -1.833953e-08))
10.474301     	((1.505766e-05 -3.129414e-03 9.275630e-06) (7.862824e-07 -6.627172e-04 4.372460e-07)) ((3.027789e-11 -4.827398e-11 9.289662e-09) (2.408203e-09 1.882908e-10 -1.812647e-08))
10.923028     	((1.694541e-05 -3.105065e-03 1.059633e-05) (8.387583e-07 -6.594158e-04 4.680297e-07)) ((4.026465e-11 -4.834340e-11 9.221288e-09) (3.627469e-09 4.542415e-10 -1.889683e-08))
11.371089     	((1.894685e-05 -3.068788e-03 1.157981e-05) (8.983388e-07 -6.559183e-04 5.014945e-07)) ((4.354117e-11 -5.109326e-11 9.131018e-09) (5.318561e-09 7.413036e-10 -2.047668e-08))
11.818568     	((2.125353e-05 -3.033250e-03 1.263902e-05) (9.680672e-07 -6.523270e-04 5.415185e-07)) ((5.372775e-11 -5.351106e-11 9.033035e-09) (6.788600e-09 8.365003e-10 -2.249780e-08))
12.265516     	((2.377183e-05 -3.000633e-03 1.386140e-05) (1.049895e-06 -6.487947e-04 5.877903e-07)) ((6.622385e-11 -4.792787e-11 8.936930e-09) (8.186560e-09 8.119514e-10 -2.466218e-08))
12.711975     	((2.671812e-05 -2.976374e-03 1.526700e-05) (1.149869e-06 -6.454801e-04 6.398278e-07)) ((7.507836e-11 -4.176961e-11 8.848648e-09) (9.604803e-09 7.349816e-10 -2.705725e-08))
13.157999     	((3.023784e-05 -2.959679e-03 1.684414e-05) (1.265321e-06 -6.424541e-04 7.001368e-07)) ((7.784193e-11 -3.420557e-11 8.787025e-09) (1.095175e-08 5.192266e-10 -2.994682e-08))
13.603641     	((3.337527e-05 -2.949503e-03 1.830290e-05) (1.386239e-06 -6.396586e-04 7.632870e-07)) ((8.607464e-11 -2.757518e-11 8.752443e-09) (1.272491e-08 3.197437e-10 -3.351198e-08))
14.048931     	((3.742634e-05 -2.942305e-03 2.024937e-05) (1.522102e-06 -6.370208e-04 8.305238e-07)) ((1.068266e-10 -2.607285e-11 8.728229e-09) (1.517587e-08 2.498480e-10 -3.751449e-08))
14.49388      	((4.043187e-05 -2.934881e-03 2.187412e-05) (1.663897e-06 -6.344940e-04 8.967288e-07)) ((1.084693e-10 -1.125919e-11 8.717985e-09) (1.800991e-08 2.955405e-10 -4.153892e-08))
14.938487     	((4.399826e-05 -2.926332e-03 2.378451e-05) (1.821398e-06 -6.320513e-04 9.656892e-07)) ((1.155982e-10 1.084456e-11 8.710030e-09) (2.102480e-08 3.071935e-10 -4.497371e-08))
15.382781     	((4.771872e-05 -2.914891e-03 2.571653e-05) (1.996717e-06 -6.296787e-04 1.042048e-06)) ((1.213883e-10 3.181685e-11 8.696716e-09) (2.393893e-08 2.722895e-10 -4.809343e-08))
15.826763     	((5.212241e-05 -2.902293e-03 2.802950e-05) (2.182429e-06 -6.273820e-04 1.133413e-06)) ((1.286860e-10 4.879821e-11 8.676200e-09) (2.642326e-08 2.758632e-10 -5.132513e-08))
16.270415     	((5.677797e-05 -2.889812e-03 3.038607e-05) (2.389169e-06 -6.251826e-04 1.236766e-06)) ((1.383924e-10 6.004319e-11 8.649831e-09) (2.848797e-08 2.895343e-10 -5.394968e-08))
16.713796     	((6.165935e-05 -2.878362e-03 3.270323e-05) (2.624906e-06 -6.231291e-04 1.343484e-06)) ((1.476304e-10 5.898359e-11 8.628664e-09) (3.027181e-08 1.661617e-10 -5.566369e-08))
17.156937     	((6.703255e-05 -2.868012e-03 3.515851e-05) (2.893010e-06 -6.212656e-04 1.455545e-06)) ((1.579787e-10 5.397355e-11 8.610412e-09) (3.197094e-08 -1.057939e-10 -5.696702e-08))
17.599838     	((7.333381e-05 -2.856579e-03 3.845817e-05) (3.194561e-06 -6.195448e-04 1.590852e-06)) ((1.788944e-10 5.097586e-11 8.590018e-09) (3.341243e-08 -2.730874e-10 -5.876587e-08))
18.042505     	((8.035802e-05 -2.844471e-03 4.171920e-05) (3.529375e-06 -6.178778e-04 1.753772e-06)) ((2.000617e-10 4.700395e-11 8.573888e-09) (3.463872e-08 -2.656263e-10 -6.129191e-08))
18.484948     	((8.693700e-05 -2.836063e-03 4.460958e-05) (3.886007e-06 -6.162651e-04 1.920704e-06)) ((2.140010e-10 4.292821e-11 8.565736e-09) (3.635094e-08 -2.321343e-10 -6.421273e-08))
18.927184     	((9.364207e-05 -2.826380e-03 4.765494e-05) (4.256026e-06 -6.146726e-04 2.088655e-06)) ((2.357598e-10 4.398380e-11 8.559045e-09) (3.845055e-08 -2.710664e-10 -6.737066e-08))
19.369228     	((1.010231e-04 -2.815859e-03 5.107445e-05) (4.647657e-06 -6.130552e-04 2.263933e-06)) ((2.568003e-10 4.332312e-11 8.544915e-09) (4.063850e-08 -3.670808e-10 -7.084964e-08))
19.811097     	((1.092282e-04 -2.805395e-03 5.497621e-05) (5.070919e-06 -6.114209e-04 2.451856e-06)) ((2.854824e-10 4.097120e-11 8.521080e-09) (4.303626e-08 -4.443969e-10 -7.468974e-08))
20.252827     	((1.179068e-04 -2.795957e-03 5.901518e-05) (5.524371e-06 -6.097979e-04 2.651901e-06)) ((3.132809e-10 4.098699e-11 8.493293e-09) (4.576846e-08 -5.294363e-10 -7.903988e-08))
20.694452     	((1.262991e-04 -2.787051e-03 6.287608e-05) (5.988801e-06 -6.082058e-04 2.856275e-06)) ((3.364961e-10 4.128844e-11 8.466715e-09) (4.887672e-08 -5.994223e-10 -8.419375e-08))
21.135964     	((1.358410e-04 -2.779171e-03 6.798230e-05) (6.465586e-06 -6.066688e-04 3.077437e-06)) ((3.705968e-10 4.195606e-11 8.441874e-09) (5.233043e-08 -5.975424e-10 -9.028819e-08))
21.577356     	((1.467694e-04 -2.771871e-03 7.330044e-05) (6.976738e-06 -6.052067e-04 3.323779e-06)) ((4.022587e-10 4.276569e-11 8.415084e-09) (5.594489e-08 -6.028804e-10 -9.717719e-08))
22.018638     	((1.593233e-04 -2.764677e-03 7.957134e-05) (7.545021e-06 -6.038194e-04 3.603380e-06)) ((4.436822e-10 3.983772e-11 8.386076e-09) (5.960367e-08 -6.648697e-10 -1.046027e-07))
22.459807     	((1.735311e-04 -2.757298e-03 8.647724e-05) (8.191440e-06 -6.024916e-04 3.925040e-06)) ((4.861138e-10 3.526160e-11 8.357423e-09) (6.319973e-08 -7.379203e-10 -1.121188e-07))
22.900863     	((1.893952e-04 -2.750368e-03 9.429694e-05) (8.930616e-06 -6.012049e-04 4.295655e-06)) ((5.364845e-10 3.204126e-11 8.327929e-09) (6.666756e-08 -7.781423e-10 -1.196191e-07))
23.34181      	((2.070806e-04 -2.743377e-03 1.028146e-04) (9.766079e-06 -5.999408e-04 4.715610e-06)) ((5.938076e-10 2.654220e-11 8.296781e-09) (7.020167e-08 -7.748779e-10 -1.276561e-07))
23.782651     	((2.265801e-04 -2.736230e-03 1.120245e-04) (1.069114e-05 -5.986883e-04 5.175285e-06)) ((6.554703e-10 2.182766e-11 8.263624e-09) (7.434529e-08 -6.875917e-10 -1.371337e-07))
24.223386     	((2.481569e-04 -2.729499e-03 1.221626e-04) (1.169739e-05 -5.974549e-04 5.667824e-06)) ((7.230605e-10 1.320852e-11 8.226032e-09) (7.975894e-08 -5.690920e-10 -1.489503e-07))
24.664017     	((2.713224e-04 -2.723149e-03 1.331869e-04) (1.277966e-05 -5.962514e-04 6.191250e-06)) ((7.907474e-10 -1.232563e-12 8.190984e-09) (8.667126e-08 -4.676445e-10 -1.633396e-07))
25.104545     	((2.962567e-04 -2.717965e-03 1.448543e-04) (1.395273e-05 -5.950791e-04 6.750907e-06)) ((8.546719e-10 -2.216025e-11 8.162155e-09) (9.498915e-08 -3.964402e-10 -1.797720e-07))
25.544967     	((3.224297e-04 -2.714093e-03 1.571784e-04) (1.522366e-05 -5.939473e-04 7.350197e-06)) ((9.133682e-10 -4.585654e-11 8.138539e-09) (1.042485e-07 -3.422623e-10 -1.977967e-07))
25.985287     	((3.502411e-04 -2.710343e-03 1.703627e-04) (1.659711e-05 -5.928597e-04 7.997024e-06)) ((9.730035e-10 -7.874981e-11 8.114257e-09) (1.139673e-07 -2.764097e-10 -2.167997e-07))
26.425507     	((3.804145e-04 -2.707666e-03 1.846414e-04) (1.809148e-05 -5.918343e-04 8.709819e-06)) ((1.032861e-09 -1.194860e-10 8.091555e-09) (1.235195e-07 -5.964632e-11 -2.361839e-07))
26.865623     	((4.131572e-04 -2.705275e-03 2.000799e-04) (1.971894e-05 -5.908782e-04 9.498436e-06)) ((1.099528e-09 -1.685815e-10 8.065115e-09) (1.326778e-07 3.963588e-10 -2.559827e-07))
27.305629     	((4.487969e-04 -2.703872e-03 2.167344e-04) (2.149125e-05 -5.899754e-04 1.035556e-05)) ((1.174289e-09 -2.214886e-10 8.035995e-09) (1.420601e-07 8.784404e-10 -2.767627e-07))
27.745513     	((4.866813e-04 -2.703713e-03 2.343358e-04) (2.341738e-05 -5.891434e-04 1.127426e-05)) ((1.258810e-09 -2.802973e-10 7.999248e-09) (1.518840e-07 1.168270e-09 -2.981604e-07))
28.185267     	((5.277464e-04 -2.704316e-03 2.535955e-04) (2.551893e-05 -5.884049e-04 1.226999e-05)) ((1.363603e-09 -3.447560e-10 7.950373e-09) (1.614281e-07 1.367256e-09 -3.192314e-07))
28.624881     	((5.717116e-04 -2.706233e-03 2.743304e-04) (2.781313e-05 -5.877735e-04 1.335471e-05)) ((1.476995e-09 -4.088910e-10 7.894507e-09) (1.703714e-07 1.562898e-09 -3.395784e-07))
29.064345     	((6.191219e-04 -2.708967e-03 2.966481e-04) (3.031441e-05 -5.872446e-04 1.453483e-05)) ((1.602892e-09 -4.841166e-10 7.831594e-09) (1.789537e-07 1.757672e-09 -3.593873e-07))
29.50365      	((6.705295e-04 -2.712767e-03 3.205897e-04) (3.304234e-05 -5.868016e-04 1.582206e-05)) ((1.737440e-09 -5.692138e-10 7.765077e-09) (1.874874e-07 1.835150e-09 -3.794080e-07))
29.942784     	((7.269620e-04 -2.717873e-03 3.465088e-04) (3.601784e-05 -5.864306e-04 1.721939e-05)) ((1.882912e-09 -6.616593e-10 7.695688e-09) (1.964558e-07 1.774004e-09 -4.008600e-07))
30.381736     	((7.881363e-04 -2.724968e-03 3.747904e-04) (3.925997e-05 -5.861324e-04 1.873297e-05)) ((2.042676e-09 -7.579376e-10 7.619076e-09) (2.065605e-07 1.578691e-09 -4.245514e-07))
30.820496     	((8.553059e-04 -2.734274e-03 4.055099e-04) (4.279305e-05 -5.859202e-04 2.037339e-05)) ((2.209672e-09 -8.720153e-10 7.538557e-09) (2.182919e-07 1.263517e-09 -4.510325e-07))
31.259049     	((9.287471e-04 -2.747080e-03 4.390124e-04) (4.665110e-05 -5.858301e-04 2.215484e-05)) ((2.390193e-09 -1.000690e-09 7.454087e-09) (2.316582e-07 1.020497e-09 -4.801830e-07))
31.697397     	((1.008936e-03 -2.763274e-03 4.756312e-04) (5.085982e-05 -5.859028e-04 2.409066e-05)) ((2.585035e-09 -1.152948e-09 7.366424e-09) (2.467137e-07 9.878838e-10 -5.122977e-07))
32.135571     	((1.096404e-03 -2.783710e-03 5.155120e-04) (5.545247e-05 -5.861964e-04 2.619662e-05)) ((2.791992e-09 -1.327568e-09 7.268235e-09) (2.631243e-07 1.312039e-09 -5.474456e-07))
32.573539     	((1.190680e-03 -2.809513e-03 5.592068e-04) (6.045695e-05 -5.867823e-04 2.849898e-05)) ((3.034545e-09 -1.532378e-09 7.149356e-09) (2.803797e-07 2.128795e-09 -5.841692e-07))
33.011256     	((1.291407e-03 -2.840765e-03 6.056618e-04) (6.589645e-05 -5.877285e-04 3.100095e-05)) ((3.280494e-09 -1.765832e-09 7.012739e-09) (2.981571e-07 2.821496e-09 -6.211337e-07))
33.448714     	((1.398518e-03 -2.877113e-03 6.552131e-04) (7.180284e-05 -5.890324e-04 3.371022e-05)) ((3.539565e-09 -2.024882e-09 6.856414e-09) (3.164298e-07 2.778056e-09 -6.586178e-07))
33.885879     	((1.510846e-03 -2.919317e-03 7.069882e-04) (7.814162e-05 -5.906473e-04 3.661559e-05)) ((3.781804e-09 -2.312988e-09 6.684346e-09) (3.366884e-07 2.282927e-09 -6.997127e-07))
34.322668     	((1.629930e-03 -2.968034e-03 7.620456e-04) (8.490822e-05 -5.926264e-04 3.972792e-05)) ((4.027241e-09 -2.645829e-09 6.506217e-09) (3.592384e-07 2.120861e-09 -7.445375e-07))
34.759106     	((1.755000e-03 -3.024675e-03 8.201739e-04) (9.210105e-05 -5.950463e-04 4.305475e-05)) ((4.252953e-09 -3.036205e-09 6.328590e-09) (3.838575e-07 2.598673e-09 -7.930241e-07))
35.195226     	((1.885031e-03 -3.089840e-03 8.806203e-04) (9.970862e-05 -5.979523e-04 4.657581e-05)) ((4.437159e-09 -3.472404e-09 6.147112e-09) (4.111696e-07 2.864320e-09 -8.448271e-07))
35.631041     	((2.019102e-03 -3.163325e-03 9.433407e-04) (1.077340e-04 -6.013930e-04 5.029102e-05)) ((4.592707e-09 -3.942269e-09 5.964778e-09) (4.396771e-07 2.716503e-09 -8.977790e-07))
