# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((-3.391675e-12 5.683537e-12 1.365838e-09) (-3.025885e-15 2.999126e-14 2.868811e-11)) ((-6.163627e-16 5.312998e-11 -2.814112e-17) (6.958584e-17 3.509762e-08 -2.074543e-15))
0.0264        	((5.700332e-12 -6.036233e-12 -5.135053e-10) (-4.478055e-15 8.484772e-14 4.988666e-11)) ((-1.307687e-16 2.659426e-11 2.586520e-15) (9.515395e-16 3.214668e-08 -2.929146e-15))
0.04368       	((1.986066e-11 3.271145e-11 4.757737e-10) (4.945110e-14 6.373141e-14 5.407774e-11)) ((4.815008e-16 1.466698e-11 1.680636e-15) (-1.596293e-15 2.911416e-08 -4.213338e-15))
0.064416      	((-5.673437e-12 -9.024923e-12 1.786501e-11) (1.537046e-13 -4.673830e-14 4.470657e-11)) ((7.445580e-18 8.348087e-12 -1.165615e-16) (-5.386609e-15 2.606626e-08 -5.486896e-15))
0.0892992     	((1.728471e-11 1.011059e-11 5.960549e-11) (2.213033e-13 -1.599985e-13 3.714583e-11)) ((-1.255482e-16 6.198120e-12 -1.224936e-17) (-7.376382e-15 2.309182e-08 -5.646349e-15))
0.119159      	((-6.653488e-12 -2.685103e-12 1.574304e-11) (2.638248e-13 -2.783535e-13 3.148944e-11)) ((8.301692e-17 4.446528e-12 -2.408536e-17) (-9.847181e-15 2.028236e-08 -6.461028e-15))
0.154991      	((-5.699267e-12 -6.434129e-12 -3.901336e-11) (3.029092e-13 -4.358768e-13 2.536518e-11)) ((-7.916459e-17 3.512936e-12 2.708554e-16) (-1.304267e-14 1.770258e-08 -7.932083e-15))
0.197989      	((-4.635077e-12 -4.323990e-12 4.167469e-12) (3.178292e-13 -5.634122e-13 1.981024e-11)) ((-1.201938e-16 2.792325e-12 2.711421e-16) (-1.473881e-14 1.541546e-08 -9.122134e-15))
0.249587      	((2.099508e-13 -4.457963e-12 -3.772648e-11) (3.187798e-13 -6.344209e-13 1.565004e-11)) ((-1.842761e-16 2.301778e-12 -5.644114e-17) (-1.453717e-14 1.345501e-08 -7.929795e-15))
0.311504      	((-9.642123e-13 1.120492e-12 -7.252607e-12) (3.007532e-13 -6.868173e-13 1.218774e-11)) ((-1.537949e-16 1.915980e-12 -2.696121e-16) (-1.372578e-14 1.181656e-08 -5.375157e-15))
0.385805      	((-2.739071e-12 3.775406e-12 1.625102e-13) (2.984882e-13 -7.040479e-13 9.331245e-12)) ((-4.501114e-17 1.642684e-12 -4.320126e-16) (-1.325459e-14 1.046478e-08 -4.185628e-15))
0.474966      	((-5.045882e-12 -1.014951e-12 8.034395e-12) (2.532459e-13 -7.500927e-13 6.622715e-12)) ((-3.336179e-17 1.463011e-12 -3.383104e-16) (-1.268676e-14 9.346499e-09 -1.192263e-15))
0.581959      	((-7.897389e-12 -4.349274e-12 -8.195384e-12) (1.697183e-13 -7.835973e-13 4.365431e-12)) ((-7.966713e-17 1.310262e-12 -1.288677e-16) (-1.264136e-14 8.406451e-09 2.976279e-15))
0.710351      	((-1.151725e-11 -6.134764e-12 1.857015e-11) (1.947104e-13 -5.612910e-13 3.891170e-12)) ((-2.063802e-16 1.163265e-12 -1.224326e-16) (-1.021200e-14 7.598895e-09 -4.932715e-16))
0.864421      	((-1.183244e-11 -5.148482e-12 9.288051e-12) (2.994474e-13 6.294347e-14 3.668864e-12)) ((-2.825012e-16 1.064128e-12 1.560930e-16) (-4.519628e-15 6.891397e-09 -9.763760e-15))
1.049306      	((-1.702978e-11 -5.002665e-12 -5.797422e-13) (4.360842e-13 6.356730e-13 2.368579e-12)) ((-4.023376e-16 1.000992e-12 1.459978e-16) (3.499753e-15 6.262586e-09 -1.551403e-14))
1.271167      	((-2.278125e-11 -4.071421e-12 1.867974e-11) (7.414667e-13 9.152586e-13 1.043818e-12)) ((-1.661577e-16 9.363515e-13 2.898683e-16) (1.488325e-14 5.698074e-09 -1.206875e-14))
1.5374        	((-2.206618e-11 1.765699e-12 2.185917e-11) (1.286105e-12 1.020008e-12 -7.131249e-13)) ((2.698412e-16 8.612234e-13 4.510476e-16) (2.919863e-14 5.188487e-09 -2.081004e-15))
1.85688       	((-2.188571e-11 -2.593135e-12 1.510418e-11) (1.906757e-12 1.101777e-12 -3.393060e-12)) ((5.399138e-16 7.948570e-13 2.062713e-16) (4.922606e-14 4.728750e-09 1.811021e-14))
2.240256      	((-2.125401e-11 -1.184572e-12 1.841641e-11) (2.804672e-12 9.065515e-13 -5.145002e-12)) ((5.682010e-16 7.519300e-13 1.468393e-16) (6.760393e-14 4.316240e-09 4.470224e-14))
2.700307      	((-2.101762e-11 -2.869637e-13 1.538693e-11) (4.307738e-12 5.739010e-13 -6.110188e-12)) ((5.025233e-16 7.208936e-13 1.767236e-16) (9.850022e-14 3.949093e-09 9.911269e-14))
3.252369      	((-1.533512e-11 -1.382256e-12 1.005482e-11) (6.270054e-12 2.837945e-13 -9.442184e-12)) ((5.765432e-16 6.897183e-13 2.835516e-16) (1.383606e-13 3.624800e-09 1.650923e-13))
3.914842      	((-7.200204e-12 -1.315182e-12 2.866389e-12) (8.300278e-12 -9.060257e-14 -1.479009e-11)) ((2.989756e-16 6.535362e-13 4.695485e-16) (1.668743e-13 3.339567e-09 1.976875e-13))
4.709811      	((-3.327808e-12 -3.555628e-14 -2.742600e-12) (1.053710e-11 -5.727794e-13 -1.689849e-11)) ((3.764426e-16 6.134622e-13 3.830993e-16) (1.909443e-13 3.088089e-09 2.232722e-13))
5.663773      	((2.824874e-13 -9.822206e-13 4.298814e-12) (1.181045e-11 -5.388389e-13 -1.589740e-11)) ((3.729277e-16 5.699690e-13 9.056465e-17) (2.043859e-13 2.864449e-09 2.261289e-13))
6.808528      	((3.465226e-12 -1.623170e-12 1.127700e-12) (1.165269e-11 -1.970834e-13 -1.528270e-11)) ((3.952643e-16 5.255373e-13 -2.089161e-16) (1.972587e-13 2.663394e-09 2.046933e-13))
8.182233      	((4.461519e-12 -1.808660e-13 -3.666867e-13) (1.074883e-11 -2.906613e-13 -1.392692e-11)) ((3.863999e-16 4.823431e-13 -1.355176e-16) (1.730978e-13 2.480861e-09 1.872864e-13))
9.83068       	((4.274152e-12 -2.291839e-12 8.446620e-13) (9.268449e-12 -4.533344e-13 -1.065605e-11)) ((2.437738e-16 4.381149e-13 -1.289998e-16) (1.403088e-13 2.313769e-09 1.624364e-13))
11.808816     	((3.329583e-13 -1.132576e-12 4.228538e-12) (7.157401e-12 -3.995850e-15 -6.667438e-12)) ((1.884891e-16 3.983531e-13 -2.320348e-16) (1.115979e-13 2.159975e-09 1.216116e-13))
14.182579     	((-1.243128e-12 -1.114897e-12 5.387342e-12) (5.038970e-12 9.419948e-13 -4.505844e-12)) ((1.462377e-16 3.620004e-13 -3.099894e-16) (8.606994e-14 2.018245e-09 6.389351e-14))
17.031095     	((-1.568686e-12 -1.498343e-12 4.129280e-12) (3.433089e-12 1.186556e-12 -3.067772e-12)) ((-3.011136e-17 3.307855e-13 -3.382792e-16) (6.040673e-14 1.887935e-09 2.853148e-14))
20.449314     	((-1.751372e-12 -9.366508e-13 5.815220e-12) (2.205187e-12 7.656836e-13 -1.837418e-12)) ((-4.269644e-17 3.031333e-13 -3.936596e-16) (3.713808e-14 1.768629e-09 1.961310e-14))
24.551176     	((-1.133239e-12 -2.750857e-13 5.242389e-12) (1.471903e-12 3.508673e-13 -1.610404e-12)) ((-4.883202e-17 2.785086e-13 -4.022159e-16) (2.031010e-14 1.659615e-09 1.567651e-14))
29.473411     	((-1.471323e-12 -6.051916e-13 5.943982e-12) (1.032783e-12 1.168099e-13 -1.938607e-12)) ((-9.994870e-17 2.579037e-13 -3.628112e-16) (1.457408e-14 1.560132e-09 1.278789e-14))
35.380094     	((-2.073237e-12 -5.350944e-13 5.380139e-12) (8.564346e-13 -1.066188e-13 -2.306570e-12)) ((-9.334517e-17 2.396226e-13 -3.426892e-16) (1.171723e-14 1.469372e-09 1.071878e-14))
42.468112     	((-1.450369e-12 -3.644518e-13 4.754216e-12) (8.881864e-13 -2.026824e-13 -2.481480e-12)) ((-6.315890e-17 2.239185e-13 -2.502344e-16) (1.183737e-14 1.386559e-09 1.297180e-14))
50.973735     	((-9.263310e-13 -1.990178e-13 4.309539e-12) (9.692671e-13 -2.931146e-13 -2.288598e-12)) ((-1.345204e-17 2.099289e-13 -1.761079e-16) (1.337280e-14 1.311069e-09 1.794843e-14))
61.180482     	((-1.599359e-12 -1.541734e-13 3.553175e-12) (9.743144e-13 -3.590818e-13 -2.036096e-12)) ((-4.349117e-17 1.973384e-13 -1.663301e-16) (1.700950e-14 1.242348e-09 2.551565e-14))
73.428578     	((-4.927267e-13 -2.075820e-13 2.981559e-12) (1.069755e-12 -3.558315e-13 -2.003041e-12)) ((-8.604390e-17 1.861689e-13 -1.253152e-16) (2.220342e-14 1.179939e-09 2.903621e-14))
88.126294     	((-6.740853e-13 -2.014712e-13 3.223634e-12) (1.150775e-12 -3.410658e-13 -2.093424e-12)) ((-1.081506e-16 1.760930e-13 -8.040564e-17) (2.742701e-14 1.123368e-09 3.244980e-14))
105.763553    	((-5.585179e-14 -3.001803e-13 2.963294e-12) (1.223780e-12 -3.193458e-13 -2.238880e-12)) ((-1.278005e-16 1.665672e-13 -3.477876e-17) (3.115705e-14 1.072184e-09 3.498780e-14))
126.928263    	((1.092546e-13 -2.840284e-13 2.383548e-12) (1.244798e-12 -3.164169e-13 -2.250263e-12)) ((-1.286027e-16 1.579013e-13 -1.008495e-17) (3.161983e-14 1.025915e-09 3.590246e-14))
152.325916    	((3.703415e-13 -2.313445e-13 1.798328e-12) (1.274694e-12 -3.056591e-13 -2.219012e-12)) ((-1.055738e-16 1.501703e-13 -7.128462e-18) (3.138411e-14 9.840742e-10 3.656449e-14))
182.803099    	((1.557142e-13 -8.341298e-14 1.257748e-12) (1.328262e-12 -3.297800e-13 -2.262992e-12)) ((-7.243344e-17 1.432178e-13 -9.147894e-18) (3.165828e-14 9.461691e-10 3.708374e-14))
219.375719    	((6.969058e-14 -1.813841e-13 4.498991e-13) (1.379458e-12 -2.855601e-13 -2.591144e-12)) ((-5.722922e-17 1.368981e-13 -1.001399e-17) (3.397297e-14 9.117412e-10 3.534943e-14))
263.262863    	((3.221328e-13 -5.161372e-14 3.587232e-13) (1.424907e-12 -2.028984e-13 -3.017491e-12)) ((-4.544904e-17 1.311357e-13 -1.239052e-17) (3.664578e-14 8.804286e-10 3.255946e-14))
315.927436    	((6.464012e-13 -4.598435e-14 2.634579e-13) (1.390512e-12 -1.610398e-13 -3.387755e-12)) ((-1.853154e-17 1.259355e-13 -5.813400e-18) (3.829065e-14 8.519442e-10 3.053196e-14))
