# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-1.857345e-12 1.760273e-13 -2.524129e-02)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-5.628410e-14 -8.487531e-09 -4.975902e-15))
0.012         	((4.639125e-04 4.511313e-04 -7.455482e+00) (4.648141e-07 2.224497e-07 -4.124249e-02)) ((-5.396248e-09 -2.158481e-06 -9.588607e-10) (-8.491837e-08 7.153434e-08 3.239503e-11))
0.0264        	((-2.727669e-05 2.738970e-05 2.697301e+00) (-5.314251e-07 -2.152889e-07 -3.991375e-02)) ((-5.423126e-08 4.855005e-07 -3.998957e-11) (-1.560381e-08 -1.318105e-08 2.209928e-10))
0.04368       	((-3.817710e-04 -3.974692e-04 -9.848592e-03) (-2.163843e-06 -7.533675e-07 -3.252786e-02)) ((4.800467e-08 -2.799293e-07 5.481626e-10) (-1.389950e-08 -4.599523e-08 -4.169547e-11))
0.064416      	((-2.673564e-04 -3.117720e-05 1.009066e-01) (-3.207532e-06 3.766803e-07 -2.890937e-02)) ((-1.254256e-08 -1.332224e-07 5.489143e-10) (-7.256841e-08 1.711542e-08 6.674858e-10))
0.0892992     	((-3.213669e-04 -4.717379e-05 -6.210781e-02) (-4.134314e-06 6.867543e-07 -2.661252e-02)) ((2.625516e-09 -1.423507e-07 2.597473e-10) (-5.748391e-08 3.774920e-09 1.558630e-09))
0.119159      	((-7.978628e-06 -2.011095e-05 -1.340556e-02) (2.893582e-06 2.912715e-07 -2.516181e-02)) ((-3.569782e-10 -1.787686e-07 5.379394e-10) (-4.766095e-08 -9.298519e-08 1.118097e-09))
0.154991      	((-1.248645e-05 -1.538274e-05 -3.391846e-02) (6.256944e-06 -1.242458e-07 -2.414457e-02)) ((-1.934868e-09 -1.888162e-07 -4.776337e-11) (-3.422370e-08 -2.753927e-07 1.139111e-09))
0.197401      	((-1.596391e-05 -1.164689e-05 -2.920508e-02) (6.856009e-06 -2.088616e-07 -2.335606e-02)) ((-9.626233e-11 -1.886433e-07 3.280709e-10) (-2.080917e-08 -3.908060e-07 1.059223e-09))
0.246371      	((-2.721832e-05 1.022845e-05 -3.654545e-02) (7.367765e-06 -3.374465e-08 -2.273537e-02)) ((-3.832987e-10 -1.841387e-07 1.918594e-10) (-1.247297e-08 -4.454442e-07 9.596763e-10))
0.301895      	((1.456772e-07 -3.329231e-06 -3.985087e-02) (9.187525e-06 -1.276009e-07 -2.225682e-02)) ((7.657076e-10 -1.923095e-07 -2.750708e-10) (-1.798017e-09 -4.652419e-07 1.191109e-09))
0.363982      	((4.386620e-06 4.500256e-06 -4.666683e-02) (1.153979e-05 -1.771012e-07 -2.189974e-02)) ((-5.680106e-11 -1.856392e-07 -1.879666e-10) (7.390525e-09 -4.412537e-07 1.745503e-09))
0.429638      	((-1.907040e-05 8.407832e-06 -5.218172e-02) (1.096192e-05 -1.220222e-07 -2.164663e-02)) ((3.814192e-10 -1.885212e-07 -1.158629e-10) (9.597407e-09 -4.408657e-07 2.150038e-09))
0.494932      	((-2.332045e-05 2.638797e-05 -5.869849e-02) (1.068315e-05 5.220605e-09 -2.146278e-02)) ((-7.630781e-10 -1.819758e-07 -1.586709e-10) (8.847809e-09 -4.375861e-07 2.052019e-09))
0.559788      	((-4.967425e-05 3.702111e-05 -6.435968e-02) (1.023124e-05 -6.573411e-08 -2.129816e-02)) ((-1.399460e-09 -1.767135e-07 -1.726419e-10) (-3.172226e-09 -4.094794e-07 1.784999e-09))
0.624308      	((-6.794241e-05 5.327732e-05 -6.970444e-02) (9.608951e-06 -3.190882e-07 -2.111979e-02)) ((-2.140152e-09 -1.621524e-07 -1.922414e-10) (-2.755638e-08 -3.900784e-07 1.762236e-09))
0.688704      	((-8.716038e-05 7.835544e-05 -7.398963e-02) (9.248976e-06 -4.194460e-07 -2.091839e-02)) ((-1.868144e-09 -1.477251e-07 -1.101664e-10) (-4.975136e-08 -3.771463e-07 1.781427e-09))
0.753193      	((-1.020556e-04 1.084800e-04 -7.701910e-02) (9.159582e-06 -1.445113e-07 -2.070893e-02)) ((-1.357602e-09 -1.304167e-07 -2.085442e-10) (-5.463785e-08 -3.797908e-07 1.819796e-09))
0.817869      	((-1.289999e-04 1.321536e-04 -7.881476e-02) (9.039998e-06 3.568927e-07 -2.051060e-02)) ((-6.383284e-10 -1.160331e-07 -2.007861e-10) (-4.466539e-08 -4.053988e-07 2.002606e-09))
0.882695      	((-1.742480e-04 1.619441e-04 -7.969186e-02) (8.661906e-06 8.366823e-07 -2.033041e-02)) ((-2.539231e-10 -1.045499e-07 -6.964254e-11) (-3.793147e-08 -4.355191e-07 1.872557e-09))
0.947594      	((-2.320334e-04 1.919344e-04 -7.966630e-02) (7.867602e-06 1.108068e-06 -2.016574e-02)) ((7.843843e-10 -9.599504e-08 -1.359975e-10) (-4.449505e-08 -4.661217e-07 1.775004e-09))
1.012531      	((-2.906681e-04 2.263495e-04 -7.900198e-02) (6.968417e-06 1.228777e-06 -2.001500e-02)) ((1.765146e-09 -8.907549e-08 -3.258179e-10) (-5.941222e-08 -4.979961e-07 1.593523e-09))
1.077519      	((-3.592952e-04 2.620236e-04 -7.814030e-02) (6.232089e-06 1.371226e-06 -1.987780e-02)) ((2.668141e-09 -8.204922e-08 -4.466251e-10) (-7.419031e-08 -5.361500e-07 1.320299e-09))
1.142575      	((-4.376485e-04 2.959470e-04 -7.740235e-02) (5.579571e-06 1.572512e-06 -1.975398e-02)) ((3.202285e-09 -7.474216e-08 -4.865432e-10) (-8.599564e-08 -5.816341e-07 1.673640e-09))
1.207698      	((-5.274424e-04 3.357653e-04 -7.659874e-02) (4.832079e-06 1.805583e-06 -1.964063e-02)) ((3.393325e-09 -7.076495e-08 -5.133030e-10) (-1.009886e-07 -6.405482e-07 2.378773e-09))
1.27288       	((-6.248791e-04 3.805782e-04 -7.595013e-02) (3.982133e-06 2.096967e-06 -1.953633e-02)) ((3.289990e-09 -6.646979e-08 -5.681042e-10) (-1.182577e-07 -7.001260e-07 2.391297e-09))
1.338115      	((-7.286674e-04 4.361933e-04 -7.532395e-02) (3.314225e-06 2.248381e-06 -1.944122e-02)) ((3.430811e-09 -6.216931e-08 -6.424716e-10) (-1.452166e-07 -7.656308e-07 2.209135e-09))
1.403401      	((-8.495532e-04 4.929865e-04 -7.484508e-02) (2.432413e-06 2.354303e-06 -1.935349e-02)) ((3.046320e-09 -5.934252e-08 -5.779712e-10) (-1.821880e-07 -8.317205e-07 1.420634e-09))
1.468737      	((-9.958283e-04 5.608116e-04 -7.442701e-02) (1.417273e-06 2.445483e-06 -1.927118e-02)) ((2.967019e-09 -5.637908e-08 -5.120250e-10) (-2.273204e-07 -9.052323e-07 3.615841e-10))
1.53412       	((-1.166001e-03 6.389684e-04 -7.403384e-02) (2.486497e-07 2.567326e-06 -1.919365e-02)) ((3.043392e-09 -5.326186e-08 -6.217231e-10) (-2.776821e-07 -9.809283e-07 8.510509e-10))
1.599546      	((-1.342957e-03 7.304263e-04 -7.372447e-02) (-9.441164e-07 2.881973e-06 -1.912166e-02)) ((3.039643e-09 -5.083689e-08 -4.838782e-10) (-3.253730e-07 -1.058191e-06 2.768593e-09))
1.665013      	((-1.536503e-03 8.293850e-04 -7.346085e-02) (-2.110589e-06 3.228159e-06 -1.905645e-02)) ((3.554607e-09 -4.771549e-08 -5.415390e-10) (-3.761633e-07 -1.137782e-06 3.361078e-09))
1.730519      	((-1.783117e-03 9.462422e-04 -7.317606e-02) (-3.479235e-06 3.714713e-06 -1.899842e-02)) ((4.799001e-09 -4.411937e-08 -5.321620e-10) (-4.252750e-07 -1.224636e-06 2.782968e-09))
1.796063      	((-2.081444e-03 1.086757e-03 -7.280707e-02) (-5.240604e-06 4.464066e-06 -1.894698e-02)) ((6.794094e-09 -4.043972e-08 -8.740893e-10) (-4.729956e-07 -1.322634e-06 1.958613e-09))
1.861642      	((-2.435652e-03 1.259863e-03 -7.241932e-02) (-7.320400e-06 5.344772e-06 -1.890087e-02)) ((8.910421e-09 -3.679089e-08 -8.071780e-10) (-5.284301e-07 -1.439316e-06 -4.065518e-10))
1.927254      	((-2.820182e-03 1.452204e-03 -7.202944e-02) (-9.713435e-06 6.282250e-06 -1.885879e-02)) ((1.128966e-08 -3.312094e-08 -8.949165e-10) (-6.021846e-07 -1.580564e-06 -2.628397e-09))
1.992898      	((-3.290045e-03 1.681818e-03 -7.159299e-02) (-1.255449e-05 7.367256e-06 -1.882007e-02)) ((1.366509e-08 -2.871682e-08 -9.592083e-10) (-6.951037e-07 -1.741092e-06 -4.399767e-09))
2.058572      	((-3.832292e-03 1.942160e-03 -7.113573e-02) (-1.592506e-05 8.747524e-06 -1.878434e-02)) ((1.608391e-08 -2.427422e-08 -1.211454e-09) (-7.979185e-07 -1.920969e-06 -5.673732e-09))
2.124275      	((-4.434698e-03 2.238519e-03 -7.067652e-02) (-1.977203e-05 1.051513e-05 -1.875129e-02)) ((1.890618e-08 -1.847282e-08 -1.511938e-09) (-9.039436e-07 -2.127095e-06 -7.147249e-09))
2.190004      	((-5.101799e-03 2.561780e-03 -7.026698e-02) (-2.398768e-05 1.262663e-05 -1.872058e-02)) ((2.145368e-08 -1.181837e-08 -1.813936e-09) (-1.016148e-06 -2.368448e-06 -8.302569e-09))
2.255757      	((-5.886923e-03 2.946644e-03 -6.987120e-02) (-2.866877e-05 1.496746e-05 -1.869169e-02)) ((2.485287e-08 -3.206916e-09 -2.218658e-09) (-1.144054e-06 -2.649785e-06 -8.910289e-09))
2.321534      	((-6.820223e-03 3.392878e-03 -6.951093e-02) (-3.416006e-05 1.751520e-05 -1.866414e-02)) ((2.909210e-08 7.392843e-09 -2.655967e-09) (-1.297737e-06 -2.970596e-06 -8.522895e-09))
2.387332      	((-7.876818e-03 3.919521e-03 -6.923220e-02) (-4.066871e-05 2.042730e-05 -1.863783e-02)) ((3.432291e-08 1.892920e-08 -3.251572e-09) (-1.480086e-06 -3.331994e-06 -6.510644e-09))
2.453134      	((-9.062363e-03 4.516090e-03 -6.907166e-02) (-4.822933e-05 2.384699e-05 -1.861322e-02)) ((4.033629e-08 3.122073e-08 -3.745881e-09) (-1.691595e-06 -3.736588e-06 -3.580538e-09))
2.518934      	((-1.039119e-02 5.191865e-03 -6.898036e-02) (-5.691972e-05 2.789361e-05 -1.859068e-02)) ((4.729968e-08 4.482385e-08 -4.248654e-09) (-1.930188e-06 -4.185354e-06 3.719305e-10))
2.584728      	((-1.189260e-02 5.945307e-03 -6.890856e-02) (-6.686199e-05 3.261217e-05 -1.857039e-02)) ((5.503869e-08 6.035624e-08 -4.701354e-09) (-2.195517e-06 -4.683090e-06 5.171155e-09))
2.650513      	((-1.358208e-02 6.797958e-03 -6.883789e-02) (-7.823358e-05 3.806449e-05 -1.855236e-02)) ((6.356719e-08 7.801920e-08 -5.350056e-09) (-2.489813e-06 -5.234716e-06 9.341019e-09))
2.716286      	((-1.551494e-02 7.773575e-03 -6.873115e-02) (-9.136495e-05 4.429551e-05 -1.853643e-02)) ((7.353449e-08 9.867352e-08 -5.992239e-09) (-2.818669e-06 -5.845199e-06 1.216858e-08))
2.782042      	((-1.770625e-02 8.873896e-03 -6.864044e-02) (-1.065656e-04 5.135659e-05 -1.852260e-02)) ((8.506823e-08 1.223884e-07 -6.690793e-09) (-3.186439e-06 -6.521951e-06 1.576006e-08))
2.847776      	((-2.017463e-02 1.011483e-02 -6.859920e-02) (-1.238916e-04 5.938368e-05 -1.851099e-02)) ((9.835751e-08 1.494664e-07 -7.955663e-09) (-3.598049e-06 -7.281131e-06 2.202443e-08))
2.913486      	((-2.298051e-02 1.149666e-02 -6.861627e-02) (-1.434769e-04 6.875211e-05 -1.850168e-02)) ((1.130414e-07 1.805324e-07 -9.289855e-09) (-4.047895e-06 -8.140327e-06 3.399237e-08))
2.979164      	((-2.617013e-02 1.304902e-02 -6.872107e-02) (-1.658901e-04 7.978687e-05 -1.849485e-02)) ((1.298215e-07 2.156669e-07 -1.029605e-08) (-4.537454e-06 -9.107592e-06 5.080916e-08))
3.044806      	((-2.975582e-02 1.480487e-02 -6.893402e-02) (-1.917921e-04 9.263454e-05 -1.849096e-02)) ((1.494727e-07 2.543663e-07 -1.132425e-08) (-5.067456e-06 -1.018182e-05 6.077702e-08))
3.110405      	((-3.380422e-02 1.678689e-02 -6.925200e-02) (-2.213791e-04 1.074911e-04 -1.849055e-02)) ((1.710915e-07 2.970923e-07 -1.272453e-08) (-5.636519e-06 -1.137904e-05 5.701249e-08))
3.175953      	((-3.836448e-02 1.903874e-02 -6.971260e-02) (-2.546944e-04 1.246156e-04 -1.849412e-02)) ((1.965695e-07 3.426796e-07 -1.337256e-08) (-6.264574e-06 -1.273063e-05 4.143958e-08))
3.241444      	((-4.348639e-02 2.155827e-02 -7.037361e-02) (-2.922257e-04 1.443609e-04 -1.850202e-02)) ((2.252856e-07 3.909635e-07 -1.300358e-08) (-6.965113e-06 -1.425781e-05 2.392038e-08))
3.30687       	((-4.920475e-02 2.432446e-02 -7.123147e-02) (-3.349286e-04 1.668408e-04 -1.851476e-02)) ((2.555373e-07 4.430194e-07 -1.271040e-08) (-7.742342e-06 -1.596438e-05 3.439235e-09))
3.372221      	((-5.549011e-02 2.738773e-02 -7.233521e-02) (-3.838858e-04 1.924028e-04 -1.853335e-02)) ((2.868258e-07 4.973021e-07 -1.222217e-08) (-8.583666e-06 -1.782523e-05 -2.781174e-08))
3.437489      	((-6.222356e-02 3.071143e-02 -7.379334e-02) (-4.394364e-04 2.209473e-04 -1.855903e-02)) ((3.192766e-07 5.537359e-07 -1.231365e-08) (-9.493576e-06 -1.982891e-05 -6.679434e-08))
3.502667      	((-6.946092e-02 3.430425e-02 -7.568633e-02) (-5.022088e-04 2.525899e-04 -1.859298e-02)) ((3.531386e-07 6.089549e-07 -1.341374e-08) (-1.047922e-05 -2.195568e-05 -1.100799e-07))
3.567747      	((-7.716204e-02 3.815715e-02 -7.797273e-02) (-5.729782e-04 2.877105e-04 -1.863712e-02)) ((3.874223e-07 6.627125e-07 -1.593901e-08) (-1.153406e-05 -2.417101e-05 -1.440566e-07))
3.63272       	((-8.532703e-02 4.228018e-02 -8.072895e-02) (-6.520569e-04 3.269605e-04 -1.869270e-02)) ((4.206004e-07 7.184839e-07 -1.721631e-08) (-1.264774e-05 -2.647063e-05 -1.410632e-07))
3.69758       	((-9.381223e-02 4.647179e-02 -8.407374e-02) (-7.393017e-04 3.709927e-04 -1.876033e-02)) ((4.444541e-07 7.736688e-07 -1.936625e-08) (-1.380055e-05 -2.885719e-05 -9.265678e-08))
3.762319      	((-1.023693e-01 5.063639e-02 -8.804365e-02) (-8.334002e-04 4.186673e-04 -1.884086e-02)) ((4.557247e-07 8.180301e-07 -2.249741e-08) (-1.497687e-05 -3.127442e-05 -1.140710e-08))
3.82693       	((-1.105237e-01 5.464443e-02 -9.263470e-02) (-9.320816e-04 4.688006e-04 -1.893516e-02)) ((4.545253e-07 8.468954e-07 -2.618106e-08) (-1.613847e-05 -3.366341e-05 6.779278e-08))
3.891408      	((-1.179496e-01 5.841320e-02 -9.783537e-02) (-1.033905e-03 5.206457e-04 -1.904293e-02)) ((4.496754e-07 8.617827e-07 -3.303317e-08) (-1.726040e-05 -3.597921e-05 1.251999e-07))
3.95575       	((-1.241242e-01 6.158497e-02 -1.032713e-01) (-1.136126e-03 5.734929e-04 -1.916337e-02)) ((4.447140e-07 8.576993e-07 -4.499159e-08) (-1.828967e-05 -3.815426e-05 1.692971e-07))
4.019956      	((-1.286815e-01 6.379418e-02 -1.087138e-01) (-1.233988e-03 6.241012e-04 -1.929636e-02)) ((4.345560e-07 8.298435e-07 -5.550013e-08) (-1.919472e-05 -4.008226e-05 2.352212e-07))
4.084027      	((-1.312038e-01 6.496280e-02 -1.135916e-01) (-1.322195e-03 6.692994e-04 -1.943901e-02)) ((4.146532e-07 7.747935e-07 -6.399392e-08) (-1.993963e-05 -4.168686e-05 3.207069e-07))
4.147973      	((-1.313368e-01 6.487681e-02 -1.175643e-01) (-1.395507e-03 7.051898e-04 -1.958337e-02)) ((3.797078e-07 6.774388e-07 -7.575272e-08) (-2.055095e-05 -4.292544e-05 4.091532e-07))
4.211784      	((-1.286738e-01 6.336604e-02 -1.200112e-01) (-1.448032e-03 7.284424e-04 -1.971937e-02)) ((3.360891e-07 5.523133e-07 -8.996711e-08) (-2.101330e-05 -4.375431e-05 4.929090e-07))
4.27544       	((-1.234261e-01 6.040265e-02 -1.204964e-01) (-1.473643e-03 7.363774e-04 -1.983888e-02)) ((2.899873e-07 4.272530e-07 -9.969651e-08) (-2.126412e-05 -4.416416e-05 5.665928e-07))
4.338979      	((-1.151959e-01 5.614341e-02 -1.192407e-01) (-1.464267e-03 7.257673e-04 -1.993703e-02)) ((2.487405e-07 3.053823e-07 -1.009714e-07) (-2.130563e-05 -4.422480e-05 6.402852e-07))
4.402444      	((-1.044832e-01 5.078113e-02 -1.166150e-01) (-1.413195e-03 6.957379e-04 -2.001427e-02)) ((2.179753e-07 2.087223e-07 -9.344992e-08) (-2.108370e-05 -4.399550e-05 6.934696e-07))
4.465882      	((-9.259351e-02 4.508277e-02 -1.128500e-01) (-1.321017e-03 6.477692e-04 -2.007117e-02)) ((2.068123e-07 1.607215e-07 -7.998164e-08) (-2.065412e-05 -4.357758e-05 7.121826e-07))
4.52934       	((-8.087538e-02 3.945944e-02 -1.089551e-01) (-1.198674e-03 5.873889e-04 -2.011224e-02)) ((1.981495e-07 1.150977e-07 -6.656978e-08) (-2.008921e-05 -4.298288e-05 7.266978e-07))
4.592863      	((-7.045708e-02 3.471577e-02 -1.049254e-01) (-1.054694e-03 5.208752e-04 -2.014367e-02)) ((1.790970e-07 4.097854e-08 -5.292100e-08) (-1.942610e-05 -4.236285e-05 7.987508e-07))
4.65649       	((-6.265821e-02 3.135301e-02 -1.011738e-01) (-9.040657e-04 4.545271e-04 -2.017164e-02)) ((1.432313e-07 -5.375349e-08 -4.022393e-08) (-1.872224e-05 -4.172928e-05 9.091400e-07))
4.720246      	((-5.796434e-02 2.945850e-02 -9.755379e-02) (-7.605171e-04 3.929940e-04 -2.020009e-02)) ((1.045847e-07 -1.331556e-07 -3.315739e-08) (-1.808811e-05 -4.115265e-05 9.966063e-07))
4.784144      	((-5.609469e-02 2.875577e-02 -9.411000e-02) (-6.368114e-04 3.397922e-04 -2.023032e-02)) ((7.531115e-08 -1.817953e-07 -4.112259e-08) (-1.758326e-05 -4.055817e-05 1.009296e-06))
4.848172      	((-5.613620e-02 2.913327e-02 -9.103610e-02) (-5.465432e-04 3.007737e-04 -2.026329e-02)) ((8.732482e-08 -1.773981e-07 -5.138732e-08) (-1.709629e-05 -3.961401e-05 9.342465e-07))
4.912287      	((-5.719184e-02 3.011796e-02 -8.812939e-02) (-4.969146e-04 2.800708e-04 -2.029529e-02)) ((1.262232e-07 -1.176699e-07 -6.028899e-08) (-1.650420e-05 -3.807984e-05 7.996221e-07))
4.976477      	((-5.870637e-02 3.137604e-02 -8.488106e-02) (-4.867032e-04 2.772056e-04 -2.031759e-02)) ((1.736033e-07 -2.622727e-08 -5.881579e-08) (-1.578203e-05 -3.596600e-05 6.545164e-07))
5.040724      	((-6.011461e-02 3.255977e-02 -8.140870e-02) (-4.996831e-04 2.865098e-04 -2.031960e-02)) ((2.210631e-07 8.506525e-08 -4.947767e-08) (-1.509123e-05 -3.387607e-05 5.888134e-07))
5.105011      	((-6.113342e-02 3.345270e-02 -7.818477e-02) (-5.137422e-04 3.020378e-04 -2.030035e-02)) ((2.600369e-07 1.904727e-07 -4.263206e-08) (-1.450289e-05 -3.250452e-05 7.628679e-07))
5.169322      	((-6.198310e-02 3.433507e-02 -7.602142e-02) (-5.188907e-04 3.211073e-04 -2.026798e-02)) ((2.781086e-07 2.621113e-07 -4.193967e-08) (-1.400676e-05 -3.200843e-05 1.208115e-06))
5.233644      	((-6.248501e-02 3.480634e-02 -7.565414e-02) (-5.181038e-04 3.402110e-04 -2.023332e-02)) ((2.881461e-07 3.078290e-07 -4.247675e-08) (-1.359634e-05 -3.208676e-05 1.739418e-06))
5.297964      	((-6.224232e-02 3.478904e-02 -7.714604e-02) (-5.154045e-04 3.551647e-04 -2.020535e-02)) ((2.985306e-07 3.223348e-07 -3.418334e-08) (-1.330852e-05 -3.239394e-05 2.148321e-06))
5.362277      	((-6.168196e-02 3.445638e-02 -7.929476e-02) (-5.164033e-04 3.642191e-04 -2.018887e-02)) ((3.119789e-07 3.340519e-07 -1.986391e-08) (-1.312489e-05 -3.256434e-05 2.339116e-06))
5.426578      	((-6.059013e-02 3.366883e-02 -8.117339e-02) (-5.254687e-04 3.673474e-04 -2.018320e-02)) ((3.247811e-07 3.775799e-07 -1.019503e-08) (-1.299815e-05 -3.230121e-05 2.328550e-06))
5.490866      	((-5.877257e-02 3.255705e-02 -8.257267e-02) (-5.358122e-04 3.638802e-04 -2.018282e-02)) ((3.380303e-07 4.199791e-07 -1.659465e-10) (-1.297866e-05 -3.178060e-05 2.204740e-06))
5.555143      	((-5.588008e-02 3.092902e-02 -8.354325e-02) (-5.264724e-04 3.490538e-04 -2.018005e-02)) ((3.345966e-07 4.364445e-07 8.301353e-09) (-1.323256e-05 -3.177060e-05 2.064265e-06))
5.619416      	((-5.207219e-02 2.906142e-02 -8.419398e-02) (-4.969700e-04 3.269826e-04 -2.017309e-02)) ((3.141922e-07 4.045638e-07 2.024957e-08) (-1.357470e-05 -3.217212e-05 1.987329e-06))
5.683692      	((-4.789083e-02 2.743599e-02 -8.459415e-02) (-4.479002e-04 3.014436e-04 -2.016370e-02)) ((2.828522e-07 3.012980e-07 3.879626e-08) (-1.389872e-05 -3.289728e-05 1.958419e-06))
