# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((6.791581e-10 -1.134692e-07 -2.292732e-10) (7.931294e-12 -2.892273e-09 9.547475e-12)) ((2.969943e-14 -1.972166e-14 2.586924e-09) (-1.190177e-14 2.383731e-13 3.509093e-06))
0.0264        	((1.770811e-09 -1.680665e-08 -4.698783e-12) (2.276674e-11 -4.269361e-09 1.704706e-11)) ((-2.043208e-14 2.322192e-13 1.195726e-09) (-2.213432e-15 6.589207e-13 3.214514e-06))
0.04368       	((2.194157e-09 -5.351067e-08 -8.353711e-10) (1.208908e-11 -4.524432e-09 2.455313e-11)) ((5.772164e-14 2.878758e-13 6.637550e-10) (-1.636454e-15 1.199108e-12 2.911990e-06))
0.064416      	((2.782700e-09 6.505704e-09 6.435594e-10) (-3.554353e-11 -3.943273e-09 4.078660e-11)) ((4.342408e-15 1.633975e-13 3.703443e-10) (6.246044e-14 1.845142e-12 2.608567e-06))
0.0892992     	((1.254531e-09 -2.398972e-08 -7.169509e-10) (-8.751833e-11 -3.330245e-09 6.353120e-11)) ((8.897809e-14 3.873876e-13 2.863192e-10) (2.658562e-13 2.672501e-12 2.313492e-06))
0.119159      	((-1.250631e-11 2.775672e-09 -7.317767e-11) (-1.201993e-10 -2.796779e-09 8.120748e-11)) ((3.314996e-14 2.704604e-13 2.215358e-10) (5.287398e-13 3.306393e-12 2.036151e-06))
0.154991      	((4.760690e-11 -1.231865e-08 -7.806216e-11) (-1.354375e-10 -2.647352e-09 9.245168e-11)) ((5.245408e-14 2.191832e-13 1.859923e-10) (8.192566e-13 3.651233e-12 1.783116e-06))
0.197989      	((-5.548354e-10 -4.989370e-09 -2.263012e-10) (-1.113022e-10 -2.478547e-09 9.650678e-11)) ((5.796448e-14 2.218244e-13 1.538165e-10) (8.792440e-13 3.707500e-12 1.559176e-06))
0.249587      	((2.067113e-10 -7.095679e-09 -2.254831e-10) (-5.747238e-11 -2.312324e-09 9.609293e-11)) ((3.711145e-14 1.673114e-13 1.275399e-10) (7.669547e-13 3.685157e-12 1.366398e-06))
0.311504      	((3.471190e-10 -6.375665e-09 -2.418299e-10) (-5.787631e-12 -2.146791e-09 9.016405e-11)) ((4.275069e-14 8.846509e-14 1.054537e-10) (4.916287e-13 3.519430e-12 1.203949e-06))
0.385805      	((2.169348e-09 -6.285214e-09 4.223000e-12) (-3.368761e-11 -1.958045e-09 8.572918e-11)) ((4.463232e-14 3.120896e-14 8.905571e-11) (1.569386e-13 3.229507e-12 1.068312e-06))
0.474966      	((-4.943909e-10 -7.577982e-09 -2.798625e-11) (-5.762783e-11 -1.761740e-09 9.571494e-11)) ((5.079280e-14 2.742493e-14 7.723169e-11) (-1.864600e-13 3.141354e-12 9.544406e-07))
0.581959      	((6.604473e-10 -5.808861e-09 -5.194235e-12) (-8.836735e-11 -1.571958e-09 9.216909e-11)) ((-3.302280e-15 -5.989086e-15 6.562491e-11) (-3.462513e-13 2.761963e-12 8.575997e-07))
0.710351      	((1.011469e-09 -4.757148e-09 -1.098116e-10) (-2.381687e-10 -1.319851e-09 6.761394e-11)) ((1.314214e-14 -1.032656e-13 5.409695e-11) (2.506883e-13 1.953163e-12 7.739846e-07))
0.864421      	((3.566637e-09 -6.535753e-09 -2.637217e-10) (-3.392472e-10 -9.690185e-10 4.957212e-11)) ((-4.105777e-14 -1.569492e-13 4.611882e-11) (9.492675e-13 1.342880e-12 7.007657e-07))
1.049306      	((4.366052e-09 -5.852019e-09 -1.506393e-10) (-4.289033e-10 -6.524742e-10 3.880890e-11)) ((-9.043733e-14 -2.153678e-13 4.105401e-11) (8.838489e-13 7.772201e-13 6.358769e-07))
1.271167      	((5.175555e-09 -6.335489e-09 -4.305591e-11) (-6.174644e-10 -5.080453e-10 2.715926e-11)) ((-1.709774e-13 -2.476268e-13 3.730987e-11) (1.168636e-12 1.556574e-12 5.778294e-07))
1.5374        	((3.157497e-09 -7.572489e-09 3.355145e-11) (-6.549332e-10 -3.260262e-10 1.929851e-11)) ((-2.561894e-13 -2.784187e-13 3.355270e-11) (2.420285e-12 4.305070e-12 5.256642e-07))
1.85688       	((2.161035e-09 -9.292348e-09 -1.070927e-10) (-5.239549e-10 -2.094793e-10 1.337677e-11)) ((-3.057276e-13 -2.428056e-13 2.992922e-11) (3.687226e-12 6.934209e-12 4.788469e-07))
2.240256      	((1.885452e-09 -8.487966e-09 3.698936e-10) (-4.756227e-10 -2.131365e-10 7.930333e-12)) ((-3.452661e-13 -2.417575e-13 2.733295e-11) (5.210247e-12 8.918244e-12 4.371029e-07))
2.700307      	((3.180632e-09 -7.848212e-09 2.801952e-10) (-4.807456e-10 -2.451021e-10 -4.020936e-11)) ((-3.461226e-13 -2.502594e-13 2.485500e-11) (7.886472e-12 1.034729e-11 4.001965e-07))
