# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-1.006602e-02 -3.639268e-13 -9.425600e-10)) ((0.000000e+00 0.000000e+00 0.000000e+00) (1.012117e-14 -3.043553e-10 -5.774784e-14))
0.012         	((-2.924896e+02 2.695482e-04 -8.038942e-05) (-1.363987e-02 1.158646e-08 -2.033139e-09)) ((4.238620e-08 -6.153183e-06 3.200904e-07) (1.440940e-12 9.471316e-09 -7.708285e-09))
0.0264        	((1.980890e+01 -5.265006e-03 -3.718128e-03) (-1.486026e-02 -2.979758e-08 -3.530639e-08)) ((4.380698e-08 2.891170e-06 -5.291144e-07) (1.542093e-10 2.189266e-09 2.619492e-10))
0.04368       	((6.206419e+01 8.474639e-03 5.650354e-03) (-1.367958e-02 1.620207e-08 -3.863584e-09)) ((-8.320816e-08 4.976023e-06 -1.987096e-06) (2.886335e-11 -3.918659e-08 4.032602e-08))
0.064416      	((9.554020e-01 -4.172346e-04 -6.509716e-05) (-1.274271e-02 -4.889931e-08 -2.334069e-08)) ((6.308017e-08 -8.871862e-07 5.479223e-07) (-1.366758e-10 -3.708209e-08 3.585294e-08))
0.0892992     	((-8.576152e-01 -7.345303e-04 -3.116957e-04) (-1.254264e-02 -1.591025e-07 -8.578621e-08)) ((-7.880100e-09 -5.295975e-07 5.569273e-07) (3.469978e-10 -1.281020e-08 2.190868e-08))
0.119159      	((1.454727e+00 -5.546006e-04 -1.704470e-04) (-1.245126e-02 -1.762700e-07 -8.348571e-08)) ((3.161461e-08 1.467458e-06 2.285824e-08) (-1.146528e-09 1.797110e-08 2.230678e-08))
0.154991      	((8.208907e-01 5.828921e-05 1.255194e-04) (-1.233566e-02 -2.093204e-07 -1.003213e-07)) ((-2.799657e-08 2.347214e-07 -3.776363e-08) (-7.903043e-09 4.795550e-08 7.060857e-09))
0.197989      	((3.168264e-01 -1.491767e-04 1.803552e-04) (-1.221150e-02 -2.688843e-07 -1.142445e-07)) ((-6.682633e-09 9.704800e-08 6.721322e-08) (-1.303675e-08 3.581859e-08 -8.647478e-10))
0.249587      	((2.358459e-01 -2.210100e-04 -1.527653e-04) (-1.209316e-02 -2.253881e-07 -5.840833e-08)) ((-3.163003e-08 1.825974e-07 -1.348164e-08) (-1.423724e-08 1.398367e-08 -5.660951e-09))
0.311504      	((1.767975e-01 -1.449349e-05 -3.359459e-05) (-1.198604e-02 -1.244209e-07 -5.530021e-08)) ((1.789305e-08 1.132107e-07 2.114198e-08) (-1.377701e-08 -7.879571e-09 -1.511513e-08))
0.385805      	((1.025765e-01 -1.367717e-05 -6.832913e-05) (-1.188449e-02 -1.292370e-07 -1.303491e-07)) ((9.477611e-09 8.649007e-08 2.729677e-08) (-1.183055e-08 -2.755953e-08 -2.129198e-08))
0.474966      	((5.967787e-02 -2.727426e-05 -2.244494e-06) (-1.178212e-02 -1.529141e-07 -1.709601e-07)) ((-9.080318e-09 4.596497e-08 1.021108e-08) (-1.027504e-08 -3.487414e-08 -2.844885e-08))
0.581959      	((3.482306e-02 5.339344e-07 -2.848591e-05) (-1.167571e-02 -1.366672e-07 -1.353793e-07)) ((-6.088720e-09 6.232144e-08 2.137706e-09) (-9.614466e-09 -4.521125e-08 -2.948080e-08))
