# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((3.432174e-04 -2.924893e-04 -6.112233e-04) (3.697850e-07 -4.040700e-07 1.052165e-07)) ((1.013858e-02 -1.464117e-06 -3.513487e-05) (1.351108e+00 4.608796e-07 5.259306e-06))
0.0264        	((8.201253e-04 3.648710e-03 -1.372906e-03) (1.922723e-06 -8.577529e-07 -6.871444e-07)) ((6.878352e-03 -6.256411e-06 -2.434620e-05) (2.959355e+00 -3.116921e-06 3.409312e-06))
0.04368       	((-1.377326e-03 -1.399353e-04 1.972886e-04) (3.910167e-06 -3.792419e-06 -6.923306e-08)) ((6.572377e-03 5.099185e-07 -2.244164e-05) (2.924871e+00 -1.039338e-05 4.453044e-06))
0.064416      	((-1.002833e-05 1.604646e-03 -2.779374e-03) (6.686027e-06 -8.196669e-06 9.610739e-07)) ((6.073603e-03 -3.531952e-07 -1.498631e-05) (2.872208e+00 -2.201481e-05 6.724621e-06))
0.0892992     	((1.658691e-04 1.148425e-04 4.233837e-04) (8.597282e-06 -1.305836e-05 1.614729e-06)) ((5.931960e-03 7.060617e-07 -1.765555e-05) (2.813061e+00 -3.306542e-05 1.112654e-05))
0.119159      	((6.178955e-04 5.349624e-04 -1.081487e-03) (9.967877e-06 -1.770415e-05 2.333900e-06)) ((5.616569e-03 -4.287533e-07 -1.775377e-05) (2.748508e+00 -4.103247e-05 1.897552e-05))
0.154991      	((6.842006e-04 6.741654e-04 1.742671e-04) (1.134774e-05 -2.333494e-05 2.668413e-06)) ((5.389345e-03 -4.329386e-07 -1.770979e-05) (2.680969e+00 -4.780081e-05 2.834812e-05))
0.197989      	((3.580032e-04 4.534561e-04 -9.480507e-04) (1.333019e-05 -2.699662e-05 9.832487e-07)) ((5.080798e-03 -7.592125e-07 -1.490622e-05) (2.613690e+00 -5.511850e-05 3.477606e-05))
0.249587      	((1.230546e-04 5.666406e-04 -3.675742e-04) (1.500265e-05 -2.692165e-05 -2.223579e-06)) ((4.826762e-03 3.894977e-07 -1.489981e-05) (2.549698e+00 -6.236707e-05 3.956912e-05))
0.311504      	((-1.244658e-04 2.321432e-04 -8.968337e-04) (1.460620e-05 -2.492793e-05 -6.469507e-06)) ((4.574925e-03 -1.584282e-07 -1.487418e-05) (2.490264e+00 -7.057746e-05 4.162427e-05))
