# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-3.174481e-11 -3.183156e-01 -1.968145e-11)) ((0.000000e+00 0.000000e+00 0.000000e+00) (9.592519e-09 -1.521187e-12 -4.251847e-08))
0.012         	((-2.088645e-02 -9.296030e+03 -1.883468e-02) (-1.900616e-06 -1.395440e+00 -1.112596e-06)) ((2.405397e-04 2.076818e-05 -1.547805e-03) (-4.551450e-07 -3.453529e-08 2.937732e-07))
0.0264        	((7.667833e-02 1.237803e+03 -7.729374e-02) (-6.042146e-06 -3.224022e+00 -1.585770e-05)) ((-2.049054e-05 1.421928e-05 1.837217e-04) (-1.745300e-05 -3.338215e-07 1.869892e-05))
0.04368       	((-6.978612e-02 1.635761e+03 1.787946e-01) (-8.295479e-06 -2.795346e+00 -8.334071e-06)) ((-7.654431e-05 1.051538e-05 3.119293e-04) (-8.266162e-06 -6.463589e-07 9.481108e-06))
0.064416      	((-3.212988e-02 1.430488e+01 -1.144717e-02) (-5.367204e-05 -2.505524e+00 -7.003900e-06)) ((7.997295e-06 6.544842e-06 4.588853e-06) (6.955309e-06 -1.107672e-06 -3.647265e-06))
0.0892992     	((-1.360676e-02 1.490970e+01 -8.851152e-02) (-1.064099e-04 -2.419185e+00 -4.525945e-05)) ((9.354509e-06 2.999038e-06 -5.745096e-06) (-2.173528e-06 -6.683814e-07 4.673683e-06))
0.119159      	((-1.256531e-02 3.224433e+01 -1.253010e-02) (-4.670531e-05 -2.353242e+00 -8.876853e-05)) ((-1.535712e-06 2.286105e-06 1.507298e-06) (-5.216575e-06 6.200378e-07 2.701537e-06))
0.154991      	((-2.621866e-03 8.951372e+00 -1.640160e-02) (-6.428257e-06 -2.284892e+00 -9.208153e-05)) ((-1.780566e-08 1.646140e-06 -9.971490e-06) (-5.735004e-06 2.485724e-06 2.471817e-06))
0.197989      	((-9.718490e-04 3.625089e+00 -1.773081e-02) (-3.706463e-05 -2.219333e+00 -7.998703e-05)) ((4.707786e-07 8.210740e-06 -9.001919e-06) (-2.465344e-06 2.485064e-06 5.178390e-06))
0.249587      	((-5.810666e-03 1.367205e+00 -1.273370e-02) (7.987497e-05 -2.155456e+00 -2.817853e-05)) ((6.265034e-07 -6.085640e-07 -8.267176e-06) (2.237791e-07 1.463047e-06 -6.392995e-06))
0.311504      	((2.313188e-02 -9.011217e-01 2.597198e-03) (1.653529e-04 -2.092029e+00 3.708777e-05)) ((6.524481e-06 -5.263777e-07 -1.292359e-05) (-1.359443e-06 4.474597e-08 -1.645035e-05))
0.385805      	((7.843427e-03 -2.105955e+00 -7.554359e-04) (1.827732e-04 -2.028675e+00 -4.360383e-06)) ((-1.449734e-06 7.945905e-06 -1.160786e-05) (-1.542958e-05 9.000079e-07 -1.759905e-06))
0.474966      	((2.178324e-02 -2.698828e+00 -4.055303e-03) (1.544199e-04 -1.965688e+00 -3.396290e-05)) ((-9.795593e-06 1.553431e-05 1.086119e-05) (-2.116113e-05 2.270976e-07 8.981838e-06))
0.581959      	((1.468753e-03 -3.009842e+00 -2.475669e-03) (4.277152e-05 -1.905018e+00 -3.755203e-05)) ((-1.929907e-06 1.695834e-05 5.324840e-06) (-1.880448e-05 1.752432e-06 4.652926e-06))
0.710351      	((-6.061725e-04 -3.137330e+00 -5.724565e-03) (1.840020e-05 -1.849709e+00 -3.470058e-05)) ((2.821042e-06 1.814189e-05 -2.610737e-06) (-2.550429e-05 2.225959e-06 4.166319e-06))
0.864421      	((-2.351531e-03 -3.179423e+00 -7.479268e-03) (-1.776853e-05 -1.800686e+00 -4.910198e-05)) ((1.330929e-06 1.186312e-05 -4.991501e-06) (-3.250384e-05 2.067476e-07 4.672673e-06))
1.049306      	((-1.387948e-02 -3.214857e+00 -8.019957e-03) (-1.263390e-04 -1.758943e+00 -5.294903e-05)) ((2.803913e-06 1.949205e-05 -1.028189e-05) (-2.932075e-05 -2.004935e-06 2.448064e-07))
1.271167      	((-1.210139e-02 -3.290147e+00 -1.595302e-03) (-1.609547e-04 -1.724639e+00 -9.719683e-06)) ((8.870216e-07 1.790451e-05 2.186507e-06) (-2.628214e-05 -3.364515e-07 -2.358474e-06))
