# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((-6.873609e-06 1.255734e-06 1.437501e-04) (1.129278e-09 9.075629e-10 1.457977e-08)) ((-1.541087e-09 -9.292555e-05 3.937141e-09) (2.516383e-10 -4.920337e-03 -1.149775e-11))
0.0264        	((3.995629e-05 1.840984e-06 -1.580244e-04) (5.429231e-09 1.489680e-09 2.060531e-08)) ((1.451945e-09 -4.150092e-05 2.187090e-09) (2.207082e-10 -4.915327e-03 -1.063959e-10))
0.04368       	((-2.300061e-05 -4.374762e-06 2.930236e-05) (9.132366e-09 1.519635e-09 2.278927e-08)) ((-2.146149e-09 -2.182812e-05 -1.504961e-09) (-5.728338e-11 -4.909301e-03 -3.433470e-10))
0.064416      	((8.626896e-06 2.836114e-06 -3.692968e-05) (9.815740e-09 1.239398e-09 2.384772e-08)) ((1.619008e-09 -1.043710e-05 1.087340e-09) (-3.202253e-10 -4.902088e-03 -5.451668e-10))
0.0892992     	((-9.653715e-07 -4.044389e-06 6.612603e-06) (9.850555e-09 1.158080e-09 2.453401e-08)) ((-4.083683e-10 -7.326363e-06 -6.756414e-10) (-6.017425e-10 -4.893452e-03 -7.319444e-10))
0.119159      	((-1.959012e-06 -2.880193e-06 -1.100988e-05) (1.002441e-08 2.143168e-09 2.678623e-08)) ((-1.412722e-09 -5.448351e-06 -8.797855e-10) (-7.174515e-10 -4.883127e-03 -1.003738e-09))
0.154991      	((-2.586665e-06 -4.801325e-06 4.944058e-06) (1.028765e-08 3.330842e-09 3.063058e-08)) ((-3.517230e-09 -4.812935e-06 -1.016164e-09) (-8.144074e-10 -4.870795e-03 -1.166545e-09))
0.197989      	((1.112045e-07 -1.130052e-06 3.206097e-08) (1.020255e-08 4.201761e-09 3.404824e-08)) ((-1.636070e-09 -4.343032e-06 -1.309740e-09) (-1.019850e-09 -4.856076e-03 -1.353021e-09))
0.249587      	((-1.147072e-06 -3.158692e-06 3.657687e-06) (9.110673e-09 4.647392e-09 3.656566e-08)) ((-1.635849e-09 -3.955791e-06 -1.006814e-09) (-1.190471e-09 -4.838523e-03 -1.553581e-09))
0.311504      	((-2.371201e-06 -2.081606e-06 -9.667146e-07) (7.307330e-09 4.506563e-09 3.888531e-08)) ((-4.529700e-10 -3.510755e-06 -2.417655e-10) (-1.302921e-09 -4.817616e-03 -1.498039e-09))
0.385805      	((-3.835197e-07 -1.577163e-06 1.517804e-07) (5.001878e-09 4.155978e-09 4.109660e-08)) ((-3.134058e-10 -3.016878e-06 1.447660e-11) (-1.524599e-09 -4.792752e-03 -1.373848e-09))
0.474966      	((-2.422434e-06 -5.854843e-07 1.435363e-07) (2.594554e-09 3.897082e-09 4.333532e-08)) ((5.009064e-10 -2.575179e-06 -1.896381e-10) (-1.937037e-09 -4.763248e-03 -1.370342e-09))
0.581959      	((-2.910040e-07 -9.020367e-07 2.367033e-07) (6.088987e-10 3.754117e-09 4.547632e-08)) ((2.544832e-10 -2.261500e-06 -1.130254e-10) (-2.507543e-09 -4.728341e-03 -1.629982e-09))
0.710351      	((-1.344345e-06 -7.152475e-07 -6.467367e-07) (-8.665101e-10 3.606621e-09 4.784122e-08)) ((-3.666829e-11 -2.069104e-06 2.106380e-10) (-2.933435e-09 -4.687189e-03 -1.994317e-09))
0.864421      	((7.334778e-07 -6.565521e-07 7.320447e-07) (-2.544857e-09 3.801115e-09 5.039046e-08)) ((-6.288226e-11 -1.945119e-06 5.429799e-11) (-3.175712e-09 -4.638880e-03 -2.243432e-09))
1.049306      	((-1.300969e-07 -1.034078e-06 -3.149359e-08) (-4.351397e-09 4.669631e-09 5.226968e-08)) ((-3.791522e-11 -1.841166e-06 6.314917e-11) (-3.399317e-09 -4.582479e-03 -2.478127e-09))
1.271167      	((7.674686e-07 -1.829626e-07 1.064637e-06) (-6.990411e-09 5.994289e-09 5.226211e-08)) ((1.420351e-10 -1.755651e-06 -5.229291e-11) (-3.594025e-09 -4.517091e-03 -2.614702e-09))
1.5374        	((-3.262913e-08 -6.400550e-07 -5.264726e-07) (-1.003633e-08 7.553303e-09 4.999876e-08)) ((9.520631e-11 -1.680290e-06 1.005232e-10) (-3.817623e-09 -4.441958e-03 -2.745004e-09))
1.85688       	((3.527529e-07 -2.422702e-07 -1.094204e-06) (-1.264762e-08 9.967346e-09 4.799926e-08)) ((1.781671e-10 -1.606613e-06 7.419999e-11) (-4.258269e-09 -4.356603e-03 -3.058351e-09))
2.240256      	((7.011765e-08 -6.091716e-07 -1.186954e-06) (-1.540499e-08 1.256664e-08 4.878242e-08)) ((2.900056e-10 -1.529945e-06 -9.679060e-11) (-4.998868e-09 -4.261010e-03 -3.514864e-09))
2.700307      	((7.398150e-08 1.138395e-07 -1.266208e-06) (-1.880216e-08 1.410517e-08 5.158669e-08)) ((1.833778e-10 -1.451328e-06 -6.782830e-11) (-5.890428e-09 -4.155819e-03 -3.764771e-09))
3.252369      	((-2.256784e-07 -1.741731e-07 -1.340597e-06) (-2.240840e-08 1.429704e-08 5.474351e-08)) ((1.255642e-10 -1.373062e-06 -1.211478e-10) (-6.650469e-09 -4.042463e-03 -3.544487e-09))
3.914842      	((-6.816927e-07 1.219058e-07 -6.080633e-07) (-2.445012e-08 1.331457e-08 5.554788e-08)) ((6.978169e-11 -1.297991e-06 -1.156207e-10) (-6.863553e-09 -3.923130e-03 -2.899861e-09))
4.709811      	((-7.113522e-07 -3.412255e-08 -8.788090e-08) (-2.262309e-08 1.221241e-08 4.928795e-08)) ((1.533729e-10 -1.227426e-06 -1.034301e-10) (-6.690752e-09 -3.800442e-03 -2.108223e-09))
5.663773      	((1.414553e-07 -7.421378e-08 2.738110e-07) (-1.985915e-08 1.154473e-08 3.788539e-08)) ((8.986566e-12 -1.162946e-06 -5.459040e-11) (-6.366132e-09 -3.676816e-03 -1.272118e-09))
6.808528      	((3.502498e-07 -2.824652e-07 -7.139498e-08) (-2.398037e-08 1.151478e-08 2.537560e-08)) ((-1.047625e-11 -1.098524e-06 -1.069649e-10) (-6.092850e-09 -3.553652e-03 -4.356640e-10))
8.182233      	((-1.331138e-07 -1.370368e-07 3.066197e-07) (-2.369135e-08 1.187794e-08 2.150552e-08)) ((-6.956997e-11 -1.020329e-06 -1.963620e-10) (-6.239922e-09 -3.429654e-03 7.854654e-10))
9.83068       	((-3.309270e-07 -1.434063e-07 3.077729e-07) (-1.929111e-08 1.129269e-08 1.173946e-08)) ((-1.470957e-10 -9.301389e-07 1.824762e-11) (-6.785827e-09 -3.299501e-03 1.439106e-09))
11.808816     	((3.574873e-07 1.007178e-07 -8.073305e-07) (-6.553403e-10 1.080336e-08 6.272834e-09)) ((-2.726136e-10 -8.425190e-07 6.849850e-11) (-5.850408e-09 -3.159450e-03 3.319029e-10))
14.182579     	((1.674945e-07 1.196201e-07 9.200230e-09) (-1.623246e-08 9.039499e-09 -1.077222e-08)) ((-2.101082e-10 -7.646853e-07 1.311786e-10) (-3.836364e-09 -3.010537e-03 -1.537408e-09))
17.031095     	((4.362606e-07 1.392749e-07 -3.374421e-07) (-3.076570e-08 3.147028e-09 -3.540606e-08)) ((-2.955810e-10 -7.163385e-07 1.875099e-10) (-2.351468e-09 -2.856105e-03 -1.201627e-09))
