# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-7.327591e-04 -3.289681e-07 -7.604788e+03)) ((0.000000e+00 0.000000e+00 0.000000e+00) (3.656362e-07 1.153585e-03 2.681027e-08))
0.00192807    	((1.458169e+03 1.482918e+03 -5.788625e+06) (3.975143e-01 3.784234e-01 -9.284830e+03)) ((-6.778481e-02 5.357706e-01 -1.632557e-04) (-5.696950e-01 5.711227e-01 2.565377e-04))
0.00424175    	((-6.650912e+02 -6.231671e+02 2.771591e+06) (-7.020834e-02 -1.948034e-01 -9.067631e+03)) ((-1.110512e-01 -7.859052e-01 -1.871581e-03) (-3.117561e-01 3.094639e-01 -7.392388e-04))
0.00701817    	((-2.456049e+02 -3.216508e+02 -6.226424e+05) (2.398184e-01 6.929095e-02 -7.683719e+03)) ((1.346042e-01 -6.135890e-01 2.683816e-03) (-3.683321e-01 3.531622e-01 -2.040965e-03))
0.0103229     	((-5.473052e+00 1.465399e+01 2.479755e+05) (6.216348e-01 3.881036e-01 -7.345738e+03)) ((-9.374676e-02 -5.831545e-01 4.416055e-03) (-3.704312e-01 3.468114e-01 -3.751463e-03))
0.0141578     	((-4.753246e+00 -3.885670e+01 -1.657490e+05) (3.077128e-01 1.549203e-01 -7.118010e+03)) ((6.246213e-03 -4.680379e-01 3.664047e-03) (-1.642630e-01 1.091170e-01 -2.267040e-03))
0.0185188     	((-2.164319e+01 4.426549e-01 2.534116e+04) (-2.105644e-01 -1.264883e-01 -7.107905e+03)) ((-2.868853e-02 -5.055004e-01 -3.754131e-03) (-1.154558e-01 3.019535e-02 1.738426e-03))
0.023402      	((-8.388092e+01 -3.746793e+01 -6.464962e+04) (-7.580468e-01 -2.429470e-01 -7.094583e+03)) ((3.225456e-03 -5.318251e-01 -3.144047e-04) (2.166531e-02 -9.676030e-02 4.868968e-03))
0.0285844     	((-2.816098e+01 -3.191402e+01 -2.287474e+04) (-5.148516e-01 -1.833113e-01 -7.109181e+03)) ((-1.643537e-02 -5.644866e-01 -8.242427e-04) (7.974618e-02 -1.329316e-01 5.566954e-03))
0.0337759     	((-1.213157e+01 -5.159040e+01 -4.358592e+04) (-1.772040e-01 -1.637636e-01 -7.137741e+03)) ((-1.745982e-03 -5.760687e-01 6.697250e-05) (8.843973e-02 -1.481026e-01 6.672093e-03))
