# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((-2.631764e-04 -6.100956e-03 1.676669e-05) (-4.840735e-07 -3.283630e-06 -8.918069e-08)) ((1.458079e-05 5.955424e-07 -4.265834e-03) (-6.175789e-07 -1.642553e-07 -8.844713e-01))
0.0264        	((-7.448295e-04 4.804973e-03 1.850922e-04) (-6.679908e-07 -3.143879e-06 -7.648195e-07)) ((8.522450e-06 2.114735e-06 -2.463778e-03) (1.349881e-07 -7.204297e-07 -8.993779e-01))
0.04368       	((-6.478061e-04 -3.086032e-03 6.750250e-04) (-8.984177e-07 -1.719593e-06 -1.803265e-06)) ((1.214278e-05 1.802976e-06 -2.062884e-03) (6.751132e-07 -2.054681e-06 -8.912830e-01))
0.064416      	((-1.007406e-03 1.497220e-03 -6.503176e-04) (-1.283420e-06 -5.926974e-07 -3.034162e-06)) ((9.940049e-06 1.034949e-06 -1.802671e-03) (1.161374e-06 -3.309439e-06 -8.816560e-01))
0.0892992     	((4.047136e-04 -2.491224e-04 6.496162e-05) (-1.867908e-06 5.092238e-07 -4.511647e-06)) ((1.069477e-05 7.818206e-07 -1.749777e-03) (2.211696e-06 -4.165179e-06 -8.704717e-01))
0.119159      	((1.276717e-05 -1.845197e-04 -2.493231e-04) (-3.299223e-06 1.578383e-06 -5.983135e-06)) ((8.703779e-06 1.387246e-06 -1.649975e-03) (3.604626e-06 -5.904066e-06 -8.576323e-01))
0.154991      	((-8.929036e-05 8.196108e-04 -9.159236e-05) (-5.471599e-06 2.648929e-06 -7.403763e-06)) ((7.595734e-06 2.393018e-06 -1.592888e-03) (3.993062e-06 -9.269892e-06 -8.431524e-01))
0.197989      	((8.878914e-05 -1.799531e-04 -6.057232e-05) (-7.575592e-06 3.233714e-06 -8.685927e-06)) ((7.253787e-06 2.502381e-06 -1.516328e-03) (2.939572e-06 -1.308980e-05 -8.272010e-01))
0.249587      	((-2.432251e-04 5.311430e-04 -3.732384e-04) (-8.692348e-06 3.547259e-06 -9.705257e-06)) ((6.896234e-06 2.040096e-06 -1.444804e-03) (1.559050e-06 -1.652947e-05 -8.101372e-01))
0.311504      	((1.865794e-05 -1.362938e-04 -8.265246e-05) (-8.253123e-06 3.603737e-06 -1.015673e-05)) ((6.242812e-06 1.988515e-06 -1.364966e-03) (4.676438e-07 -1.945605e-05 -7.925056e-01))
0.385805      	((1.048301e-04 2.853999e-04 -1.021256e-04) (-7.308511e-06 3.542258e-06 -9.925113e-06)) ((6.063191e-06 1.924107e-06 -1.289991e-03) (-6.490273e-07 -2.151164e-05 -7.749198e-01))
0.474966      	((3.502216e-04 -1.020928e-04 -5.090051e-06) (-6.138047e-06 3.720594e-06 -9.167373e-06)) ((5.940706e-06 2.015321e-06 -1.218604e-03) (-1.059788e-06 -2.153365e-05 -7.578328e-01))
0.581959      	((3.718496e-05 1.945237e-04 4.643950e-05) (-4.640711e-06 4.261366e-06 -8.416275e-06)) ((5.469680e-06 1.652608e-06 -1.156471e-03) (-3.689373e-07 -1.997390e-05 -7.413307e-01))
0.710351      	((1.468026e-04 -1.016961e-04 9.015753e-05) (-3.470795e-06 4.713351e-06 -8.157645e-06)) ((4.984909e-06 1.302453e-06 -1.096269e-03) (1.419358e-06 -1.789389e-05 -7.247139e-01))
0.864421      	((3.087635e-05 1.612324e-04 9.412994e-06) (-3.880596e-06 4.629493e-06 -8.362568e-06)) ((4.614794e-06 6.835219e-07 -1.033286e-03) (3.705478e-06 -1.589298e-05 -7.067544e-01))
1.049306      	((2.278818e-04 -7.366748e-05 3.312322e-06) (-4.406311e-06 4.529795e-06 -8.951231e-06)) ((4.336757e-06 2.670112e-07 -9.751084e-04) (4.914952e-06 -1.222589e-05 -6.870216e-01))
1.271167      	((-1.636498e-04 1.293252e-04 2.788183e-05) (-3.107141e-06 4.499763e-06 -9.406635e-06)) ((3.824902e-06 -2.193496e-07 -9.322568e-04) (1.721353e-06 -6.606453e-06 -6.660609e-01))
1.5374        	((-7.378591e-05 -2.842484e-04 6.029933e-05) (-2.705302e-06 4.087732e-06 -9.642871e-06)) ((4.013024e-06 -2.368422e-07 -9.067898e-04) (-5.616621e-06 -5.938371e-07 -6.446422e-01))
1.85688       	((-3.153899e-04 -4.792138e-04 6.661450e-05) (-2.570617e-06 5.020593e-06 -8.386661e-06)) ((4.053369e-06 8.194904e-08 -8.866682e-04) (-1.429135e-05 7.789022e-06 -6.234633e-01))
2.236918      	((-8.463518e-04 -4.070913e-04 1.446427e-05) (-5.679756e-06 9.249988e-06 -5.737739e-06)) ((3.683641e-06 2.107750e-07 -8.591006e-04) (-2.328412e-05 1.809741e-05 -6.032347e-01))
2.677691      	((-6.282046e-04 -1.285959e-05 -1.706657e-04) (-9.499176e-06 1.653791e-05 -4.010470e-06)) ((3.332368e-06 -2.928587e-07 -8.247722e-04) (-3.148973e-05 2.284111e-05 -5.844361e-01))
3.179271      	((4.079996e-04 1.051085e-03 -3.217108e-04) (-7.313879e-06 2.960268e-05 -2.894782e-06)) ((3.055936e-06 -4.418202e-07 -7.853983e-04) (-3.399047e-05 2.285179e-05 -5.667885e-01))
3.741837      	((7.681713e-04 1.684612e-03 -4.420469e-04) (6.400000e-06 4.105525e-05 1.003610e-06)) ((3.187335e-06 2.597127e-07 -7.505180e-04) (-2.975281e-05 2.277497e-05 -5.500472e-01))
4.353934      	((4.470144e-04 1.813241e-03 -4.393909e-04) (1.371886e-05 4.217699e-05 3.873358e-06)) ((3.389071e-06 4.176290e-07 -7.238382e-04) (-2.160053e-05 2.883495e-05 -5.345254e-01))
4.968912      	((7.542736e-04 2.914802e-03 -7.172013e-04) (9.752508e-06 3.797379e-05 3.450790e-06)) ((3.039053e-06 1.014974e-07 -7.006541e-04) (-1.015704e-05 3.355771e-05 -5.211633e-01))
5.588131      	((3.090397e-04 3.390336e-03 -8.638164e-05) (1.013568e-06 4.635234e-05 5.726306e-06)) ((3.424960e-06 3.105207e-07 -6.766685e-04) (4.557809e-07 3.227402e-05 -5.096816e-01))
6.212464      	((-3.473531e-04 5.811735e-03 2.178349e-04) (-2.348092e-05 5.800126e-05 4.035726e-06)) ((4.465212e-06 5.724589e-07 -6.529879e-04) (1.018128e-05 2.353040e-05 -4.999401e-01))
6.841348      	((6.770587e-04 6.477588e-03 -1.534547e-04) (-1.421638e-08 7.408688e-05 8.285697e-07)) ((4.372991e-06 5.504950e-07 -6.310410e-04) (1.246948e-05 1.116455e-05 -4.917944e-01))
7.473478      	((1.512244e-03 5.622387e-03 3.269906e-04) (1.913743e-05 6.603357e-05 -2.213581e-06)) ((4.501886e-06 1.531441e-06 -6.109752e-04) (7.178157e-06 4.559581e-07 -4.851201e-01))
8.109604      	((3.414248e-04 5.116835e-03 2.023929e-04) (-1.653281e-05 5.600650e-05 -5.742839e-06)) ((4.209062e-06 2.039710e-06 -5.908945e-04) (-1.277227e-06 -1.368244e-05 -4.797294e-01))
8.750087      	((1.026431e-04 6.749925e-03 1.366998e-04) (-2.035180e-05 9.903009e-05 1.790665e-06)) ((4.689262e-06 1.015583e-06 -5.744340e-04) (-9.178407e-06 -2.344581e-05 -4.754105e-01))
9.394209      	((7.700489e-04 6.262546e-03 3.351275e-04) (-1.352117e-05 1.046622e-04 1.650237e-06)) ((2.662298e-06 1.427782e-06 -5.633838e-04) (-7.109316e-06 -1.674457e-05 -4.719809e-01))
10.038837     	((8.476500e-04 4.208842e-03 4.196076e-04) (-1.601600e-05 6.221526e-05 6.886488e-06)) ((2.546023e-06 1.366839e-06 -5.565445e-04) (-7.511444e-07 -5.916636e-06 -4.693610e-01))
10.683921     	((1.297672e-03 4.643971e-03 3.619803e-04) (-3.353983e-05 9.870723e-05 1.711518e-05)) ((3.440599e-06 3.603156e-07 -5.508169e-04) (7.930059e-07 -5.603738e-06 -4.674676e-01))
11.329591     	((-3.258578e-04 6.472039e-03 7.021770e-04) (-5.593202e-05 1.768220e-04 1.443810e-05)) ((3.767482e-06 2.192397e-08 -5.468382e-04) (2.258603e-06 -1.168099e-05 -4.662056e-01))
11.976086     	((4.530668e-04 6.296708e-03 5.531174e-04) (-3.360220e-05 1.635764e-04 5.280597e-06)) ((3.465144e-06 6.564708e-07 -5.416958e-04) (4.250920e-06 -1.505289e-05 -4.655127e-01))
12.623512     	((1.493051e-03 6.889805e-03 7.797585e-04) (-4.022366e-05 1.849253e-04 6.526453e-06)) ((2.860554e-06 1.475795e-07 -5.367462e-04) (6.983348e-06 -1.459746e-05 -4.652927e-01))
13.27186      	((1.883687e-03 7.848968e-03 9.866094e-04) (-5.321641e-05 2.113146e-04 8.879692e-06)) ((3.704772e-06 -1.159453e-07 -5.321713e-04) (1.019585e-05 -1.242093e-05 -4.655591e-01))
